,Team Av Shots Diff,Team Av Shots Inside Box Diff,Team Av Fouls Diff,Team Av Corners Diff,Team Av Possession Diff,Team Av Pass Accuracy Diff,Team Av Goal Diff,Opponent Av Shots Diff,Opponent Av Shots Inside Box Diff,Opponent Av Fouls Diff,Opponent Av Corners Diff,Opponent Av Possession Diff,Opponent Av Pass Accuracy Diff,Opponent Av Goal Diff,Fixture ID,Team Result Indicator,Opponent Result Indicator
0,6.0,0.0,1.0,-1.0,10.0,4.0,0.0,0.0,-1.0,-5.0,2.0,-12.0,-4.0,2.0,867956,0,2
1,-7.0,-4.0,3.0,-12.0,-26.0,-14.0,-1.0,8.0,-2.0,-2.0,0.0,32.0,14.0,-2.0,867957,0,2
2,-6.0,0.0,-1.0,1.0,-10.0,-4.0,0.0,2.0,3.0,-5.0,4.0,26.0,12.0,-1.0,867958,2,0
3,-2.0,-3.0,5.0,-4.0,-26.0,-12.0,1.0,18.0,12.0,-5.0,10.0,22.0,11.0,2.0,867959,1,1
4,7.0,4.0,-3.0,12.0,26.0,14.0,1.0,8.0,8.0,5.0,8.0,16.0,3.0,3.0,867960,1,1
5,2.0,2.0,2.0,0.0,34.0,15.0,0.0,0.0,1.0,5.0,-2.0,12.0,4.0,-2.0,867961,1,1
6,8.0,4.0,-4.0,3.0,50.0,15.0,2.0,-8.0,2.0,2.0,0.0,-32.0,-14.0,2.0,867962,2,0
7,-8.0,-4.0,4.0,-3.0,-50.0,-15.0,-2.0,-18.0,-12.0,5.0,-10.0,-22.0,-11.0,-2.0,867963,0,2
8,-8.0,-8.0,-5.0,-8.0,-16.0,-3.0,-3.0,-3.0,-1.0,4.0,2.0,-20.0,-9.0,1.0,867964,1,1
9,3.0,1.0,-4.0,-2.0,20.0,9.0,-1.0,-2.0,-2.0,-2.0,0.0,-34.0,-15.0,0.0,867965,1,1
10,13.0,10.0,6.0,4.0,0.0,3.0,2.0,-16.0,-11.0,0.0,-10.0,-34.0,-11.0,-4.0,867966,2,0
11,-17.0,-11.0,1.0,-2.0,-46.0,-18.0,0.0,-3.0,-1.0,2.0,-3.0,16.0,7.0,1.0,867967,2,0
12,-6.0,0.0,-1.0,-1.0,-14.0,-9.0,1.0,3.0,1.0,-2.0,3.0,-16.0,-7.0,-1.0,867968,1,1
13,2.0,4.0,7.0,-2.0,-20.0,-7.0,0.0,-2.0,0.0,-9.0,6.0,-34.0,-20.0,4.0,867969,2,0
14,6.0,3.0,0.0,3.0,28.0,7.0,0.0,-1.0,2.0,2.0,3.0,14.0,4.0,0.0,867970,0,2
15,1.0,-2.0,-2.0,-3.0,-14.0,-4.0,0.0,-13.0,-10.0,-6.0,-4.0,0.0,-3.0,-2.0,867971,2,0
16,2.0,0.0,9.0,-6.0,34.0,20.0,-4.0,17.0,11.0,-1.0,2.0,46.0,18.0,0.0,867972,2,0
17,16.0,11.0,0.0,10.0,34.0,11.0,4.0,-9.0,-5.0,-2.0,-4.0,-10.0,-3.0,0.0,867973,1,1
18,-2.0,-4.0,-7.0,2.0,20.0,7.0,0.0,-6.0,-3.0,0.0,-3.0,-28.0,-7.0,0.0,867974,0,2
19,6.0,0.0,1.0,1.0,14.0,9.0,-1.0,9.0,5.0,2.0,4.0,10.0,3.0,0.0,867975,0,2
20,5.0,2.0,6.0,3.0,-12.0,-6.0,1.0,8.0,7.0,-2.0,1.0,16.0,10.0,3.0,867976,0,2
21,2.0,-1.0,3.0,1.0,0.0,0.0,-2.0,-4.0,-4.0,-2.0,-2.0,-2.0,-3.0,-2.0,867977,2,0
22,-5.0,-2.0,-6.0,-3.0,12.0,6.0,-1.0,5.0,2.0,-3.0,4.0,-4.0,4.0,0.0,867978,1,1
23,-2.0,1.0,-3.0,-1.0,0.0,0.0,2.0,-2.0,0.0,1.0,-2.0,-22.0,-11.0,3.0,867979,2,0
24,2.0,0.0,-1.0,2.0,22.0,11.0,-3.0,-3.0,-2.0,-4.0,-3.0,24.0,10.0,-1.0,867980,2,0
25,5.0,7.0,-4.0,2.0,40.0,18.0,-1.0,-8.0,-7.0,2.0,-1.0,-16.0,-10.0,-3.0,867981,2,0
