,Team Av Shots Diff,Team Av Shots Inside Box Diff,Team Av Fouls Diff,Team Av Corners Diff,Team Av Possession Diff,Team Av Pass Accuracy Diff,Team Av Goal Diff,Opponent Av Shots Diff,Opponent Av Shots Inside Box Diff,Opponent Av Fouls Diff,Opponent Av Corners Diff,Opponent Av Possession Diff,Opponent Av Pass Accuracy Diff,Opponent Av Goal Diff,Fixture ID,Team Result Indicator,Opponent Result Indicator
0,-0.5,2.25,2.0,1.25,-2.75,-0.625,1.125,-0.75,-2.25,-2.125,-2.0,7.5,3.375,-1.0,868027,0,0
1,-9.625,-6.375,0.25,-3.375,-27.25,-11.375,-1.625,3.25,2.625,-0.625,1.625,21.25,8.875,-0.125,868036,2,2
2,-0.875,-1.75,-2.75,-0.75,6.25,2.125,-0.75,-4.75,-5.125,-1.375,-3.5,-15.25,-5.5,0.0,868039,0,0
3,-2.375,-1.75,4.625,-1.375,1.25,1.375,-0.375,1.5,0.0,-0.375,-0.625,-11.75,-4.875,-0.625,868041,2,0
4,10.875,7.5,-1.0,4.75,32.0,12.0,2.5,-2.0,0.875,-2.625,0.75,-8.0,-4.875,0.375,868042,2,0
5,2.875,3.625,1.125,3.0,5.25,2.75,0.5,-1.0,-1.125,-1.0,-0.5,2.25,0.375,-0.5,868043,2,1
6,-5.875,-3.375,0.75,-3.625,-11.0,-6.5,-1.875,1.0,0.5,2.25,-0.75,-17.75,-4.75,-0.5,868044,1,2
7,-4.875,-3.75,1.0,-1.75,-15.5,-7.375,-0.125,3.875,3.5,-0.25,0.375,19.75,7.625,0.125,868045,0,2
8,-1.25,-0.375,0.0,-0.125,0.75,0.125,-0.25,-2.5,0.25,-3.125,0.125,-7.75,-4.875,-0.125,868046,0,2
9,2.375,1.375,-0.125,0.875,1.25,0.0,0.625,-8.5,-6.625,-1.0,-2.75,-24.75,-9.75,-1.75,868047,0,1
10,-6.25,-5.125,-0.125,-1.75,-13.0,-6.5,-0.375,10.25,6.625,-1.25,3.25,18.0,8.875,1.375,868048,1,2
11,-1.875,-1.0,4.25,0.5,5.0,0.125,-0.125,-4.625,-4.875,-2.5,-1.25,-17.25,-4.5,0.0,868049,0,1
12,-1.625,-2.25,-1.25,-2.5,7.75,3.0,-1.125,8.875,7.125,-0.375,4.0,30.5,12.875,1.0,868050,1,2
13,10.875,8.625,-1.5,4.5,31.5,11.75,2.5,1.875,2.75,2.375,2.25,3.5,1.875,0.75,868051,0,1
14,-2.5,-2.375,6.0,-2.0,0.5,0.5,-0.125,3.125,1.875,2.0,-0.125,-11.5,-2.875,0.0,868052,1,1
15,0.5,-1.5,0.75,-0.625,-13.5,-5.625,-0.75,-4.0,-4.375,-2.5,-1.875,-14.5,-4.375,0.0,868053,1,0
16,-3.375,0.25,2.0,-0.25,-7.25,-2.5,0.625,-2.75,-3.25,-2.25,-0.75,2.0,0.5,-1.0,868054,2,2
17,-4.375,-2.375,-0.625,-2.75,-10.75,-6.625,-1.625,-1.5,-2.625,1.5,-1.5,-14.5,-6.125,-0.75,868055,0,2
18,-7.625,-5.75,-0.75,-1.375,-25.25,-10.25,-1.25,1.875,2.25,-0.375,-0.75,18.5,7.375,0.375,868056,0,1
19,-4.0,-0.75,-2.375,-1.75,-9.0,-4.625,-0.375,4.375,2.75,-0.375,2.5,10.0,3.75,0.25,868058,1,1
20,-3.5,-2.625,-1.0,-2.5,-11.0,-6.75,-1.875,0.375,0.625,-0.125,1.0,-3.5,-1.375,-0.625,868059,1,0
21,-5.75,-4.875,-1.125,-2.25,-6.75,-3.875,-0.5,-0.625,-0.5,3.625,0.625,6.75,0.625,-0.375,868060,2,0
22,0.75,-0.25,0.125,-1.125,8.5,3.625,-0.875,-3.25,-4.25,-3.25,-1.875,-12.25,-2.5,0.0,868061,2,2
23,-2.625,-2.5,-0.875,-1.125,1.5,0.875,-0.875,-6.5,-6.0,-2.125,-3.0,-15.5,-4.25,-0.125,868062,0,0
24,2.25,3.25,2.375,2.75,1.5,1.125,0.75,4.25,3.25,1.375,1.0,-10.5,-3.0,0.125,868063,2,0
25,8.25,6.625,-0.25,3.875,23.0,9.625,1.125,-0.125,1.375,1.625,0.25,-4.25,-2.125,0.75,868064,2,0
26,-2.0,-2.25,5.125,-1.25,-0.5,-0.875,0.375,0.125,0.625,0.125,1.0,-5.75,-2.125,-0.75,868065,2,2
