Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,8/21/2021,18:30 (19:30),Inter,1.7,4–0,1.1,Genoa,"27,402",Stadio Giuseppe Meazza,Valerio Marini,Match Report,
1,Sat,8/21/2021,18:30 (19:30),Hellas Verona,2.8,2–3,1.6,Sassuolo,"5,448",Stadio Marc'Antonio Bentegodi,Manuel Volpi,Match Report,
1,Sat,8/21/2021,20:45 (21:45),Torino,1.4,1–2,0.8,Atalanta,"3,475",Stadio Olimpico di Torino,Daniele Chiffi,Match Report,
1,Sat,8/21/2021,20:45 (21:45),Empoli,1.6,1–3,1.7,Lazio,"3,655",Stadio Carlo Castellani,Simone Sozza,Match Report,
1,Sun,8/22/2021,18:30 (19:30),Bologna,1.6,3–2,1.5,Salernitana,"8,375",Stadio Renato Dall'Ara,Antonio Rapuano,Match Report,
1,Sun,8/22/2021,18:30 (19:30),Udinese,1.8,2–2,1.1,Juventus,"9,660",Dacia Arena,Ivan Pezzuto,Match Report,
1,Sun,8/22/2021,20:45 (21:45),Napoli,2.3,2–0,0.7,Venezia,"20,000",Stadio Diego Armando Maradona,Gianluca Aureliano,Match Report,
1,Sun,8/22/2021,20:45 (21:45),Roma,2.5,3–1,1.2,Fiorentina,"26,997",Stadio Olimpico,Luca Pairetto,Match Report,
1,Mon,8/23/2021,18:30 (19:30),Cagliari,2.7,2–2,0.8,Spezia,"5,387",Unipol Domus,Francesco Fourneau,Match Report,
1,Mon,8/23/2021,20:45 (21:45),Sampdoria,1.6,0–1,1.2,Milan,"5,000",Stadio Comunale Luigi Ferraris,Marco Guida,Match Report,
,,,,,,,,,,,,,
2,Fri,8/27/2021,18:30 (19:30),Udinese,2.6,3–0,1.2,Venezia,"8,274",Dacia Arena,Livio Marinelli,Match Report,
2,Fri,8/27/2021,20:45 (21:45),Hellas Verona,1,1–3,1.8,Inter,"11,214",Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,
2,Sat,8/28/2021,18:30 (19:30),Atalanta,1.2,0–0,0.3,Bologna,"7,912",Stadio Atleti Azzurri d'Italia,Daniele Orsato,Match Report,
2,Sat,8/28/2021,18:30 (19:30),Lazio,3.1,6–1,0.9,Spezia,"20,000",Stadio Olimpico,Federico Dionisi,Match Report,
2,Sat,8/28/2021,20:45 (21:45),Fiorentina,0.9,2–1,0.4,Torino,"12,592",Stadio Artemio Franchi,Maurizio Mariani,Match Report,
2,Sat,8/28/2021,20:45 (21:45),Juventus,1.6,0–1,0.8,Empoli,"17,584",Allianz Stadium,Davide Ghersini,Match Report,
2,Sun,8/29/2021,18:30 (19:30),Sassuolo,1.8,0–0,0.8,Sampdoria,"3,309",Mapei Stadium - Città del Tricolore,Juan Sacchi,Match Report,
2,Sun,8/29/2021,18:30 (19:30),Genoa,0.5,1–2,1.4,Napoli,"20,000",Stadio Comunale Luigi Ferraris,Marco Di Bello,Match Report,
2,Sun,8/29/2021,20:45 (21:45),Milan,2.9,4–1,0.7,Cagliari,"31,946",Stadio Giuseppe Meazza,Marco Serra,Match Report,
2,Sun,8/29/2021,20:45 (21:45),Salernitana,0.4,0–4,2.4,Roma,"12,500",Stadio Arechi,Rosario Abisso,Match Report,
,,,,,,,,,,,,,
3,Sat,9/11/2021,15:00 (16:00),Empoli,2.2,1–2,1.6,Venezia,"2,511",Stadio Carlo Castellani,Antonio Rapuano,Match Report,
3,Sat,9/11/2021,18:00 (19:00),Napoli,2.3,2–1,1.2,Juventus,"23,500",Stadio Diego Armando Maradona,Massimiliano Irrati,Match Report,
3,Sat,9/11/2021,20:45 (21:45),Atalanta,2.3,1–2,1.9,Fiorentina,"9,162",Stadio Atleti Azzurri d'Italia,Valerio Marini,Match Report,
3,Sun,9/12/2021,12:30 (13:30),Sampdoria,1.2,2–2,1.2,Inter,"7,441",Stadio Comunale Luigi Ferraris,Daniele Orsato,Match Report,
3,Sun,9/12/2021,15:00 (16:00),Cagliari,1.5,2–3,1.2,Genoa,"6,423",Unipol Domus,Luca Pairetto,Match Report,
3,Sun,9/12/2021,15:00 (16:00),Torino,2.3,4–0,0.3,Salernitana,"9,082",Stadio Olimpico di Torino,Gianluca Aureliano,Match Report,
3,Sun,9/12/2021,15:00 (16:00),Spezia,1.4,0–1,0.8,Udinese,"5,162",Stadio Alberto Picco,Marco Guida,Match Report,
3,Sun,9/12/2021,18:00 (19:00),Milan,3,2–0,0.3,Lazio,"36,207",Stadio Giuseppe Meazza,Daniele Chiffi,Match Report,
