Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,10/24/2020,15:00 (16:00),Atalanta,2.1,1–3,2.1,Sampdoria,"1,000",Stadio Atleti Azzurri d'Italia,Giampaolo Calvarese,Match Report,
5,Sat,10/24/2020,18:00 (19:00),Genoa,0,0–2,1.7,Inter,"1,000",Stadio Comunale Luigi Ferraris,Davide Massa,Match Report,
5,Sat,10/24/2020,20:45 (21:45),Lazio,1.5,2–1,1.7,Bologna,"1,000",Stadio Olimpico,Massimiliano Irrati,Match Report,
5,Sun,10/25/2020,12:30 (14:30),Cagliari,2.2,4–2,1.6,Crotone,"1,000",Sardegna Arena,Antonio Di Martino,Match Report,
5,Sun,10/25/2020,15:00 (17:00),Parma,3.5,2–2,0.8,Spezia,"1,000",Stadio Ennio Tardini,Valerio Marini,Match Report,
5,Sun,10/25/2020,15:00 (17:00),Benevento,0.8,1–2,2.2,Napoli,"1,000",Stadio Ciro Vigorito,Daniele Doveri,Match Report,
5,Sun,10/25/2020,18:00 (20:00),Fiorentina,1.1,3–2,2.6,Udinese,"1,000",Stadio Artemio Franchi,Francesco Fourneau,Match Report,
5,Sun,10/25/2020,20:45 (22:45),Juventus,1.5,1–1,0.7,Hellas Verona,"1,000",Allianz Stadium,Fabrizio Pasqua,Match Report,
5,Mon,10/26/2020,20:45 (22:45),Milan,2.5,3–3,2.1,Roma,,Stadio Giuseppe Meazza,Piero Giacomelli,Match Report,
,,,,,,,,,,,,,
6,Sat,10/31/2020,15:00 (17:00),Crotone,0.6,1–2,2.8,Atalanta,,Stadio Ezio Scida,Federico Dionisi,Match Report,
6,Sat,10/31/2020,18:00 (20:00),Inter,2.9,2–2,0.9,Parma,,Stadio Giuseppe Meazza,Marco Piccinini,Match Report,
6,Sat,10/31/2020,20:45 (22:45),Bologna,1.1,3–2,1.2,Cagliari,,Stadio Renato Dall'Ara,Michael Fabbri,Match Report,
6,Sun,11/1/2020,12:30 (14:30),Udinese,1,1–2,1.1,Milan,,Dacia Arena,Marco Di Bello,Match Report,
6,Sun,11/1/2020,15:00 (17:00),Torino,2.4,3–4,1.8,Lazio,,Stadio Olimpico di Torino,Daniele Chiffi,Match Report,
6,Sun,11/1/2020,15:00 (17:00),Spezia,0.7,1–4,2.7,Juventus,,Stadio Dino Manuzzi,Rosario Abisso,Match Report,
