Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,8/18/2018,18:00 (19:00),Chievo,1.1,2–3,3.1,Juventus,"29,500",Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua,Match Report,
1,Sat,8/18/2018,20:30 (21:30),Lazio,1,1–2,1.4,Napoli,"32,000",Stadio Olimpico,Luca Banti,Match Report,
1,Sun,8/19/2018,18:00 (19:00),Torino,0.6,0–1,1.2,Roma,"18,000",Stadio Olimpico di Torino,Marco Di Bello,Match Report,
1,Sun,8/19/2018,20:30 (21:30),Sassuolo,1.5,1–0,1.1,Inter,"19,104",Stadio Città del Tricolore,Maurizio Mariani,Match Report,
1,Sun,8/19/2018,20:30 (21:30),Empoli,1.3,2–0,0.9,Cagliari,"7,335",Stadio Carlo Castellani,Daniele Chiffi,Match Report,
1,Sun,8/19/2018,20:30 (21:30),Parma,1.5,2–2,1.9,Udinese,"13,141",Stadio Ennio Tardini,Giampaolo Calvarese,Match Report,
1,Sun,8/19/2018,20:30 (21:30),Bologna,1,0–1,0.6,SPAL,"21,158",Stadio Renato Dall'Ara,Piero Giacomelli,Match Report,
1,Mon,8/20/2018,20:30 (21:30),Atalanta,2.2,4–0,0.3,Frosinone,"18,217",Stadio Atleti Azzurri d'Italia,Marco Piccinini,Match Report,
,,,,,,,,,,,,,
2,Sat,8/25/2018,18:00 (19:00),Juventus,1.6,2–0,0.3,Lazio,"40,171",Allianz Stadium,Massimiliano Irrati,Match Report,
2,Sat,8/25/2018,20:30 (21:30),Napoli,1.4,3–2,0.7,Milan,"34,474",Stadio San Paolo,Paolo Valeri,Match Report,
2,Sun,8/26/2018,18:00 (19:00),SPAL,1.4,1–0,0.3,Parma,"6,000",Stadio Paolo Mazza,Daniele Orsato,Match Report,
2,Sun,8/26/2018,20:30 (21:30),Cagliari,1.3,2–2,1.8,Sassuolo,"14,432",Sardegna Arena,Luca Pairetto,Match Report,
2,Sun,8/26/2018,20:30 (21:30),Genoa,1.1,2–1,1.5,Empoli,"19,523",Stadio Comunale Luigi Ferraris,Livio Marinelli,Match Report,
2,Sun,8/26/2018,20:30 (21:30),Inter,0.8,2–2,1.1,Torino,"59,135",Stadio Giuseppe Meazza,Paolo Mazzoleni,Match Report,
2,Sun,8/26/2018,20:30 (21:30),Frosinone,1.7,0–0,0.9,Bologna,,Stadio Benito Stirpe,Gianluca Manganiello,Match Report,
2,Sun,8/26/2018,20:30 (21:30),Udinese,1.8,1–0,0.7,Sampdoria,"15,770",Dacia Arena,Federico La Penna,Match Report,
2,Sun,8/26/2018,20:30 (21:30),Fiorentina,3.5,6–1,0.7,Chievo,"27,790",Stadio Artemio Franchi,Rosario Abisso,Match Report,
2,Mon,8/27/2018,20:30 (21:30),Roma,2.5,3–3,3,Atalanta,"41,725",Stadio Olimpico,Michael Fabbri,Match Report,
,,,,,,,,,,,,,
3,Fri,8/31/2018,20:30 (21:30),Milan,1.9,2–1,0.3,Roma,"57,789",Stadio Giuseppe Meazza,Marco Guida,Match Report,
3,Sat,9/1/2018,18:00 (19:00),Bologna,0.5,0–3,1.9,Inter,"26,082",Stadio Renato Dall'Ara,Marco Di Bello,Match Report,
3,Sat,9/1/2018,20:30 (21:30),Parma,1.9,1–2,2.3,Juventus,"20,814",Stadio Ennio Tardini,Daniele Doveri,Match Report,
3,Sun,9/2/2018,18:00 (19:00),Fiorentina,0.9,1–0,0.2,Udinese,"31,009",Stadio Artemio Franchi,Antonio Giua,Match Report,
3,Sun,9/2/2018,20:30 (21:30),Torino,2,1–0,0.9,SPAL,"17,785",Stadio Olimpico di Torino,Fabrizio Pasqua,Match Report,
3,Sun,9/2/2018,20:30 (21:30),Chievo,1.1,0–0,1.2,Empoli,"8,100",Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Match Report,
3,Sun,9/2/2018,20:30 (21:30),Sampdoria,0.8,3–0,1.2,Napoli,"19,835",Stadio Comunale Luigi Ferraris,Davide Massa,Match Report,
3,Sun,9/2/2018,20:30 (21:30),Atalanta,0.4,0–1,0.3,Cagliari,"17,709",Stadio Atleti Azzurri d'Italia,Fabio Maresca,Match Report,
3,Sun,9/2/2018,20:30 (21:30),Lazio,2.6,1–0,0.5,Frosinone,"34,465",Stadio Olimpico,Giampaolo Calvarese,Match Report,
3,Sun,9/2/2018,20:30 (21:30),Sassuolo,1.7,5–3,1.9,Genoa,"9,740",Stadio Città del Tricolore,Gianluca Rocchi,Match Report,
,,,,,,,,,,,,,
4,Sat,9/15/2018,15:00 (16:00),Inter,1.3,0–1,0.3,Parma,"59,648",Stadio Giuseppe Meazza,Gianluca Manganiello,Match Report,
4,Sat,9/15/2018,18:00 (19:00),Napoli,1.4,1–0,0.3,Fiorentina,"20,131",Stadio San Paolo,Michael Fabbri,Match Report,
4,Sat,9/15/2018,20:30 (21:30),Frosinone,0.7,0–5,2.5,Sampdoria,"12,502",Stadio Benito Stirpe,Massimiliano Irrati,Match Report,
4,Sun,9/16/2018,12:30 (13:30),Roma,2.4,2–2,1.6,Chievo,"39,849",Stadio Olimpico,Paolo Mazzoleni,Match Report,
4,Sun,9/16/2018,15:00 (16:00),Udinese,0.3,1–1,0.7,Torino,"18,813",Dacia Arena,Paolo Valeri,Match Report,
4,Sun,9/16/2018,15:00 (16:00),Juventus,2.4,2–1,0.8,Sassuolo,"40,563",Allianz Stadium,Daniele Chiffi,Match Report,
4,Sun,9/16/2018,15:00 (16:00),Genoa,0.7,1–0,0.8,Bologna,"20,032",Stadio Comunale Luigi Ferraris,Luca Banti,Match Report,
4,Sun,9/16/2018,18:00 (19:00),Empoli,1.6,0–1,2.4,Lazio,"10,832",Stadio Carlo Castellani,Daniele Orsato,Match Report,
4,Sun,9/16/2018,20:30 (21:30),Cagliari,0.5,1–1,2.1,Milan,"16,201",Sardegna Arena,Rosario Abisso,Match Report,
4,Mon,9/17/2018,20:30 (21:30),SPAL,1.7,2–0,0.8,Atalanta,"14,153",Stadio Paolo Mazza,Maurizio Mariani,Match Report,
,,,,,,,,,,,,,
1,Wed,9/19/2018,19:00 (20:00),Sampdoria,0.5,1–1,1.4,Fiorentina,"18,334",Stadio Comunale Luigi Ferraris,Fabio Maresca,Match Report,
,,,,,,,,,,,,,
5,Fri,9/21/2018,20:30 (21:30),Sassuolo,2.2,3–1,1.1,Empoli,"10,183",Stadio Città del Tricolore,Federico La Penna,Match Report,
5,Sat,9/22/2018,15:00 (16:00),Parma,2.3,2–0,0.9,Cagliari,"14,852",Stadio Ennio Tardini,Giampaolo Calvarese,Match Report,
5,Sat,9/22/2018,18:00 (19:00),Fiorentina,1.5,3–0,0.6,SPAL,"30,068",Stadio Artemio Franchi,Davide Ghersini,Match Report,
5,Sat,9/22/2018,20:30 (21:30),Sampdoria,0.4,0–1,0.9,Inter,"22,835",Stadio Comunale Luigi Ferraris,Marco Guida,Match Report,
5,Sun,9/23/2018,12:30 (13:30),Torino,1.2,1–3,2,Napoli,"22,655",Stadio Olimpico di Torino,Massimiliano Irrati,Match Report,
5,Sun,9/23/2018,15:00 (16:00),Lazio,2.9,4–1,0.7,Genoa,"30,000",Stadio Olimpico,Rosario Abisso,Match Report,
5,Sun,9/23/2018,15:00 (16:00),Bologna,0.9,2–0,2.9,Roma,"20,067",Stadio Renato Dall'Ara,Davide Massa,Match Report,
5,Sun,9/23/2018,15:00 (16:00),Chievo,1.5,0–2,1.1,Udinese,"10,000",Stadio Marc'Antonio Bentegodi,Luca Pairetto,Match Report,
5,Sun,9/23/2018,18:00 (19:00),Milan,2.6,2–2,1.8,Atalanta,"51,684",Stadio Giuseppe Meazza,Daniele Doveri,Match Report,
5,Sun,9/23/2018,20:30 (21:30),Frosinone,0.1,0–2,3,Juventus,"16,000",Stadio Benito Stirpe,Piero Giacomelli,Match Report,
,,,,,,,,,,,,,
6,Tue,9/25/2018,21:00 (22:00),Inter,1.7,2–1,1.8,Fiorentina,"55,840",Stadio Giuseppe Meazza,Paolo Mazzoleni,Match Report,
6,Wed,9/26/2018,19:00 (20:00),Udinese,0.9,1–2,1.6,Lazio,"19,455",Dacia Arena,Fabio Maresca,Match Report,
6,Wed,9/26/2018,21:00 (22:00),Napoli,2.6,3–0,0.1,Parma,"29,354",Stadio San Paolo,Daniele Doveri,Match Report,
6,Wed,9/26/2018,21:00 (22:00),Genoa,1.3,2–0,1.2,Chievo,"18,969",Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,Match Report,
6,Wed,9/26/2018,21:00 (22:00),Cagliari,1,0–0,2.1,Sampdoria,"14,038",Sardegna Arena,Gianluca Rocchi,Match Report,
6,Wed,9/26/2018,21:00 (22:00),Roma,2.4,4–0,0.6,Frosinone,"34,380",Stadio Olimpico,Marco Di Bello,Match Report,
6,Wed,9/26/2018,21:00 (22:00),Juventus,1.1,2–0,0.3,Bologna,"38,472",Allianz Stadium,Maurizio Mariani,Match Report,
6,Wed,9/26/2018,21:00 (22:00),Atalanta,0.8,0–0,0.3,Torino,"18,144",Stadio Atleti Azzurri d'Italia,Daniele Orsato,Match Report,
6,Thu,9/27/2018,19:00 (20:00),SPAL,1.1,0–2,1.9,Sassuolo,"13,945",Stadio Paolo Mazza,Eugenio Abbattista,Match Report,
6,Thu,9/27/2018,21:00 (22:00),Empoli,1.2,1–1,1.4,Milan,"13,890",Stadio Carlo Castellani,Michael Fabbri,Match Report,
,,,,,,,,,,,,,
7,Sat,9/29/2018,15:00 (16:00),Roma,2,3–1,0.9,Lazio,"47,600",Stadio Olimpico,Gianluca Rocchi,Match Report,
7,Sat,9/29/2018,18:00 (19:00),Juventus,2.8,3–1,1.5,Napoli,"39,252",Allianz Stadium,Luca Banti,Match Report,
7,Sat,9/29/2018,20:30 (21:30),Inter,1,2–0,0.2,Cagliari,"55,486",Stadio Giuseppe Meazza,Davide Massa,Match Report,
7,Sun,9/30/2018,12:30 (13:30),Bologna,1.6,2–1,1,Udinese,"19,039",Stadio Renato Dall'Ara,Gianluca Manganiello,Match Report,
7,Sun,9/30/2018,15:00 (16:00),Chievo,0.3,0–1,1.6,Torino,"10,500",Stadio Marc'Antonio Bentegodi,Marco Guida,Match Report,
