Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
3,Fri,8/26/2022,20:45 (21:45),Lazio,1.1,3–1,1.5,Inter,"52,500",Stadio Olimpico,Michael Fabbri,Match Report,
3,Sat,8/27/2022,18:30 (19:30),Juventus,0.6,1–1,1.3,Roma,"41,003",Allianz Stadium,Massimiliano Irrati,Match Report,
3,Sat,8/27/2022,18:30 (19:30),Cremonese,0.8,1–2,1.7,Torino,"11,572",Stadio Giovanni Zini,Paolo Valeri,Match Report,
3,Sat,8/27/2022,20:45 (21:45),Milan,1.9,2–0,0.5,Bologna,"70,430",Stadio Giuseppe Meazza,Gianluca Manganiello,Match Report,
3,Sat,8/27/2022,20:45 (21:45),Spezia,1.2,2–2,2.8,Sassuolo,"6,500",Stadio Alberto Picco,Francesco Cosso,Match Report,
3,Sun,8/28/2022,18:30 (19:30),Salernitana,1.7,4–0,1.8,Sampdoria,"19,116",Stadio Arechi,Davide Massa,Match Report,
3,Sun,8/28/2022,18:30 (19:30),Hellas Verona,0.5,0–1,0.8,Atalanta,"16,106",Stadio Marc'Antonio Bentegodi,Alessandro Prontera,Match Report,
3,Sun,8/28/2022,20:45 (21:45),Lecce,0.9,1–1,0.4,Empoli,"23,941",Stadio Comunale Via Del Mare,Alberto Santoro,Match Report,
3,Sun,8/28/2022,20:45 (21:45),Fiorentina,0.5,0–0,1.7,Napoli,"32,286",Stadio Artemio Franchi,Livio Marinelli,Match Report,
,,,,,,,,,,,,,
4,Tue,8/30/2022,18:30 (19:30),Sassuolo,1.1,0–0,0.7,Milan,"18,053",Mapei Stadium - Città del Tricolore,Giovanni Ayroldi,Match Report,
4,Tue,8/30/2022,20:45 (21:45),Inter,2.2,3–1,1.2,Cremonese,"70,750",Stadio Giuseppe Meazza,Francesco Fourneau,Match Report,
4,Tue,8/30/2022,20:45 (21:45),Roma,1.8,3–0,0.9,Monza,"60,669",Stadio Olimpico,Marco Piccinini,Match Report,
4,Wed,8/31/2022,18:30 (19:30),Sampdoria,0.8,1–1,1.5,Lazio,"18,499",Stadio Comunale Luigi Ferraris,Gianluca Aureliano,Match Report,
4,Wed,8/31/2022,18:30 (19:30),Udinese,1.3,1–0,0.7,Fiorentina,"19,684",Dacia Arena,Maurizio Mariani,Match Report,
4,Wed,8/31/2022,18:30 (19:30),Empoli,1.1,1–1,0.6,Hellas Verona,"7,269",Stadio Carlo Castellani,Marco Serra,Match Report,
4,Wed,8/31/2022,20:45 (21:45),Juventus,0.9,2–0,0.2,Spezia,"35,709",Allianz Stadium,Andrea Colombo,Match Report,
4,Wed,8/31/2022,20:45 (21:45),Napoli,1.7,1–1,1.1,Lecce,"37,573",Stadio Diego Armando Maradona,Matteo Marcenaro,Match Report,
4,Thu,9/1/2022,20:45 (21:45),Atalanta,2.9,3–1,0.4,Torino,"17,928",Stadio Atleti Azzurri d'Italia,Marco Di Bello,Match Report,
4,Thu,9/1/2022,20:45 (21:45),Bologna,1.8,1–1,1.4,Salernitana,"19,787",Stadio Renato Dall'Ara,Davide Ghersini,Match Report,
,,,,,,,,,,,,,
5,Sat,9/3/2022,15:00 (16:00),Fiorentina,2.1,1–1,0.9,Juventus,"36,550",Stadio Artemio Franchi,Daniele Doveri,Match Report,
5,Sat,9/3/2022,18:00 (19:00),Milan,1.3,3–2,1.8,Inter,"75,475",Stadio Giuseppe Meazza,Daniele Chiffi,Match Report,
5,Sat,9/3/2022,20:45 (21:45),Lazio,0.3,1–2,2.1,Napoli,"39,000",Stadio Olimpico,Simone Sozza,Match Report,
5,Sun,9/4/2022,12:30 (13:30),Cremonese,0.4,0–0,1.5,Sassuolo,"9,105",Stadio Giovanni Zini,Luca Pairetto,Match Report,
5,Sun,9/4/2022,15:00 (16:00),Spezia,0.9,2–2,0.9,Bologna,"7,555",Stadio Alberto Picco,Antonio Giua,Match Report,
5,Sun,9/4/2022,18:00 (19:00),Hellas Verona,2.5,2–1,0.8,Sampdoria,"16,675",Stadio Marc'Antonio Bentegodi,Paolo Valeri,Match Report,
5,Sun,9/4/2022,20:45 (21:45),Udinese,1.2,4–0,0.8,Roma,"24,108",Dacia Arena,Fabio Maresca,Match Report,
5,Mon,9/5/2022,18:30 (19:30),Salernitana,1.3,2–2,0.9,Empoli,"18,173",Stadio Arechi,Rosario Abisso,Match Report,
5,Mon,9/5/2022,18:30 (19:30),Monza,0.6,0–2,1.9,Atalanta,"11,970",U-Power Stadium,Juan Sacchi,Match Report,
5,Mon,9/5/2022,20:45 (21:45),Torino,1.1,1–0,0.3,Lecce,"19,087",Stadio Olimpico di Torino,Manuel Volpi,Match Report,
,,,,,,,,,,,,,
6,Sat,9/10/2022,15:00 (16:00),Napoli,2.2,1–0,0.5,Spezia,"32,839",Stadio Diego Armando Maradona,Alberto Santoro,Match Report,
6,Sat,9/10/2022,18:00 (19:00),Inter,1.5,1–0,0.7,Torino,"69,134",Stadio Giuseppe Meazza,Giovanni Ayroldi,Match Report,
6,Sat,9/10/2022,20:45 (21:45),Sampdoria,0.7,1–2,1.7,Milan,"23,049",Stadio Comunale Luigi Ferraris,Michael Fabbri,Match Report,
6,Sun,9/11/2022,12:30 (13:30),Atalanta,0.7,1–1,0.6,Cremonese,"18,252",Stadio Atleti Azzurri d'Italia,Andrea Colombo,Match Report,
6,Sun,9/11/2022,15:00 (16:00),Bologna,0.6,2–1,1.3,Fiorentina,"18,901",Stadio Renato Dall'Ara,Daniele Orsato,Match Report,
6,Sun,9/11/2022,15:00 (16:00),Lecce,0.9,1–1,0.1,Monza,"23,391",Stadio Comunale Via Del Mare,Luca Pairetto,Match Report,
6,Sun,9/11/2022,15:00 (16:00),Sassuolo,0.5,1–3,2.1,Udinese,"8,694",Mapei Stadium - Città del Tricolore,Giacomo Camplone,Match Report,
6,Sun,9/11/2022,18:00 (19:00),Lazio,1.1,2–0,0.3,Hellas Verona,"38,000",Stadio Olimpico,Massimiliano Irrati,Match Report,
6,Sun,9/11/2022,20:45 (21:45),Juventus,1.9,2–2,1.6,Salernitana,"35,097",Allianz Stadium,Matteo Marcenaro,Match Report,
6,Mon,9/12/2022,20:45 (21:45),Empoli,1.1,1–2,3,Roma,"4,560",Stadio Carlo Castellani,Livio Marinelli,Match Report,
,,,,,,,,,,,,,
7,Fri,9/16/2022,20:45 (21:45),Salernitana,1.2,1–2,1.5,Lecce,"19,488",Stadio Arechi,Daniele Doveri,Match Report,
7,Sat,9/17/2022,15:00 (16:00),Bologna,1.6,0–1,1.6,Empoli,"15,670",Stadio Renato Dall'Ara,Manuel Volpi,Match Report,
7,Sat,9/17/2022,18:00 (19:00),Spezia,0.7,2–1,0.9,Sampdoria,"10,000",Stadio Alberto Picco,Simone Sozza,Match Report,
7,Sat,9/17/2022,20:45 (21:45),Torino,0.7,0–1,0.4,Sassuolo,"14,822",Stadio Olimpico di Torino,Niccolò Baroni,Match Report,
7,Sun,9/18/2022,12:30 (13:30),Udinese,1.6,3–1,1.1,Inter,"22,475",Dacia Arena,Paolo Valeri,Match Report,
7,Sun,9/18/2022,15:00 (16:00),Cremonese,1.3,0–4,3.1,Lazio,"12,991",Stadio Giovanni Zini,Daniele Orsato,Match Report,
