Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,2,Wed,9/14/2022,21:00 (22:00),Juventus it,0.8,1–2,2.2,pt Benfica,"34,015",Allianz Stadium,Felix Zwayer,Match Report,
Group stage,2,Wed,9/14/2022,21:00 (22:00),Real Madrid es,0.9,2–0,0.7,de RB Leipzig,"54,289",Estadio Santiago Bernabéu,Maurizio Mariani,Match Report,
Group stage,2,Wed,9/14/2022,22:00,Maccabi Haifa il,1,1–3,1.8,fr Paris S-G,"30,412",Sammy Ofer Stadium,Daniel Siebert,Match Report,
,,,,,,,,,,,,,,
Group stage,3,Tue,10/4/2022,18:45 (19:45),Bayern Munich de,2.4,5–0,0.5,cz Viktoria Plzeň,"75,000",Allianz Arena,Nikola Dabanović,Match Report,
Group stage,3,Tue,10/4/2022,18:55 (19:55),Marseille fr,2.5,4–1,0.4,pt Sporting CP,618,Orange Vélodrome,Davide Massa,Match Report,
Group stage,3,Tue,10/4/2022,20:00 (22:00),Liverpool eng,2.9,2–0,0.4,sct Rangers,"49,512",Anfield,Clément Turpin,Match Report,
Group stage,3,Tue,10/4/2022,20:00 (22:00),Porto pt,1.1,2–0,1.4,de Leverkusen,"42,399",Estádio Do Dragão,Anthony Taylor,Match Report,
Group stage,3,Tue,10/4/2022,21:00 (22:00),Eint Frankfurt de,1,0–0,1.5,eng Tottenham,"50,500",Deutsche Bank Park,Daniele Orsato,Match Report,
Group stage,3,Tue,10/4/2022,21:00 (22:00),Inter it,0.2,1–0,0.5,es Barcelona,"71,368",Stadio Giuseppe Meazza,Slavko Vinčič,Match Report,
Group stage,3,Tue,10/4/2022,21:00 (22:00),Ajax nl,1.4,1–6,3.3,it Napoli,"52,896",Johan Cruyff ArenA,François Letexier,Match Report,
Group stage,3,Tue,10/4/2022,21:00 (22:00),Club Brugge be,1.3,2–0,2.1,es Atlético Madrid,"25,667",Jan Breydelstadion,István Kovács,Match Report,
Group stage,3,Wed,10/5/2022,18:45 (19:45),RB Leipzig de,2.2,3–1,0.9,sct Celtic,"45,228",Red Bull Arena,Espen Andreas Eskås,Match Report,
Group stage,3,Wed,10/5/2022,18:45 (19:45),RB Salzburg at,2.2,1–0,0.7,hr Dinamo Zagreb,"28,864",Red Bull Arena,Andris Treimanis,Match Report,
Group stage,3,Wed,10/5/2022,20:00 (22:00),Chelsea eng,1.1,3–0,0.4,it Milan,"39,537",Stamford Bridge,Danny Makkelie,Match Report,
Group stage,3,Wed,10/5/2022,20:00 (22:00),Benfica pt,1.4,1–1,1,fr Paris S-G,"62,295",Estádio do Sport Lisboa e Benfica,Jesús Gil,Match Report,
Group stage,3,Wed,10/5/2022,20:00 (22:00),Manchester City eng,4.3,5–0,0.4,dk FC Copenhagen,"51,765",Etihad Stadium,Donatas Rumšas,Match Report,
