,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Team1,Team2,Result
34,Group stage,3.0,Tue,10/22/2019,18:55 (19:55),Atlético Madrid es,0.8,1–0,0.5,de Leverkusen,"56,776",Estadio Wanda Metropolitano,Artur Soares Dias,Match Report,,1,0,1
35,Group stage,3.0,Tue,10/22/2019,19:55,Shakhtar ua,1.5,2–2,2.1,hr Dinamo Zagreb,"21,526",Oblasny SportKomplex Metalist,Antonio Matéu Lahoz,Match Report,,2,2,0
36,Group stage,3.0,Tue,10/22/2019,20:00 (22:00),Tottenham eng,3.7,5–0,0.6,rs Red Star,"51,743",Tottenham Hotspur Stadium,Marco Guida,Match Report,,5,0,1
37,Group stage,3.0,Tue,10/22/2019,20:00 (22:00),Manchester City eng,4.2,5–1,1.8,it Atalanta,"49,308",Etihad Stadium,Orel Grinfeeld,Match Report,,5,1,1
38,Group stage,3.0,Tue,10/22/2019,21:00 (22:00),Club Brugge be,0.3,0–5,3.5,fr Paris S-G,"26,946",Jan Breydelstadion,Daniel Siebert,Match Report,,0,5,2
39,Group stage,3.0,Tue,10/22/2019,21:00 (22:00),Juventus it,2.4,2–1,0.7,ru Loko Moscow,"38,547",Allianz Stadium,Tasos Sidiropoulos,Match Report,,2,1,1
40,Group stage,3.0,Tue,10/22/2019,22:00,Olympiacos gr,0.5,2–3,2.6,de Bayern Munich,"31,670",Stadio Georgios Karaiskáki,Danny Makkelie,Match Report,,2,3,2
41,Group stage,3.0,Tue,10/22/2019,22:00,Galatasaray tr,1.2,0–1,2.4,es Real Madrid,"48,886",Türk Telekom Arena,Daniele Orsato,Match Report,,0,1,2
42,Group stage,3.0,Wed,10/23/2019,18:55 (19:55),RB Leipzig de,2.2,2–1,0.7,ru Zenit,"41,058",Red Bull Arena,Ali Palabıyık,Match Report,,2,1,1
43,Group stage,3.0,Wed,10/23/2019,18:55 (19:55),Ajax nl,0.5,0–1,1.6,eng Chelsea,"52,482",Johan Cruyff ArenA,Ovidiu Hațegan,Match Report,,0,1,2
44,Group stage,3.0,Wed,10/23/2019,20:00 (22:00),Benfica pt,0.5,2–1,1.5,fr Lyon,"53,035",Estádio do Sport Lisboa e Benfica,Ivan Kružliak,Match Report,,2,1,1
45,Group stage,3.0,Wed,10/23/2019,21:00 (22:00),Inter it,2.1,2–0,0.4,de Dortmund,"65,673",Stadio Giuseppe Meazza,Anthony Taylor,Match Report,,2,0,1
46,Group stage,3.0,Wed,10/23/2019,21:00 (22:00),RB Salzburg at,2.7,2–3,0.9,it Napoli,"29,520",Red Bull Arena,Clément Turpin,Match Report,,2,3,2
47,Group stage,3.0,Wed,10/23/2019,21:00 (22:00),Lille fr,1.9,1–1,0.6,es Valencia,"47,488",Stade Pierre-Mauroy,Deniz Aytekin,Match Report,,1,1,0
48,Group stage,3.0,Wed,10/23/2019,21:00 (22:00),Genk be,1.3,1–4,2.5,eng Liverpool,"19,626",Luminus Arena,Slavko Vinčič,Match Report,,1,4,2
