Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Tue,9/12/2017,19:45 (21:45),Chelsea eng,2,6–0,0.3,az Qarabağ FK,"41,150",Stamford Bridge,Tasos Sidiropoulos,Match Report,
Group stage,1,Tue,9/12/2017,19:45 (21:45),Celtic sct,0.4,0–5,2.5,fr Paris S-G,"57,562",Celtic Park,Daniele Orsato,Match Report,
Group stage,1,Tue,9/12/2017,19:45 (21:45),Manchester Utd eng,3.4,3–0,0.6,ch Basel,"73,854",Old Trafford,Ruddy Buquet,Match Report,
Group stage,1,Tue,9/12/2017,19:45 (21:45),Benfica pt,2.1,1–2,1.6,ru CSKA Moscow,"38,323",Estádio do Sport Lisboa e Benfica,Alberto Undiano,Match Report,
Group stage,1,Tue,9/12/2017,20:45 (21:45),Roma it,0.5,0–0,2.4,es Atlético Madrid,"36,064",Stadio Olimpico,Milorad Mažić,Match Report,
Group stage,1,Tue,9/12/2017,20:45 (21:45),Barcelona es,0.9,3–0,0.7,it Juventus,"78,656",Camp Nou,Damir Skomina,Match Report,
Group stage,1,Tue,9/12/2017,20:45 (21:45),Bayern Munich de,4.2,3–0,0.8,be Anderlecht,"70,000",Allianz Arena,Paolo Tagliavento,Match Report,
Group stage,1,Tue,9/12/2017,21:45,Olympiacos gr,1.1,2–3,2.6,pt Sporting CP,"30,168",Stadio Georgios Karaiskáki,Viktor Kassai,Match Report,
Group stage,1,Wed,9/13/2017,19:45 (21:45),Porto pt,1.5,1–3,0.9,tr Beşiktaş,"42,429",Estádio Do Dragão,Anthony Taylor,Match Report,
Group stage,1,Wed,9/13/2017,19:45 (21:45),Liverpool eng,2.4,2–2,1.2,es Sevilla,"52,332",Anfield,Danny Makkelie,Match Report,
Group stage,1,Wed,9/13/2017,19:45 (21:45),Tottenham eng,1.2,3–1,0.8,de Dortmund,"67,343",Wembley Stadium,Gianluca Rocchi,Match Report,
Group stage,1,Wed,9/13/2017,20:45 (21:45),NK Maribor si,1.1,1–1,1.8,ru Spartak Moscow,"12,566",Ljudski vrt,Deniz Aytekin,Match Report,
Group stage,1,Wed,9/13/2017,20:45 (21:45),Feyenoord nl,0.3,0–4,1.3,eng Manchester City,"43,500",Stadion Feijenoord,Szymon Marciniak,Match Report,
Group stage,1,Wed,9/13/2017,20:45 (21:45),RB Leipzig de,0.9,1–1,1.1,fr Monaco,"40,068",Red Bull Arena,Michael Oliver,Match Report,
Group stage,1,Wed,9/13/2017,20:45 (21:45),Real Madrid es,3.9,3–0,0.2,cy APOEL FC,"71,060",Estadio Santiago Bernabéu,Benoît Bastien,Match Report,
