Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Tue,10/20/2020,19:55,Zenit ru,2.2,1–2,2,be Club Brugge,"16,682",Gazprom Arena,Benoît Bastien,Match Report,
Group stage,1,Tue,10/20/2020,19:55,Dynamo Kyiv ua,0.5,0–2,2,it Juventus,"14,850",NSK Olimpijs'kyj,Ovidiu Hațegan,Match Report,
Group stage,1,Tue,10/20/2020,20:00 (22:00),Chelsea eng,0.4,0–0,0.2,es Sevilla,,Stamford Bridge,Davide Massa,Match Report,
Group stage,1,Tue,10/20/2020,21:00 (22:00),Barcelona es,2.8,5–1,1.3,hu Ferencváros,,Camp Nou,Sandro Schärer,Match Report,
Group stage,1,Tue,10/20/2020,21:00 (22:00),RB Leipzig de,1,2–0,0.6,tr Başakşehir,999,Red Bull Arena,Jesús Gil,Match Report,
Group stage,1,Tue,10/20/2020,21:00 (22:00),Rennes fr,2.7,1–1,1.4,ru Krasnodar,"4,973",Roazhon Park,Anastasios Sidiropoulos,Match Report,
Group stage,1,Tue,10/20/2020,21:00 (22:00),Paris S-G fr,1.4,1–2,1.4,eng Manchester Utd,,Parc des Princes,Antonio Matéu Lahoz,Match Report,
Group stage,1,Tue,10/20/2020,21:00 (22:00),Lazio it,1.7,3–1,1.3,de Dortmund,"1,000",Stadio Olimpico,Clément Turpin,Match Report,
Group stage,1,Wed,10/21/2020,18:55 (19:55),Real Madrid es,1,2–3,1.7,ua Shakhtar,,Estadio Alfredo Di Stéfano,Srđan Jovanović,Match Report,
Group stage,1,Wed,10/21/2020,18:55 (19:55),RB Salzburg at,1.1,2–2,0.8,ru Loko Moscow,"3,000",Red Bull Arena,Serdar Gözübüyük,Match Report,
Group stage,1,Wed,10/21/2020,20:00 (22:00),Manchester City eng,1.5,3–1,0.2,pt Porto,,Etihad Stadium,Andris Treimanis,Match Report,
Group stage,1,Wed,10/21/2020,21:00 (22:00),Bayern Munich de,2.6,4–0,0.4,es Atlético Madrid,,Allianz Arena,Michael Oliver,Match Report,
Group stage,1,Wed,10/21/2020,21:00 (22:00),Inter it,2.8,2–2,1.4,de M'Gladbach,"1,000",Stadio Giuseppe Meazza,Björn Kuipers,Match Report,
Group stage,1,Wed,10/21/2020,21:00 (22:00),Ajax nl,1.4,0–1,1.1,eng Liverpool,,Johan Cruyff ArenA,Felix Brych,Match Report,
Group stage,1,Wed,10/21/2020,21:00 (22:00),Midtjylland dk,0.8,0–4,2.5,it Atalanta,132,MCH Arena,Artur Soares Dias,Match Report,
Group stage,1,Wed,10/21/2020,22:00,Olympiacos gr,1,1–0,0.9,fr Marseille,,Stadio Georgios Karaiskáki,Daniele Orsato,Match Report,
,,,,,,,,,,,,,,
Group stage,2,Tue,10/27/2020,19:55 (20:55),Shakhtar ua,0.1,0–0,1.7,it Inter,"10,178",Oblasny SportKomplex Metalist,Georgi Kabakov,Match Report,
Group stage,2,Tue,10/27/2020,20:00 (23:00),Liverpool eng,2.2,2–0,1.2,dk Midtjylland,,Anfield,Paweł Raczkowski,Match Report,
Group stage,2,Tue,10/27/2020,20:00 (23:00),Porto pt,1.4,2–0,1,gr Olympiacos,"2,450",Estádio Do Dragão,Daniel Siebert,Match Report,
Group stage,2,Tue,10/27/2020,20:55,Loko Moscow ru,1.5,1–2,3.2,de Bayern Munich,"8,196",RZD Arena,István Kovács,Match Report,
Group stage,2,Tue,10/27/2020,21:00 (23:00),Marseille fr,0.1,0–3,1.9,eng Manchester City,,Orange Vélodrome,Tobias Stieler,Match Report,
Group stage,2,Tue,10/27/2020,21:00 (23:00),Atalanta it,1.7,2–2,1.4,nl Ajax,,Stadio Atleti Azzurri d'Italia,Damir Skomina,Match Report,
Group stage,2,Tue,10/27/2020,21:00 (23:00),Atlético Madrid es,2.5,3–2,1.1,at RB Salzburg,,Estadio Wanda Metropolitano,Ovidiu Hațegan,Match Report,
Group stage,2,Tue,10/27/2020,21:00 (23:00),M'Gladbach de,1.6,2–2,2.6,es Real Madrid,,Stadion im Borussia-Park,Orel Grinfeeld,Match Report,
Group stage,2,Wed,10/28/2020,20:00 (23:00),Manchester Utd eng,3.2,5–0,0.5,de RB Leipzig,577,Old Trafford,Matej Jug,Match Report,
Group stage,2,Wed,10/28/2020,20:55,Krasnodar ru,0.6,0–4,2.4,eng Chelsea,"10,544",Krasnodar Stadium,Ali Palabıyık,Match Report,
Group stage,2,Wed,10/28/2020,20:55,Başakşehir tr,0.9,0–2,2.4,fr Paris S-G,350,Başakşehir Fatih Terim Stadium,Andreas Ekberg,Match Report,
