Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Tue,9/17/2019,18:55 (19:55),Lyon fr,1.6,1–1,1,ru Zenit,"47,201",Groupama Stadium,Michael Oliver,Match Report,
Group stage,1,Tue,9/17/2019,18:55 (19:55),Inter it,1.4,1–1,1,cz Slavia Prague,"50,128",Stadio Giuseppe Meazza,Ruddy Buquet,Match Report,
Group stage,1,Tue,9/17/2019,20:00 (22:00),Chelsea eng,2.8,0–1,1,es Valencia,"39,469",Stamford Bridge,Cüneyt Çakιr,Match Report,
Group stage,1,Tue,9/17/2019,20:00 (22:00),Benfica pt,1.8,1–2,1,de RB Leipzig,"46,460",Estádio do Sport Lisboa e Benfica,Tasos Sidiropoulos,Match Report,
Group stage,1,Tue,9/17/2019,21:00 (22:00),Dortmund de,3.4,0–0,0.4,es Barcelona,"66,099",Signal Iduna Park,Ovidiu Hațegan,Match Report,
Group stage,1,Tue,9/17/2019,21:00 (22:00),RB Salzburg at,4.3,6–2,0.7,be Genk,"29,520",Red Bull Arena,Felix Zwayer,Match Report,
Group stage,1,Tue,9/17/2019,21:00 (22:00),Ajax nl,1.5,3–0,2,fr Lille,"51,441",Johan Cruyff ArenA,Srđan Jovanović,Match Report,
Group stage,1,Tue,9/17/2019,21:00 (22:00),Napoli it,1.8,2–0,0.7,eng Liverpool,"38,878",Stadio San Paolo,Felix Brych,Match Report,
Group stage,1,Wed,9/18/2019,18:55 (19:55),Club Brugge be,1.7,0–0,0.6,tr Galatasaray,"26,616",Jan Breydelstadion,Slavko Vinčič,Match Report,
Group stage,1,Wed,9/18/2019,19:55,Olympiacos gr,1.7,2–2,1.7,eng Tottenham,"31,001",Stadio Georgios Karaiskáki,Gianluca Rocchi,Match Report,
Group stage,1,Wed,9/18/2019,21:00 (22:00),Atlético Madrid es,2.3,2–2,1.1,it Juventus,"66,283",Estadio Wanda Metropolitano,Danny Makkelie,Match Report,
Group stage,1,Wed,9/18/2019,21:00 (22:00),Paris S-G fr,1.7,3–0,0.6,es Real Madrid,"46,361",Parc des Princes,Anthony Taylor,Match Report,
Group stage,1,Wed,9/18/2019,21:00 (22:00),Bayern Munich de,4.3,3–0,0.3,rs Red Star,"70,000",Allianz Arena,Bobby Madden,Match Report,
Group stage,1,Wed,9/18/2019,21:00 (22:00),Dinamo Zagreb hr,2.7,4–0,1.8,it Atalanta,"28,863",Stadion Maksimir,Jesús Gil,Match Report,
Group stage,1,Wed,9/18/2019,21:00 (22:00),Leverkusen de,1.5,1–2,0.9,ru Loko Moscow,"26,592",BayArena,Paweł Raczkowski,Match Report,
Group stage,1,Wed,9/18/2019,22:00,Shakhtar ua,0.9,0–3,2.5,eng Manchester City,"36,675",Oblasny SportKomplex Metalist,Artur Soares Dias,Match Report,
,,,,,,,,,,,,,,
Group stage,2,Tue,10/1/2019,18:55 (19:55),Atalanta it,2.5,1–2,1.5,ua Shakhtar,"26,022",Stadio Giuseppe Meazza,Tobias Stieler,Match Report,
Group stage,2,Tue,10/1/2019,18:55 (19:55),Real Madrid es,2.3,2–2,1.4,be Club Brugge,"65,112",Estadio Santiago Bernabéu,Georgi Kabakov,Match Report,
Group stage,2,Tue,10/1/2019,20:00 (22:00),Manchester City eng,3.6,2–0,0.1,hr Dinamo Zagreb,"49,046",Etihad Stadium,Serdar Gözübüyük,Match Report,
Group stage,2,Tue,10/1/2019,20:00 (22:00),Tottenham eng,1.9,2–7,1.3,de Bayern Munich,"60,127",Tottenham Hotspur Stadium,Clément Turpin,Match Report,
Group stage,2,Tue,10/1/2019,21:00 (22:00),Juventus it,1.2,3–0,0.5,de Leverkusen,"34,525",Allianz Stadium,William Collum,Match Report,
Group stage,2,Tue,10/1/2019,21:00 (22:00),Red Star rs,1.3,3–1,0.9,gr Olympiacos,"43,291",Stadion Rajko Mitić,Benoît Bastien,Match Report,
Group stage,2,Tue,10/1/2019,22:00,Loko Moscow ru,1.1,0–2,2.9,es Atlético Madrid,"27,051",RZD Arena,Orel Grinfeeld,Match Report,
Group stage,2,Tue,10/1/2019,22:00,Galatasaray tr,0.5,0–1,2.6,fr Paris S-G,"46,532",Türk Telekom Arena,Szymon Marciniak,Match Report,
Group stage,2,Wed,10/2/2019,18:55 (19:55),Genk be,0.7,0–0,3.2,it Napoli,"19,962",Luminus Arena,István Kovács,Match Report,
Group stage,2,Wed,10/2/2019,18:55 (19:55),Slavia Prague cz,1.4,0–2,0.8,de Dortmund,"19,370",Sinobo Stadium,Björn Kuipers,Match Report,
Group stage,2,Wed,10/2/2019,20:00 (22:00),Liverpool eng,2.5,4–3,1.6,at RB Salzburg,"52,243",Anfield,Andreas Ekberg,Match Report,
Group stage,2,Wed,10/2/2019,21:00 (22:00),Barcelona es,1.5,2–1,1.1,it Inter,"86,141",Camp Nou,Damir Skomina,Match Report,
Group stage,2,Wed,10/2/2019,21:00 (22:00),RB Leipzig de,1.9,0–2,1.5,fr Lyon,"40,194",Red Bull Arena,Antonio Matéu Lahoz,Match Report,
Group stage,2,Wed,10/2/2019,21:00 (22:00),Lille fr,0.6,1–2,1.4,eng Chelsea,"48,523",Stade Pierre-Mauroy,Aliaksei Kulbakou,Match Report,
Group stage,2,Wed,10/2/2019,21:00 (22:00),Valencia es,2,0–3,1.7,nl Ajax,"44,659",Estadio de Mestalla,Daniele Orsato,Match Report,
Group stage,2,Wed,10/2/2019,22:00,Zenit ru,2.1,3–1,1.2,pt Benfica,"51,683",Gazprom Arena,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,,
Group stage,3,Tue,10/22/2019,18:55 (19:55),Atlético Madrid es,0.8,1–0,0.5,de Leverkusen,"56,776",Estadio Wanda Metropolitano,Artur Soares Dias,Match Report,
Group stage,3,Tue,10/22/2019,19:55,Shakhtar ua,1.5,2–2,2.1,hr Dinamo Zagreb,"21,526",Oblasny SportKomplex Metalist,Antonio Matéu Lahoz,Match Report,
Group stage,3,Tue,10/22/2019,20:00 (22:00),Tottenham eng,3.7,5–0,0.6,rs Red Star,"51,743",Tottenham Hotspur Stadium,Marco Guida,Match Report,
Group stage,3,Tue,10/22/2019,20:00 (22:00),Manchester City eng,4.2,5–1,1.8,it Atalanta,"49,308",Etihad Stadium,Orel Grinfeeld,Match Report,
Group stage,3,Tue,10/22/2019,21:00 (22:00),Club Brugge be,0.3,0–5,3.5,fr Paris S-G,"26,946",Jan Breydelstadion,Daniel Siebert,Match Report,
Group stage,3,Tue,10/22/2019,21:00 (22:00),Juventus it,2.4,2–1,0.7,ru Loko Moscow,"38,547",Allianz Stadium,Tasos Sidiropoulos,Match Report,
Group stage,3,Tue,10/22/2019,22:00,Olympiacos gr,0.5,2–3,2.6,de Bayern Munich,"31,670",Stadio Georgios Karaiskáki,Danny Makkelie,Match Report,
Group stage,3,Tue,10/22/2019,22:00,Galatasaray tr,1.2,0–1,2.4,es Real Madrid,"48,886",Türk Telekom Arena,Daniele Orsato,Match Report,
Group stage,3,Wed,10/23/2019,18:55 (19:55),RB Leipzig de,2.2,2–1,0.7,ru Zenit,"41,058",Red Bull Arena,Ali Palabıyık,Match Report,
Group stage,3,Wed,10/23/2019,18:55 (19:55),Ajax nl,0.5,0–1,1.6,eng Chelsea,"52,482",Johan Cruyff ArenA,Ovidiu Hațegan,Match Report,
Group stage,3,Wed,10/23/2019,20:00 (22:00),Benfica pt,0.5,2–1,1.5,fr Lyon,"53,035",Estádio do Sport Lisboa e Benfica,Ivan Kružliak,Match Report,
Group stage,3,Wed,10/23/2019,21:00 (22:00),Inter it,2.1,2–0,0.4,de Dortmund,"65,673",Stadio Giuseppe Meazza,Anthony Taylor,Match Report,
Group stage,3,Wed,10/23/2019,21:00 (22:00),RB Salzburg at,2.7,2–3,0.9,it Napoli,"29,520",Red Bull Arena,Clément Turpin,Match Report,
Group stage,3,Wed,10/23/2019,21:00 (22:00),Lille fr,1.9,1–1,0.6,es Valencia,"47,488",Stade Pierre-Mauroy,Deniz Aytekin,Match Report,
Group stage,3,Wed,10/23/2019,21:00 (22:00),Genk be,1.3,1–4,2.5,eng Liverpool,"19,626",Luminus Arena,Slavko Vinčič,Match Report,
Group stage,3,Wed,10/23/2019,21:00 (22:00),Slavia Prague cz,1.5,1–2,2.5,es Barcelona,"19,170",Sinobo Stadium,Bobby Madden,Match Report,
,,,,,,,,,,,,,,
Group stage,4,Tue,11/5/2019,18:55 (20:55),Barcelona es,2.3,0–0,0.3,cz Slavia Prague,"67,023",Camp Nou,Michael Oliver,Match Report,
Group stage,4,Tue,11/5/2019,20:00 (23:00),Liverpool eng,2.3,2–1,0.7,be Genk,"52,611",Anfield,Ivan Kružliak,Match Report,
Group stage,4,Tue,11/5/2019,20:00 (23:00),Chelsea eng,4.8,4–4,1,nl Ajax,"39,132",Stamford Bridge,Gianluca Rocchi,Match Report,
Group stage,4,Tue,11/5/2019,20:55,Zenit ru,1.2,0–2,1.4,de RB Leipzig,"50,452",Gazprom Arena,Orel Grinfeeld,Match Report,
Group stage,4,Tue,11/5/2019,21:00 (23:00),Valencia es,2.3,4–1,1.5,fr Lille,"38,252",Estadio de Mestalla,Sergey Karasev,Match Report,
Group stage,4,Tue,11/5/2019,21:00 (23:00),Napoli it,2.7,1–1,1.5,at RB Salzburg,"32,862",Stadio San Paolo,Szymon Marciniak,Match Report,
Group stage,4,Tue,11/5/2019,21:00 (23:00),Dortmund de,3.5,3–2,1.4,it Inter,"66,099",Signal Iduna Park,Danny Makkelie,Match Report,
Group stage,4,Tue,11/5/2019,21:00 (23:00),Lyon fr,1.4,3–1,1.3,pt Benfica,"51,077",Groupama Stadium,Björn Kuipers,Match Report,
Group stage,4,Wed,11/6/2019,18:55 (20:55),Bayern Munich de,3.3,2–0,0.2,gr Olympiacos,"63,646",Allianz Arena,Paweł Raczkowski,Match Report,
Group stage,4,Wed,11/6/2019,20:55,Loko Moscow ru,2.4,1–2,2.4,it Juventus,"26,862",RZD Arena,Ruddy Buquet,Match Report,
Group stage,4,Wed,11/6/2019,21:00 (23:00),Atalanta it,0.7,1–1,2,eng Manchester City,"34,326",Stadio Giuseppe Meazza,Aliaksei Kulbakou,Match Report,
