Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,3,Tue,10/19/2021,21:00 (22:00),Inter it,2.3,3–1,0.4,md Sheriff Tiraspol,"43,305",Stadio Giuseppe Meazza,Danny Makkelie,Match Report,
Group stage,3,Tue,10/19/2021,21:00 (22:00),Paris S-G fr,3,3–2,2.1,de RB Leipzig,"47,359",Parc des Princes,Marco Guida,Match Report,
Group stage,3,Tue,10/19/2021,21:00 (22:00),Ajax nl,2.1,4–0,1.2,de Dortmund,"54,029",Johan Cruyff ArenA,Jesús Gil,Match Report,
Group stage,3,Tue,10/19/2021,22:00,Shakhtar ua,0.7,0–5,2.6,es Real Madrid,"34,037",Oblasny SportKomplex Metalist,Srđan Jovanović,Match Report,
Group stage,3,Wed,10/20/2021,18:45 (19:45),RB Salzburg at,2.7,3–1,0.9,de Wolfsburg,"29,520",Red Bull Arena,Daniele Orsato,Match Report,
Group stage,3,Wed,10/20/2021,18:45 (19:45),Barcelona es,2.2,1–0,0.1,ua Dynamo Kyiv,"45,968",Camp Nou,Clément Turpin,Match Report,
Group stage,3,Wed,10/20/2021,20:00 (22:00),Manchester Utd eng,2.8,3–2,1.6,it Atalanta,"72,279",Old Trafford,Szymon Marciniak,Match Report,
Group stage,3,Wed,10/20/2021,20:00 (22:00),Benfica pt,0.7,0–4,3,de Bayern Munich,"55,201",Estádio do Sport Lisboa e Benfica,Ovidiu Hațegan,Match Report,
Group stage,3,Wed,10/20/2021,20:00 (22:00),Chelsea eng,2.6,4–0,0.1,se Malmö,"39,095",Stamford Bridge,François Letexier,Match Report,
Group stage,3,Wed,10/20/2021,21:00 (22:00),Lille fr,0.8,0–0,1.1,es Sevilla,"34,362",Stade Pierre-Mauroy,Michael Oliver,Match Report,
Group stage,3,Wed,10/20/2021,21:00 (22:00),Young Boys ch,2.7,1–4,2.7,es Villarreal,"27,398",Wankdorfstadion,Sergey Karasev,Match Report,
Group stage,3,Wed,10/20/2021,22:00,Zenit ru,0.6,0–1,1.2,it Juventus,"18,717",Gazprom Arena,Sandro Schärer,Match Report,
,,,,,,,,,,,,,,
Group stage,4,Tue,11/2/2021,18:45 (20:45),Wolfsburg de,1.7,2–1,1.6,at RB Salzburg,"16,112",Volkswagen Arena,Artur Dias,Match Report,
Group stage,4,Tue,11/2/2021,18:45 (20:45),Malmö se,0.2,0–1,2.5,eng Chelsea,"19,551",Eleda Stadion,Felix Brych,Match Report,
Group stage,4,Tue,11/2/2021,21:00 (23:00),Bayern Munich de,4.8,5–2,1,pt Benfica,"50,000",Allianz Arena,Szymon Marciniak,Match Report,
Group stage,4,Tue,11/2/2021,21:00 (23:00),Atalanta it,1.5,2–2,1.1,eng Manchester Utd,"14,443",Stadio Atleti Azzurri d'Italia,Slavko Vinčič,Match Report,
Group stage,4,Tue,11/2/2021,21:00 (23:00),Villarreal es,2.2,2–0,1.1,ch Young Boys,"14,890",Estadio de la Cerámica,Serdar Gözübüyük,Match Report,
Group stage,4,Tue,11/2/2021,21:00 (23:00),Juventus it,2.7,4–2,1.3,ru Zenit,"20,053",Allianz Stadium,Alejandro Hernández,Match Report,
Group stage,4,Tue,11/2/2021,21:00 (23:00),Sevilla es,1,1–2,1.9,fr Lille,"29,369",Estadio Ramón Sánchez Pizjuán,István Kovács,Match Report,
Group stage,4,Tue,11/2/2021,22:00 (23:00),Dynamo Kyiv ua,1,0–1,0.8,es Barcelona,"31,378",NSK Olimpijs'kyj,Ovidiu Hațegan,Match Report,
Group stage,4,Wed,11/3/2021,18:45 (20:45),Milan it,0.6,1–1,1.8,pt Porto,"39,675",Stadio Giuseppe Meazza,Clément Turpin,Match Report,
Group stage,4,Wed,11/3/2021,18:45 (20:45),Real Madrid es,2,2–1,1.3,ua Shakhtar,"38,105",Estadio Santiago Bernabéu,Benoît Bastien,Match Report,
Group stage,4,Wed,11/3/2021,20:00 (23:00),Manchester City eng,4.6,4–1,0.8,be Club Brugge,"50,228",Etihad Stadium,Antonio Matéu Lahoz,Match Report,
Group stage,4,Wed,11/3/2021,20:00 (23:00),Sporting CP pt,2.7,4–0,1.1,tr Beşiktaş,"40,835",Estádio José Alvalade,Sergey Karasev,Match Report,
Group stage,4,Wed,11/3/2021,20:00 (23:00),Liverpool eng,3,2–0,0.2,es Atlético Madrid,"51,347",Anfield,Danny Makkelie,Match Report,
Group stage,4,Wed,11/3/2021,21:00 (23:00),RB Leipzig de,3.3,2–2,2.1,fr Paris S-G,"39,794",Red Bull Arena,Andreas Ekberg,Match Report,
Group stage,4,Wed,11/3/2021,21:00 (23:00),Dortmund de,1.7,1–3,2,nl Ajax,"54,820",Signal Iduna Park,Michael Oliver,Match Report,
Group stage,4,Wed,11/3/2021,22:00 (23:00),Sheriff Tiraspol md,0.3,1–3,2.5,it Inter,"5,930",Bolshaya Sportivnaya Arena,Felix Zwayer,Match Report,
,,,,,,,,,,,,,,
Group stage,5,Tue,11/23/2021,18:45 (20:45),Villarreal es,0.6,0–2,1.2,eng Manchester Utd,"20,875",Estadio de la Cerámica,Felix Brych,Match Report,
Group stage,5,Tue,11/23/2021,19:45 (20:45),Dynamo Kyiv ua,1.1,1–2,1,de Bayern Munich,"28,732",NSK Olimpijs'kyj,Halil Umut Meler,Match Report,
Group stage,5,Tue,11/23/2021,20:00 (23:00),Chelsea eng,3,4–0,0.7,it Juventus,"39,513",Stamford Bridge,Srđan Jovanović,Match Report,
Group stage,5,Tue,11/23/2021,21:00 (23:00),Barcelona es,1.4,0–0,1.2,pt Benfica,"49,572",Camp Nou,Sergey Karasev,Match Report,
Group stage,5,Tue,11/23/2021,21:00 (23:00),Lille fr,0.7,1–0,0.5,at RB Salzburg,"33,573",Stade Pierre-Mauroy,Anthony Taylor,Match Report,
Group stage,5,Tue,11/23/2021,21:00 (23:00),Young Boys ch,0.7,3–3,1.2,it Atalanta,"31,120",Stade de Suisse Wankdorf Bern,Daniel Siebert,Match Report,
Group stage,5,Tue,11/23/2021,21:00 (23:00),Sevilla es,1.6,2–0,0.3,de Wolfsburg,"28,663",Estadio Ramón Sánchez Pizjuán,Cüneyt Çakιr,Match Report,
Group stage,5,Tue,11/23/2021,21:00 (23:00),Malmö se,0.2,1–1,1.9,ru Zenit,"15,520",Eleda Stadion,Andris Treimanis,Match Report,
Group stage,5,Wed,11/24/2021,18:45 (20:45),Inter it,2.6,2–0,0.6,ua Shakhtar,"46,225",Stadio Giuseppe Meazza,Ovidiu Hațegan,Match Report,
Group stage,5,Wed,11/24/2021,20:00 (23:00),Manchester City eng,2.1,2–1,1,fr Paris S-G,"52,030",Etihad Stadium,Daniele Orsato,Match Report,
Group stage,5,Wed,11/24/2021,20:00 (23:00),Sporting CP pt,1.9,3–1,1.6,de Dortmund,"41,341",Estádio José Alvalade,Carlos del Cerro,Match Report,
Group stage,5,Wed,11/24/2021,20:00 (23:00),Liverpool eng,0.6,2–0,1.1,pt Porto,"52,209",Anfield,Felix Zwayer,Match Report,
Group stage,5,Wed,11/24/2021,20:45,Beşiktaş tr,1.9,1–2,2.5,nl Ajax,"11,712",Vodafone Arena,Irfan Peljto,Match Report,
Group stage,5,Wed,11/24/2021,21:00 (23:00),Atlético Madrid es,0.9,0–1,1.3,it Milan,"61,019",Estadio Wanda Metropolitano,Slavko Vinčič,Match Report,
Group stage,5,Wed,11/24/2021,21:00 (23:00),Club Brugge be,0.9,0–5,3.8,de RB Leipzig,"24,072",Jan Breydelstadion,Davide Massa,Match Report,
Group stage,5,Wed,11/24/2021,22:00 (23:00),Sheriff Tiraspol md,1.4,0–3,1.5,es Real Madrid,"5,932",Bolshaya Sportivnaya Arena,Szymon Marciniak,Match Report,
,,,,,,,,,,,,,,
Group stage,6,Tue,12/7/2021,18:45 (20:45),Paris S-G fr,3.6,4–1,1.1,be Club Brugge,"47,492",Parc des Princes,Jesús Gil,Match Report,
Group stage,6,Tue,12/7/2021,18:45 (20:45),RB Leipzig de,1.7,2–1,1.2,eng Manchester City,,Red Bull Arena,Sandro Schärer,Match Report,
Group stage,6,Tue,12/7/2021,20:00 (23:00),Porto pt,1.6,1–3,3.7,es Atlético Madrid,"38,830",Estádio Do Dragão,Clément Turpin,Match Report,
Group stage,6,Tue,12/7/2021,21:00 (23:00),Real Madrid es,1.2,2–0,0.9,it Inter,"44,887",Estadio Santiago Bernabéu,Felix Brych,Match Report,
Group stage,6,Tue,12/7/2021,21:00 (23:00),Dortmund de,3.5,5–0,0.1,tr Beşiktaş,"15,000",Signal Iduna Park,François Letexier,Match Report,
Group stage,6,Tue,12/7/2021,21:00 (23:00),Ajax nl,2.1,4–2,1.2,pt Sporting CP,,Johan Cruyff ArenA,Davide Massa,Match Report,
Group stage,6,Tue,12/7/2021,21:00 (23:00),Milan it,1.4,1–2,1.9,eng Liverpool,"56,237",Stadio Giuseppe Meazza,Danny Makkelie,Match Report,
Group stage,6,Tue,12/7/2021,22:00 (23:00),Shakhtar ua,2,1–1,1,md Sheriff Tiraspol,"6,841",Oblasny SportKomplex Metalist,Donatas Rumšas,Match Report,
Group stage,6,Wed,12/8/2021,18:45 (20:45),Juventus it,2.1,1–0,0.2,se Malmö,"17,501",Allianz Stadium,Irfan Peljto,Match Report,
Group stage,6,Wed,12/8/2021,20:00 (23:00),Benfica pt,1.1,2–0,1,ua Dynamo Kyiv,"36,591",Estádio do Sport Lisboa e Benfica,Deniz Aytekin,Match Report,
Group stage,6,Wed,12/8/2021,20:00 (23:00),Manchester Utd eng,1.2,1–1,1.3,ch Young Boys,"73,156",Old Trafford,Benoît Bastien,Match Report,
Group stage,6,Wed,12/8/2021,20:45,Zenit ru,2.6,3–3,2.7,eng Chelsea,"29,349",Gazprom Arena,Serdar Gözübüyük,Match Report,
Group stage,6,Wed,12/8/2021,21:00 (23:00),Bayern Munich de,2.4,3–0,0.4,es Barcelona,,Allianz Arena,Ovidiu Hațegan,Match Report,
Group stage,6,Wed,12/8/2021,21:00 (23:00),Wolfsburg de,0.7,1–3,2.5,fr Lille,"6,544",Volkswagen Arena,Daniele Orsato,Match Report,
Group stage,6,Wed,12/8/2021,21:00 (23:00),RB Salzburg at,0.6,1–0,0.9,es Sevilla,,Red Bull Arena,Slavko Vinčič,Match Report,
Group stage,6,Thu,12/9/2021,19:00 (21:00),Atalanta it,2,2–3,2.2,es Villarreal,"11,690",Stadio Atleti Azzurri d'Italia,Anthony Taylor,Match Report,
,,,,,,,,,,,,,,
Round of 16,,Tue,2/15/2022,20:00 (23:00),Sporting CP pt,0.1,0–5,2.1,eng Manchester City,"48,129",Estádio José Alvalade,Srdjan Stojanovic,Match Report,Leg 1 of 2
Round of 16,,Tue,2/15/2022,21:00 (23:00),Paris S-G fr,2.4,1–0,0.3,es Real Madrid,"47,443",Parc des Princes,Daniele Orsato,Match Report,Leg 1 of 2
Round of 16,,Wed,2/16/2022,21:00 (23:00),RB Salzburg at,1.1,1–1,2.3,de Bayern Munich,"29,520",Red Bull Arena,Michael Oliver,Match Report,Leg 1 of 2
Round of 16,,Wed,2/16/2022,21:00 (23:00),Inter it,0.6,0–2,1,eng Liverpool,"37,918",Stadio Giuseppe Meazza,Szymon Marciniak,Match Report,Leg 1 of 2
Round of 16,,Tue,2/22/2022,20:00 (23:00),Chelsea eng,1.2,2–0,0.8,fr Lille,"38,832",Stamford Bridge,Jesús Gil,Match Report,Leg 1 of 2
Round of 16,,Tue,2/22/2022,21:00 (23:00),Villarreal es,1.3,1–1,0.7,it Juventus,"17,686",Estadio de la Cerámica,Daniel Siebert,Match Report,Leg 1 of 2
Round of 16,,Wed,2/23/2022,20:00 (23:00),Benfica pt,2,2–2,2.4,nl Ajax,"54,760",Estádio do Sport Lisboa e Benfica,Slavko Vinčič,Match Report,Leg 1 of 2
Round of 16,,Wed,2/23/2022,21:00 (23:00),Atlético Madrid es,1.3,1–1,0.6,eng Manchester Utd,"63,273",Estadio Wanda Metropolitano,Ovidiu Hațegan,Match Report,Leg 1 of 2
Round of 16,,Tue,3/8/2022,20:00 (23:00),Liverpool eng,1.8,0–1,0.5,it Inter,"51,747",Anfield,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Liverpool won
Round of 16,,Tue,3/8/2022,21:00 (23:00),Bayern Munich de,4.2,7–1,0.7,at RB Salzburg,"25,000",Allianz Arena,Clément Turpin,Match Report,Leg 2 of 2; Bayern Munich won
