Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Tue,9/18/2018,18:55 (19:55),Barcelona es,1.5,4–0,0.7,nl PSV Eindhoven,"73,462",Camp Nou,Tasos Sidiropoulos,Match Report,
Group stage,1,Tue,9/18/2018,18:55 (19:55),Inter it,1.2,2–1,0.8,eng Tottenham,"64,123",Stadio Giuseppe Meazza,Ruddy Buquet,Match Report,
Group stage,1,Tue,9/18/2018,20:00 (22:00),Liverpool eng,2.3,3–2,0.8,fr Paris S-G,"52,478",Anfield,Baris Şimşek,Match Report,
Group stage,1,Tue,9/18/2018,21:00 (22:00),Red Star rs,0.2,0–0,1.6,it Napoli,"49,112",Stadion Rajko Mitić,Tomasz Musiał,Match Report,
Group stage,1,Tue,9/18/2018,21:00 (22:00),Club Brugge be,0.6,0–1,1,de Dortmund,"25,181",Jan Breydelstadion,Danny Makkelie,Match Report,
Group stage,1,Tue,9/18/2018,21:00 (22:00),Monaco fr,0.7,1–2,0.9,es Atlético Madrid,"10,575",Stade Louis II.,William Collum,Match Report,
Group stage,1,Tue,9/18/2018,21:00 (22:00),Schalke 04 de,0.9,1–1,2.2,pt Porto,"45,755",Veltins-Arena,Ricardo de Burgos,Match Report,
Group stage,1,Tue,9/18/2018,22:00,Galatasaray tr,1.8,3–0,0.9,ru Loko Moscow,"43,542",Türk Telekom Arena,Luca Banti,Match Report,
Group stage,1,Wed,9/19/2018,18:55 (19:55),Ajax nl,1.7,3–0,0.4,gr AEK Athens,"52,285",Johan Cruyff ArenA,Carlos del Cerro,Match Report,
Group stage,1,Wed,9/19/2018,19:55,Shakhtar ua,0.6,2–2,1.8,de Hoffenheim,"28,336",Oblasny SportKomplex Metalist,Jakob Kehlet,Match Report,
Group stage,1,Wed,9/19/2018,20:00 (22:00),Manchester City eng,1.2,1–2,0.8,fr Lyon,"40,111",Etihad Stadium,Daniele Orsato,Match Report,
Group stage,1,Wed,9/19/2018,20:00 (22:00),Benfica pt,0.7,0–2,2.4,de Bayern Munich,"60,274",Estádio do Sport Lisboa e Benfica,Antonio Matéu Lahoz,Match Report,
Group stage,1,Wed,9/19/2018,21:00 (22:00),Valencia es,2,0–2,3.7,it Juventus,"46,067",Estadio de Mestalla,Felix Brych,Match Report,
Group stage,1,Wed,9/19/2018,21:00 (22:00),Real Madrid es,3.5,3–0,0.6,it Roma,"69,251",Estadio Santiago Bernabéu,Björn Kuipers,Match Report,
Group stage,1,Wed,9/19/2018,21:00 (22:00),Young Boys ch,1.7,0–3,2,eng Manchester Utd,"31,120",Stade de Suisse Wankdorf Bern,Deniz Aytekin,Match Report,
Group stage,1,Wed,9/19/2018,21:00 (22:00),Viktoria Plzeň cz,1.5,2–2,1.7,ru CSKA Moscow,"11,312",Doosan Arena,Benoît Bastien,Match Report,
,,,,,,,,,,,,,,
Group stage,2,Tue,10/2/2018,18:55 (19:55),Hoffenheim de,0.6,1–2,2.2,eng Manchester City,"24,851",PreZero Arena,Matej Jug,Match Report,
Group stage,2,Tue,10/2/2018,18:55 (19:55),Juventus it,3.3,3–0,0.2,ch Young Boys,"40,961",Allianz Stadium,Sergey Karasev,Match Report,
Group stage,2,Tue,10/2/2018,20:00 (22:00),Manchester Utd eng,0.9,0–0,0.4,es Valencia,"73,569",Old Trafford,Slavko Vinčič,Match Report,
Group stage,2,Tue,10/2/2018,21:00 (22:00),Bayern Munich de,1.5,1–1,1.2,nl Ajax,"70,000",Allianz Arena,Pavel Královec,Match Report,
Group stage,2,Tue,10/2/2018,21:00 (22:00),Lyon fr,2.8,2–2,1.6,ua Shakhtar,,Groupama OL Academy Décines-Charpieu,Aleksandrs Golubevs,Match Report,
Group stage,2,Tue,10/2/2018,21:00 (22:00),Roma it,3.1,5–0,0.3,cz Viktoria Plzeň,"41,243",Stadio Olimpico,Paweł Raczkowski,Match Report,
Group stage,2,Tue,10/2/2018,22:00,CSKA Moscow ru,0.4,1–0,2.2,es Real Madrid,"71,811",VEB Arena,Ovidiu Hațegan,Match Report,
Group stage,2,Tue,10/2/2018,22:00,AEK Athens gr,2.8,2–3,1.2,pt Benfica,"31,154",Olympiako Stadio Spyros Louis,Orel Grinfeeld,Match Report,
Group stage,2,Wed,10/3/2018,18:55 (19:55),Paris S-G fr,5.4,6–1,0.3,rs Red Star,"39,979",Parc des Princes,Artur Dias,Match Report,
Group stage,2,Wed,10/3/2018,19:55,Loko Moscow ru,0.7,0–1,1,de Schalke 04,"21,471",RZD Arena,Anthony Taylor,Match Report,
