Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Fri,9/13/2019,19:00 (20:00),Lille,1.4,2–1,0.7,Angers,"32,834",Stade Pierre-Mauroy,Ruddy Buquet,Match Report,
5,Fri,9/13/2019,20:45 (21:45),Amiens,0.5,2–2,2,Lyon,"12,577",Stade Crédit Agricole la Licorne,Benoît Bastien,Match Report,
5,Sat,9/14/2019,17:30 (18:30),Paris S-G,0.8,1–0,0.5,Strasbourg,"47,505",Parc des Princes,Amaury Delerue,Match Report,
5,Sat,9/14/2019,20:00 (21:00),Brest,0.5,0–0,0.4,Rennes,"14,937",Stade Francis-Le Blé,Clément Turpin,Match Report,
5,Sat,9/14/2019,20:00 (21:00),Dijon,1.3,0–0,0.4,Nîmes,"11,413",Stade Gaston Gérard,Stéphanie Frappart,Match Report,
5,Sat,9/14/2019,20:00 (21:00),Montpellier,1.8,2–1,1,Nice,"12,765",Stade de la Mosson,Olivier Thual,Match Report,
5,Sat,9/14/2019,20:00 (21:00),Bordeaux,1.4,2–0,1.2,Metz,"14,352",Stade Matmut-Atlantique,Mikael Lesage,Match Report,
5,Sun,9/15/2019,15:00 (16:00),Nantes,0.4,1–0,0.7,Reims,"18,897",Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Match Report,
5,Sun,9/15/2019,17:00 (18:00),Saint-Étienne,1.1,2–2,1.9,Toulouse,"24,240",Stade Geoffroy-Guichard,Jeremy Stinat,Match Report,
5,Sun,9/15/2019,21:00 (22:00),Monaco,2.5,3–4,1.6,Marseille,"9,147",Stade Louis II.,Antony Gautier,Match Report,
,,,,,,,,,,,,,
6,Fri,9/20/2019,20:45 (21:45),Strasbourg,2,2–1,0.6,Nantes,"24,013",Stade de la Meinau,Florent Batta,Match Report,
6,Sat,9/21/2019,17:30 (18:30),Marseille,1.2,1–1,0.1,Montpellier,"48,007",Orange Vélodrome,Amaury Delerue,Match Report,
6,Sat,9/21/2019,20:00 (21:00),Nîmes,1.4,1–0,0.7,Toulouse,"12,258",Stade des Costières,Karim Abed,Match Report,
6,Sat,9/21/2019,20:00 (21:00),Nice,1.1,2–1,1.2,Dijon,"16,255",Stade de Nice,Willy Delajod,Match Report,
6,Sat,9/21/2019,20:00 (21:00),Reims,1.3,0–0,0.6,Monaco,"14,426",Stade Auguste-Delaune II,Olivier Thual,Match Report,
6,Sat,9/21/2019,20:00 (21:00),Bordeaux,1.7,2–2,1.3,Brest,"15,213",Stade Matmut-Atlantique,Benoît Millot,Match Report,
6,Sat,9/21/2019,20:00 (21:00),Metz,1.3,1–2,1.3,Amiens,"15,106",Stade Saint-Symphorien,Hakim Ben El Hadj Salem,Match Report,
6,Sun,9/22/2019,15:00 (16:00),Rennes,0.9,1–1,1.1,Lille,"25,772",Roazhon Park,Jérôme Brisard,Match Report,
6,Sun,9/22/2019,17:00 (18:00),Angers,2,4–1,0.8,Saint-Étienne,"9,831",Stade Raymond Kopa,Franck Schneider,Match Report,
6,Sun,9/22/2019,21:00 (22:00),Lyon,0.5,0–1,1.5,Paris S-G,"54,583",Groupama Stadium,Ruddy Buquet,Match Report,
,,,,,,,,,,,,,
7,Tue,9/24/2019,19:00 (20:00),Dijon,1.4,0–0,0.9,Marseille,"15,061",Stade Gaston Gérard,Jeremy Stinat,Match Report,
7,Tue,9/24/2019,21:00 (22:00),Monaco,2.3,3–1,0.7,Nice,"9,358",Stade Louis II.,Mikael Lesage,Match Report,
7,Wed,9/25/2019,19:00 (20:00),Toulouse,0.3,0–2,1.6,Angers,"10,177",Stadium Municipal,Olivier Thual,Match Report,
7,Wed,9/25/2019,19:00 (20:00),Brest,0.7,2–2,1.2,Lyon,"14,472",Stade Francis-Le Blé,Amaury Delerue,Match Report,
7,Wed,9/25/2019,19:00 (20:00),Nantes,1.4,1–0,1.1,Rennes,"26,952",Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Match Report,
7,Wed,9/25/2019,19:00 (20:00),Amiens,1.5,1–3,0.7,Bordeaux,"11,367",Stade Crédit Agricole la Licorne,Willy Delajod,Match Report,
7,Wed,9/25/2019,19:00 (20:00),Saint-Étienne,1.3,0–1,0.8,Metz,"19,712",Stade Geoffroy-Guichard,Eric Wattellier,Match Report,
7,Wed,9/25/2019,19:00 (20:00),Montpellier,0.6,1–0,0.8,Nîmes,"16,445",Stade de la Mosson,Benoît Bastien,Match Report,
7,Wed,9/25/2019,19:00 (20:00),Lille,2.8,2–0,0.3,Strasbourg,"30,103",Stade Pierre-Mauroy,Johan Hamel,Match Report,
7,Wed,9/25/2019,21:00 (22:00),Paris S-G,0.6,0–2,1,Reims,"47,376",Parc des Princes,François Letexier,Match Report,
,,,,,,,,,,,,,
8,Sat,9/28/2019,13:30 (14:30),Lyon,1.1,0–1,0.6,Nantes,"46,647",Groupama Stadium,Benoît Millot,Match Report,
8,Sat,9/28/2019,17:30 (18:30),Bordeaux,0.1,0–1,2.8,Paris S-G,"39,215",Stade Matmut-Atlantique,Jérôme Brisard,Match Report,
8,Sat,9/28/2019,20:00 (21:00),Reims,1.2,1–2,1.8,Dijon,"11,033",Stade Auguste-Delaune II,Jérémie Pignard,Match Report,
8,Sat,9/28/2019,20:00 (21:00),Metz,1.4,2–2,1.4,Toulouse,"15,054",Stade Saint-Symphorien,Florent Batta,Match Report,
8,Sat,9/28/2019,20:00 (21:00),Nice,1.2,1–1,1.4,Lille,"18,295",Stade de Nice,Clément Turpin,Match Report,
8,Sat,9/28/2019,20:00 (21:00),Monaco,3.6,4–1,0.5,Brest,"4,576",Stade Louis II.,Ruddy Buquet,Match Report,
8,Sat,9/28/2019,20:00 (21:00),Angers,1.4,1–1,1.2,Amiens,"9,331",Stade Raymond Kopa,Karim Abed,Match Report,
8,Sun,9/29/2019,15:00 (16:00),Strasbourg,0.4,1–0,1.4,Montpellier,"25,010",Stade de la Meinau,Hakim Ben El Hadj Salem,Match Report,
8,Sun,9/29/2019,17:00 (18:00),Nîmes,1.8,0–1,0.7,Saint-Étienne,"13,802",Stade des Costières,Thomas Léonard,Match Report,
8,Sun,9/29/2019,21:00 (22:00),Marseille,0.8,1–1,0.9,Rennes,"44,281",Orange Vélodrome,Franck Schneider,Match Report,
,,,,,,,,,,,,,
9,Fri,10/4/2019,20:45 (21:45),Amiens,2.9,3–1,0.5,Marseille,"12,737",Stade Crédit Agricole la Licorne,Johan Hamel,Match Report,
9,Sat,10/5/2019,17:30 (18:30),Paris S-G,3.4,4–0,0.6,Angers,"47,700",Parc des Princes,Willy Delajod,Match Report,
9,Sat,10/5/2019,20:00 (21:00),Montpellier,3.1,3–1,1.3,Monaco,"15,532",Stade de la Mosson,François Letexier,Match Report,
9,Sat,10/5/2019,20:00 (21:00),Dijon,1.1,1–0,0.8,Strasbourg,"12,124",Stade Gaston Gérard,Olivier Thual,Match Report,
9,Sat,10/5/2019,20:00 (21:00),Nantes,1.3,1–0,0.3,Nice,"15,532",Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,Match Report,
9,Sat,10/5/2019,20:00 (21:00),Brest,0.7,2–0,0.5,Metz,"12,682",Stade Francis-Le Blé,Antony Gautier,Match Report,
9,Sat,10/5/2019,20:00 (21:00),Toulouse,1.1,1–3,0.8,Bordeaux,"20,084",Stadium Municipal,Benoît Bastien,Match Report,
9,Sun,10/6/2019,15:00 (16:00),Lille,2.6,2–2,1.8,Nîmes,"31,542",Stade Pierre-Mauroy,Mikael Lesage,Match Report,
9,Sun,10/6/2019,17:00 (18:00),Rennes,1.1,0–1,1.6,Reims,"20,950",Roazhon Park,Stéphanie Frappart,Match Report,
9,Sun,10/6/2019,21:00 (22:00),Saint-Étienne,0.9,1–0,0.6,Lyon,"34,071",Stade Geoffroy-Guichard,Clément Turpin,Match Report,
,,,,,,,,,,,,,
