Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,1,Fri,8/4/2017,20:45 (21:45),Monaco,2,3–2,0.3,Toulouse,"13,572",Stade Louis II.,Clément Turpin,Match Report,
Regular season,1,Sat,8/5/2017,17:15 (18:15),Paris S-G,2.6,2–0,0.3,Amiens,"46,898",Parc des Princes,Mikael Lesage,Match Report,
Regular season,1,Sat,8/5/2017,20:00 (21:00),Lyon,1.8,4–0,0.5,Strasbourg,"1,979",Groupama Stadium,Ruddy Buquet,Match Report,
Regular season,1,Sat,8/5/2017,20:00 (21:00),Saint-Étienne,0.9,1–0,0.5,Nice,"25,879",Stade Geoffroy-Guichard,François Letexier,Match Report,
Regular season,1,Sat,8/5/2017,20:00 (21:00),Metz,0.6,1–3,1.9,Guingamp,"14,595",Stade Saint-Symphorien,Jérôme Miguelgorry,Match Report,
Regular season,1,Sat,8/5/2017,20:00 (21:00),Montpellier,1.4,1–0,0.4,Caen,"14,725",Stade de la Mosson,Thomas Léonard,Match Report,
Regular season,1,Sat,8/5/2017,20:00 (21:00),Troyes,1.9,1–1,2.2,Rennes,"9,968",Stade de l'Aube,Karim Abed,Match Report,
Regular season,1,Sun,8/6/2017,15:00 (16:00),Lille,1.9,3–0,1.3,Nantes,"30,683",Stade Pierre-Mauroy,Benoît Millot,Match Report,
Regular season,1,Sun,8/6/2017,17:00 (18:00),Angers,1.2,2–2,1.7,Bordeaux,"11,767",Stade Raymond Kopa,Sébastien Desiage,Match Report,
Regular season,1,Sun,8/6/2017,21:00 (22:00),Marseille,2.1,3–0,0.6,Dijon,"50,904",Orange Vélodrome,Benoît Bastien,Match Report,
,,,,,,,,,,,,,,
Regular season,2,Fri,8/11/2017,19:00 (20:00),Nice,2.3,1–2,0.5,Troyes,"24,260",Stade de Nice,Olivier Thual,Match Report,
Regular season,2,Fri,8/11/2017,20:45 (21:45),Rennes,1,1–2,1.4,Lyon,"24,944",Roazhon Park,Nicolas Rainville,Match Report,
Regular season,2,Sat,8/12/2017,17:00 (18:00),Nantes,1.3,0–1,1.6,Marseille,"33,654",Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,Match Report,
Regular season,2,Sat,8/12/2017,20:00 (21:00),Caen,0.9,0–1,1.1,Saint-Étienne,"17,606",Stade Michel d'Ornano,Stéphane Jochem,Match Report,
Regular season,2,Sat,8/12/2017,20:00 (21:00),Toulouse,1.5,1–0,0.7,Montpellier,"11,876",Stadium Municipal,Ruddy Buquet,Match Report,
Regular season,2,Sat,8/12/2017,20:00 (21:00),Bordeaux,2,2–0,0.3,Metz,"22,095",Stade Matmut-Atlantique,Mikael Lesage,Match Report,
Regular season,2,Sat,8/12/2017,20:00 (21:00),Amiens,0.9,0–2,1.4,Angers,"7,772",Stade de la Licorne,Hakim Ben El Hadj Salem,Match Report,
Regular season,2,Sun,8/13/2017,15:00 (16:00),Strasbourg,3.1,3–0,0.9,Lille,"25,591",Stade de la Meinau,Johan Hamel,Match Report,
Regular season,2,Sun,8/13/2017,17:00 (18:00),Dijon,1.1,1–4,1.6,Monaco,"14,295",Stade Gaston Gérard,Tony Chapron,Match Report,
Regular season,2,Sun,8/13/2017,21:00 (22:00),Guingamp,0.1,0–3,2,Paris S-G,"18,378",Stade du Roudourou,Antony Gautier,Match Report,
,,,,,,,,,,,,,,
Regular season,3,Fri,8/18/2017,20:45 (21:45),Metz,0.8,0–1,2.2,Monaco,"18,136",Stade Saint-Symphorien,François Letexier,Match Report,
Regular season,3,Sat,8/19/2017,17:00 (18:00),Lyon,0.7,3–3,0.9,Bordeaux,"42,073",Groupama Stadium,Clément Turpin,Match Report,
Regular season,3,Sat,8/19/2017,20:00 (21:00),Montpellier,1.8,1–1,0.6,Strasbourg,"12,585",Stade de la Mosson,Hakim Ben El Hadj Salem,Match Report,
Regular season,3,Sat,8/19/2017,20:00 (21:00),Troyes,0.8,0–1,0.9,Nantes,"11,035",Stade de l'Aube,Sébastien Desiage,Match Report,
Regular season,3,Sat,8/19/2017,20:00 (21:00),Nice,1,2–0,0.5,Guingamp,"21,070",Stade de Nice,Benoît Millot,Match Report,
Regular season,3,Sat,8/19/2017,20:00 (21:00),Saint-Étienne,2.9,3–0,1.2,Amiens,"30,004",Stade Geoffroy-Guichard,Jérôme Brisard,Match Report,
Regular season,3,Sat,8/19/2017,20:00 (21:00),Rennes,1.2,2–2,1.4,Dijon,"16,888",Roazhon Park,Thomas Léonard,Match Report,
Regular season,3,Sun,8/20/2017,15:00 (16:00),Lille,0.7,0–2,1.8,Caen,"28,740",Stade Pierre-Mauroy,Karim Abed,Match Report,
Regular season,3,Sun,8/20/2017,17:00 (18:00),Marseille,1.3,1–1,0.6,Angers,"51,966",Orange Vélodrome,Jérôme Miguelgorry,Match Report,
Regular season,3,Sun,8/20/2017,21:00 (22:00),Paris S-G,2.6,6–2,0.5,Toulouse,"47,221",Parc des Princes,Amaury Delerue,Match Report,
,,,,,,,,,,,,,,
Regular season,4,Fri,8/25/2017,20:45 (21:45),Paris S-G,2.2,3–0,0.7,Saint-Étienne,"46,957",Parc des Princes,Clément Turpin,Match Report,
Regular season,4,Sat,8/26/2017,17:15 (18:15),Nantes,0.3,0–0,1.1,Lyon,"30,718",Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Match Report,
Regular season,4,Sat,8/26/2017,20:00 (21:00),Toulouse,2.2,3–2,1.3,Rennes,"10,651",Stadium Municipal,Franck Schneider,Match Report,
Regular season,4,Sat,8/26/2017,20:00 (21:00),Bordeaux,2.5,2–1,0.7,Troyes,"19,002",Stade Matmut-Atlantique,Tony Chapron,Match Report,
Regular season,4,Sat,8/26/2017,20:00 (21:00),Amiens,1.3,3–0,0.4,Nice,"7,922",Stade de la Licorne,Johan Hamel,Match Report,
Regular season,4,Sat,8/26/2017,20:00 (21:00),Dijon,1.3,2–1,1.5,Montpellier,"10,902",Stade Gaston Gérard,Stéphane Jochem,Match Report,
Regular season,4,Sat,8/26/2017,20:00 (21:00),Caen,1.3,1–0,0.8,Metz,"15,697",Stade Michel d'Ornano,Jérôme Brisard,Match Report,
Regular season,4,Sun,8/27/2017,15:00 (16:00),Guingamp,1.8,2–0,0.8,Strasbourg,"13,061",Stade du Roudourou,Mikael Lesage,Match Report,
Regular season,4,Sun,8/27/2017,17:00 (18:00),Angers,0.8,1–1,0.8,Lille,"10,284",Stade Raymond Kopa,Nicolas Rainville,Match Report,
Regular season,4,Sun,8/27/2017,21:00 (22:00),Monaco,3.8,6–1,1.5,Marseille,"16,353",Stade Louis II.,Ruddy Buquet,Match Report,
,,,,,,,,,,,,,,
Regular season,5,Fri,9/8/2017,19:00 (20:00),Lille,0.4,0–0,1,Bordeaux,"27,464",Stade Pierre-Mauroy,François Letexier,Match Report,
Regular season,5,Fri,9/8/2017,20:45 (21:45),Metz,1.2,1–5,4.8,Paris S-G,"25,015",Stade Saint-Symphorien,Sébastien Desiage,Match Report,
Regular season,5,Sat,9/9/2017,17:00 (18:00),Nice,2.7,4–0,0.9,Monaco,"28,995",Stade de Nice,Clément Turpin,Match Report,
Regular season,5,Sat,9/9/2017,20:00 (21:00),Strasbourg,0.5,0–1,0.4,Amiens,"23,424",Stade de la Meinau,Jérôme Brisard,Match Report,
Regular season,5,Sat,9/9/2017,20:00 (21:00),Caen,1.5,2–1,0.6,Dijon,"15,328",Stade Michel d'Ornano,Thomas Léonard,Match Report,
Regular season,5,Sat,9/9/2017,20:00 (21:00),Troyes,0.6,0–0,0.3,Toulouse,"1,060",Stade de l'Aube,Hakim Ben El Hadj Salem,Match Report,
Regular season,5,Sat,9/9/2017,20:00 (21:00),Montpellier,0.5,0–1,0.7,Nantes,"10,298",Stade de la Mosson,Jérôme Miguelgorry,Match Report,
Regular season,5,Sun,9/10/2017,15:00 (16:00),Saint-Étienne,0.7,1–1,2.4,Angers,"29,740",Stade Geoffroy-Guichard,Karim Abed,Match Report,
Regular season,5,Sun,9/10/2017,17:00 (18:00),Lyon,0.8,2–1,1,Guingamp,"36,697",Groupama Stadium,Benoît Millot,Match Report,
Regular season,5,Sun,9/10/2017,21:00 (22:00),Marseille,1.5,1–3,2.1,Rennes,"40,343",Orange Vélodrome,Amaury Delerue,Match Report,
,,,,,,,,,,,,,,
Regular season,6,Fri,9/15/2017,20:45 (21:45),Toulouse,1.2,0–1,0.8,Bordeaux,"13,616",Stadium Municipal,Clément Turpin,Match Report,
Regular season,6,Sat,9/16/2017,17:00 (18:00),Monaco,2.5,3–0,0.9,Strasbourg,"8,310",Stade Louis II.,Johan Hamel,Match Report,
Regular season,6,Sat,9/16/2017,20:00 (21:00),Guingamp,1.6,1–0,0.5,Lille,"11,901",Stade du Roudourou,Jérôme Brisard,Match Report,
Regular season,6,Sat,9/16/2017,20:00 (21:00),Troyes,0.7,0–1,1.1,Montpellier,"11,970",Stade de l'Aube,Amaury Delerue,Match Report,
Regular season,6,Sat,9/16/2017,20:00 (21:00),Nantes,0.4,1–0,0.3,Caen,"20,245",Stade de la Beaujoire - Louis Fonteneau,Olivier Thual,Match Report,
Regular season,6,Sat,9/16/2017,20:00 (21:00),Dijon,1.9,0–1,1.4,Saint-Étienne,"13,820",Stade Gaston Gérard,Benoît Bastien,Match Report,
Regular season,6,Sun,9/17/2017,15:00 (16:00),Amiens,0.5,0–2,1.5,Marseille,"11,698",Stade de la Licorne,Mikael Lesage,Match Report,
Regular season,6,Sun,9/17/2017,17:00 (18:00),Angers,2.2,0–1,1.9,Metz,"9,163",Stade Raymond Kopa,Stéphane Jochem,Match Report,
Regular season,6,Sun,9/17/2017,17:00 (18:00),Rennes,1,0–1,0.7,Nice,"24,892",Roazhon Park,Nicolas Rainville,Match Report,
Regular season,6,Sun,9/17/2017,21:00 (22:00),Paris S-G,2,2–0,0.8,Lyon,"47,191",Parc des Princes,Ruddy Buquet,Match Report,
,,,,,,,,,,,,,,
Regular season,7,Fri,9/22/2017,19:00 (20:00),Nice,2.1,2–2,1.5,Angers,"18,023",Stade de Nice,François Letexier,Match Report,
Regular season,7,Fri,9/22/2017,20:45 (21:45),Lille,1.2,0–4,2.7,Monaco,"34,146",Stade Pierre-Mauroy,Franck Schneider,Match Report,
Regular season,7,Sat,9/23/2017,17:00 (18:00),Montpellier,0.2,0–0,0.8,Paris S-G,"20,975",Stade de la Mosson,Clément Turpin,Match Report,
Regular season,7,Sat,9/23/2017,20:00 (21:00),Lyon,3.5,3–3,1.5,Dijon,"33,600",Groupama Stadium,Antony Gautier,Match Report,
Regular season,7,Sat,9/23/2017,20:00 (21:00),Bordeaux,2.7,3–1,1.4,Guingamp,"20,603",Stade Matmut-Atlantique,Benoît Bastien,Match Report,
Regular season,7,Sat,9/23/2017,20:00 (21:00),Caen,1.8,1–0,0,Amiens,"16,212",Stade Michel d'Ornano,Hakim Ben El Hadj Salem,Match Report,
Regular season,7,Sat,9/23/2017,20:00 (21:00),Metz,1.1,0–1,0.6,Troyes,"15,491",Stade Saint-Symphorien,Karim Abed,Match Report,
Regular season,7,Sun,9/24/2017,15:00 (16:00),Saint-Étienne,1.8,2–2,1.4,Rennes,"31,043",Stade Geoffroy-Guichard,Jérôme Miguelgorry,Match Report,
Regular season,7,Sun,9/24/2017,17:00 (18:00),Strasbourg,1.5,1–2,0.5,Nantes,"23,408",Stade de la Meinau,Sébastien Desiage,Match Report,
Regular season,7,Sun,9/24/2017,21:00 (22:00),Marseille,2.7,2–0,0.7,Toulouse,"39,501",Orange Vélodrome,Benoît Millot,Match Report,
,,,,,,,,,,,,,,
Regular season,8,Fri,9/29/2017,20:45 (21:45),Monaco,0.9,1–1,1.1,Montpellier,"7,053",Stade Louis II.,Tony Chapron,Match Report,
Regular season,8,Sat,9/30/2017,17:00 (18:00),Paris S-G,2,6–2,2.1,Bordeaux,"47,537",Parc des Princes,François Letexier,Match Report,
Regular season,8,Sat,9/30/2017,20:00 (21:00),Guingamp,1,1–1,0.7,Toulouse,"13,196",Stade du Roudourou,Ruddy Buquet,Match Report,
Regular season,8,Sat,9/30/2017,20:00 (21:00),Nantes,1.9,1–0,1.4,Metz,"22,104",Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,
Regular season,8,Sat,9/30/2017,20:00 (21:00),Rennes,0.6,0–1,1.5,Caen,"18,689",Roazhon Park,Amaury Delerue,Match Report,
Regular season,8,Sat,9/30/2017,20:00 (21:00),Dijon,1.6,1–1,0.8,Strasbourg,"11,577",Stade Gaston Gérard,Olivier Thual,Match Report,
