Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,1,Fri,8/21/2020,19:00 (20:00),Bordeaux,0.5,0–0,0.2,Nantes,,Stade Matmut-Atlantique,Benoît Bastien,Match Report,
Regular season,1,Sat,8/22/2020,17:00 (18:00),Dijon,0.9,0–1,1.5,Angers,,Stade Gaston Gérard,Eric Wattellier,Match Report,
Regular season,1,Sat,8/22/2020,21:00 (22:00),Lille,0.4,1–1,1.6,Rennes,"3,975",Stade Pierre-Mauroy,Clément Turpin,Match Report,
Regular season,1,Sun,8/23/2020,13:00 (14:00),Monaco,1.8,2–2,1.7,Reims,,Stade Louis II.,François Letexier,Match Report,
Regular season,1,Sun,8/23/2020,15:00 (16:00),Nîmes,1.7,4–0,0.8,Brest,,Stade des Costières,Jérémie Pignard,Match Report,
Regular season,1,Sun,8/23/2020,15:00 (16:00),Lorient,2.9,3–1,0.3,Strasbourg,,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Match Report,
Regular season,1,Sun,8/23/2020,17:00 (18:00),Nice,0.2,2–1,3.1,Lens,,Stade de Nice,Jérôme Miguelgorry,Match Report,
,,,,,,,,,,,,,,
Regular season,2,Fri,8/28/2020,21:00 (22:00),Lyon,4.6,4–1,0.2,Dijon,,Groupama Stadium,Benoît Millot,Match Report,
Regular season,2,Sat,8/29/2020,17:00 (18:00),Rennes,1.4,2–1,0.6,Montpellier,,Roazhon Park,Willy Delajod,Match Report,
Regular season,2,Sat,8/29/2020,21:00 (22:00),Strasbourg,0.3,0–2,1.3,Nice,,Stade de la Meinau,Jérôme Brisard,Match Report,
Regular season,2,Sun,8/30/2020,13:00 (14:00),Reims,0.3,0–1,1.2,Lille,,Stade Auguste-Delaune II,Stéphanie Frappart,Match Report,
Regular season,2,Sun,8/30/2020,15:00 (16:00),Metz,0.7,0–1,0.2,Monaco,"4,463",Stade Saint-Symphorien,Jeremy Stinat,Match Report,
Regular season,2,Sun,8/30/2020,15:00 (16:00),Saint-Étienne,1.4,2–0,0.3,Lorient,,Stade Geoffroy-Guichard,Florent Batta,Match Report,
Regular season,2,Sun,8/30/2020,15:00 (16:00),Nantes,1.8,2–1,1.2,Nîmes,,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,
Regular season,2,Sun,8/30/2020,15:00 (16:00),Angers,0.8,0–2,2,Bordeaux,,Stade Raymond Kopa,Karim Abed,Match Report,
Regular season,2,Sun,8/30/2020,21:00 (22:00),Brest,2.6,2–3,1,Marseille,,Stade Francis-Le Blé,Amaury Delerue,Match Report,
Regular season,2,Thu,9/10/2020,21:00 (22:00),Lens,1.5,1–0,0.4,Paris S-G,,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Match Report,
,,,,,,,,,,,,,,
Regular season,3,Fri,9/11/2020,21:00 (22:00),Bordeaux,0.3,0–0,2,Lyon,,Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
Regular season,3,Sat,9/12/2020,17:00 (18:00),Montpellier,1.7,3–1,0.7,Nice,,Stade de la Mosson,Antony Gautier,Match Report,
Regular season,3,Sat,9/12/2020,21:00 (22:00),Saint-Étienne,2,2–0,1.4,Strasbourg,,Stade Geoffroy-Guichard,Eric Wattellier,Match Report,
Regular season,3,Sun,9/13/2020,13:00 (14:00),Lille,1.5,1–0,0.8,Metz,,Stade Pierre-Mauroy,Jérémie Pignard,Match Report,
Regular season,3,Sun,9/13/2020,15:00 (16:00),Lorient,1,2–3,2,Lens,,Stade Yves Allainmat - Le Moustoir,Aurélien Petit,Match Report,
Regular season,3,Sun,9/13/2020,15:00 (16:00),Angers,2,1–0,0.4,Reims,,Stade Raymond Kopa,Benoît Bastien,Match Report,
Regular season,3,Sun,9/13/2020,15:00 (16:00),Nîmes,1.3,2–4,2.1,Rennes,,Stade des Costières,Mikael Lesage,Match Report,
Regular season,3,Sun,9/13/2020,15:00 (16:00),Dijon,0.3,0–2,1.9,Brest,,Stade Gaston Gérard,Bastien Dechepy,Match Report,
Regular season,3,Sun,9/13/2020,17:00 (18:00),Monaco,2.3,2–1,1.2,Nantes,,Stade Louis II.,Clément Turpin,Match Report,
Regular season,3,Sun,9/13/2020,21:00 (22:00),Paris S-G,2.4,0–1,0.7,Marseille,,Parc des Princes,Jérôme Brisard,Match Report,
,,,,,,,,,,,,,,
Regular season,1,Tue,9/15/2020,21:00 (22:00),Montpellier,1.8,2–1,2.3,Lyon,,Stade de la Mosson,François Letexier,Match Report,
Regular season,1,Wed,9/16/2020,21:00 (22:00),Paris S-G,2.2,1–0,0.9,Metz,,Parc des Princes,Mikael Lesage,Match Report,
Regular season,1,Thu,9/17/2020,21:00 (22:00),Marseille,2.2,0–2,1.3,Saint-Étienne,,Orange Vélodrome,Ruddy Buquet,Match Report,
,,,,,,,,,,,,,,
Regular season,4,Fri,9/18/2020,21:00 (22:00),Lyon,1.4,0–0,0.7,Nîmes,"4,385",Groupama Stadium,Amaury Delerue,Match Report,
