Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,1,Fri,8/6/2021,21:00 (22:00),Monaco,1.7,1–1,0.3,Nantes,"7,500",Stade Louis II.,Antony Gautier,Match Report,
Regular season,1,Sat,8/7/2021,17:00 (18:00),Lyon,1.8,1–1,1,Brest,"29,018",Groupama Stadium,Mikael Lesage,Match Report,
Regular season,1,Sat,8/7/2021,21:00 (22:00),Troyes,0.8,1–2,1.4,Paris S-G,"15,248",Stade de l'Aube,Amaury Delerue,Match Report,
Regular season,1,Sun,8/8/2021,13:00 (14:00),Rennes,1,1–1,1.9,Lens,"22,567",Roazhon Park,Bastien Dechepy,Match Report,
Regular season,1,Sun,8/8/2021,15:00 (16:00),Bordeaux,1,0–2,3.5,Clermont Foot,"18,748",Stade Matmut-Atlantique,Florent Batta,Match Report,
Regular season,1,Sun,8/8/2021,15:00 (16:00),Strasbourg,0.7,0–2,1,Angers,"23,250",Stade de la Meinau,Jeremy Stinat,Match Report,
Regular season,1,Sun,8/8/2021,15:00 (16:00),Nice,1.1,0–0,0.2,Reims,"18,030",Stade de Nice,Johan Hamel,Match Report,
Regular season,1,Sun,8/8/2021,15:00 (16:00),Saint-Étienne,2,1–1,0.8,Lorient,"20,461",Stade Geoffroy-Guichard,Thomas Léonard,Match Report,
Regular season,1,Sun,8/8/2021,17:00 (18:00),Metz,1.2,3–3,1.4,Lille,"15,551",Stade Saint-Symphorien,Eric Wattellier,Match Report,
Regular season,1,Sun,8/8/2021,20:45 (21:45),Montpellier,0.6,2–3,2.4,Marseille,"13,500",Stade de la Mosson,Jérémie Pignard,Match Report,
,,,,,,,,,,,,,,
Regular season,2,Fri,8/13/2021,21:00 (22:00),Lorient,0.8,1–0,1.3,Monaco,"12,149",Stade Yves Allainmat - Le Moustoir,Hakim Ben El Hadj Salem,Match Report,
Regular season,2,Sat,8/14/2021,17:00 (18:00),Lille,1.2,0–4,2,Nice,"30,144",Stade Pierre-Mauroy,Jérôme Brisard,Match Report,
Regular season,2,Sat,8/14/2021,21:00 (22:00),Paris S-G,3.2,4–2,0.7,Strasbourg,"46,962",Parc des Princes,Willy Delajod,Match Report,
Regular season,2,Sun,8/15/2021,13:00 (14:00),Angers,2.1,3–0,0.9,Lyon,"6,154",Stade Raymond Kopa,Clément Turpin,Match Report,
Regular season,2,Sun,8/15/2021,15:00 (16:00),Clermont Foot,2.3,2–0,0.6,Troyes,"11,005",Stade Gabriel Montpied,Romain Lissorgue,Match Report,
Regular season,2,Sun,8/15/2021,15:00 (16:00),Brest,2,1–1,1.2,Rennes,"14,271",Stade Francis-Le Blé,Benoît Bastien,Match Report,
Regular season,2,Sun,8/15/2021,15:00 (16:00),Nantes,1.6,2–0,0.8,Metz,"12,054",Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,
Regular season,2,Sun,8/15/2021,15:00 (16:00),Reims,2,3–3,1.9,Montpellier,"8,887",Stade Auguste-Delaune II,Jeremy Stinat,Match Report,
Regular season,2,Sun,8/15/2021,17:00 (18:00),Lens,1.9,2–2,1.1,Saint-Étienne,"35,541",Stade Bollaert-Delelis,Amaury Delerue,Match Report,
Regular season,2,Sun,8/15/2021,20:45 (21:45),Marseille,1.4,2–2,0.4,Bordeaux,"50,000",Orange Vélodrome,Ruddy Buquet,Match Report,
,,,,,,,,,,,,,,
Regular season,3,Fri,8/20/2021,21:00 (22:00),Brest,1.4,2–4,1.1,Paris S-G,"14,586",Stade Francis-Le Blé,Eric Wattellier,Match Report,
Regular season,3,Sat,8/21/2021,17:00 (18:00),Monaco,0.5,0–2,0.7,Lens,"6,483",Stade Louis II.,Jérémie Pignard,Match Report,
Regular season,3,Sat,8/21/2021,21:00 (22:00),Saint-Étienne,0.6,1–1,1,Lille,"20,673",Stade Geoffroy-Guichard,Mikael Lesage,Match Report,
Regular season,3,Sun,8/22/2021,13:00 (14:00),Lyon,4,3–3,1.5,Clermont Foot,"34,713",Groupama Stadium,Thomas Léonard,Match Report,
Regular season,3,Sun,8/22/2021,15:00 (16:00),Strasbourg,2.6,1–1,1.4,Troyes,"22,185",Stade de la Meinau,Jérôme Brisard,Match Report,
Regular season,3,Sun,8/22/2021,15:00 (16:00),Metz,0.6,1–1,1.1,Reims,"14,799",Stade Saint-Symphorien,Florent Batta,Match Report,
Regular season,3,Sun,8/22/2021,15:00 (16:00),Montpellier,3.3,3–1,0.6,Lorient,"6,527",Stade de la Mosson,Bastien Dechepy,Match Report,
Regular season,3,Sun,8/22/2021,15:00 (16:00),Bordeaux,0.9,1–1,1,Angers,"18,281",Stade Matmut-Atlantique,Pierre Gaillouste,Match Report,
Regular season,3,Sun,8/22/2021,17:00 (18:00),Rennes,1.4,1–0,0.5,Nantes,"27,569",Roazhon Park,Stéphanie Frappart,Match Report,
,,,,,,,,,,,,,,
Regular season,4,Fri,8/27/2021,21:00 (22:00),Nantes,1.7,0–1,1.4,Lyon,"23,177",Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,
Regular season,4,Sat,8/28/2021,17:00 (18:00),Nice,2.7,4–0,1.2,Bordeaux,,Stade de Nice,Jérémie Pignard,Match Report,
Regular season,4,Sat,8/28/2021,21:00 (22:00),Marseille,2.4,3–1,1.3,Saint-Étienne,"55,039",Orange Vélodrome,Benoît Millot,Match Report,
Regular season,4,Sun,8/29/2021,13:00 (14:00),Troyes,1,1–2,1.9,Monaco,"9,866",Stade de l'Aube,Johan Hamel,Match Report,
Regular season,4,Sun,8/29/2021,15:00 (16:00),Strasbourg,1.5,3–1,1,Brest,"22,341",Stade de la Meinau,Romain Lissorgue,Match Report,
Regular season,4,Sun,8/29/2021,15:00 (16:00),Angers,2.3,2–0,1.4,Rennes,"6,473",Stade Raymond Kopa,Antony Gautier,Match Report,
Regular season,4,Sun,8/29/2021,15:00 (16:00),Lens,1.9,2–2,2,Lorient,"35,029",Stade Bollaert-Delelis,Willy Delajod,Match Report,
Regular season,4,Sun,8/29/2021,15:00 (16:00),Clermont Foot,1.7,2–2,1.5,Metz,"11,274",Stade Gabriel Montpied,Hakim Ben El Hadj Salem,Match Report,
Regular season,4,Sun,8/29/2021,17:00 (18:00),Lille,1.7,2–1,0.5,Montpellier,"28,859",Stade Pierre-Mauroy,Amaury Delerue,Match Report,
Regular season,4,Sun,8/29/2021,20:45 (21:45),Reims,0.8,0–2,1.5,Paris S-G,"20,525",Stade Auguste-Delaune II,François Letexier,Match Report,
,,,,,,,,,,,,,,
Regular season,5,Fri,9/10/2021,21:00 (22:00),Lorient,2.1,2–1,1.4,Lille,"10,271",Stade Yves Allainmat - Le Moustoir,Clément Turpin,Match Report,
Regular season,5,Sat,9/11/2021,17:00 (18:00),Paris S-G,2.3,4–0,1.2,Clermont Foot,"47,329",Parc des Princes,Mikael Lesage,Match Report,
Regular season,5,Sat,9/11/2021,21:00 (22:00),Monaco,1,0–2,1.8,Marseille,"8,615",Stade Louis II.,Stéphanie Frappart,Match Report,
Regular season,5,Sun,9/12/2021,13:00 (14:00),Montpellier,0.9,2–0,1,Saint-Étienne,"10,402",Stade de la Mosson,Benoît Bastien,Match Report,
Regular season,5,Sun,9/12/2021,15:00 (16:00),Rennes,0.8,0–2,0.7,Reims,"24,486",Roazhon Park,Thomas Léonard,Match Report,
Regular season,5,Sun,9/12/2021,15:00 (16:00),Bordeaux,0.8,2–3,2.5,Lens,"19,763",Stade Matmut-Atlantique,Luís Godinho,Match Report,
Regular season,5,Sun,9/12/2021,15:00 (16:00),Brest,1.6,1–1,1.2,Angers,"10,982",Stade Francis-Le Blé,Jeremy Stinat,Match Report,
Regular season,5,Sun,9/12/2021,15:00 (16:00),Metz,0.9,0–2,1,Troyes,"15,269",Stade Saint-Symphorien,Pierre Gaillouste,Match Report,
Regular season,5,Sun,9/12/2021,17:00 (18:00),Nantes,2,0–2,1.7,Nice,"14,597",Stade de la Beaujoire - Louis Fonteneau,Benoît Millot,Match Report,
