Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,4,Sun,9/2/2018,17:00 (18:00),Rennes,2.3,2–0,0.5,Bordeaux,"23,817",Roazhon Park,Benoît Bastien,Match Report,
Regular season,4,Sun,9/2/2018,21:00 (22:00),Monaco,1.4,2–3,1.8,Marseille,"14,269",Stade Louis II.,Benoît Millot,Match Report,
,,,,,,,,,,,,,,
Regular season,5,Fri,9/14/2018,19:00 (20:00),Nice,1.4,2–1,1.1,Rennes,"16,887",Stade de Nice,Jérôme Miguelgorry,Match Report,
Regular season,5,Fri,9/14/2018,20:45 (21:45),Paris S-G,2.5,4–0,1,Saint-Étienne,"46,549",Parc des Princes,Franck Schneider,Match Report,
Regular season,5,Sat,9/15/2018,17:00 (18:00),Caen,1.9,2–2,1.6,Lyon,"17,676",Stade Michel d'Ornano,Johan Hamel,Match Report,
Regular season,5,Sat,9/15/2018,20:00 (21:00),Dijon,1.2,1–3,1.4,Angers,"12,275",Stade Gaston Gérard,Hakim Ben El Hadj Salem,Match Report,
Regular season,5,Sat,9/15/2018,20:00 (21:00),Toulouse,1.6,1–1,0.6,Monaco,"16,689",Stadium Municipal,Ruddy Buquet,Match Report,
Regular season,5,Sat,9/15/2018,20:00 (21:00),Montpellier,0.4,1–1,0.5,Strasbourg,"10,630",Stade de la Mosson,Willy Delajod,Match Report,
Regular season,5,Sat,9/15/2018,20:00 (21:00),Amiens,1.6,2–3,3,Lille,"11,569",Stade de la Licorne,Nicolas Rainville,Match Report,
Regular season,5,Sun,9/16/2018,15:00 (16:00),Nantes,0.9,0–0,0.5,Reims,"18,981",Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier,Match Report,
Regular season,5,Sun,9/16/2018,17:00 (18:00),Bordeaux,1.2,3–3,1.6,Nîmes,"15,895",Stade Matmut-Atlantique,Antony Gautier,Match Report,
Regular season,5,Sun,9/16/2018,21:00 (22:00),Marseille,2.1,4–0,0.2,Guingamp,"50,450",Orange Vélodrome,Amaury Delerue,Match Report,
,,,,,,,,,,,,,,
Regular season,6,Fri,9/21/2018,20:45 (21:45),Monaco,1.7,1–1,0.6,Nîmes,"6,837",Stade Louis II.,Amaury Delerue,Match Report,
Regular season,6,Sat,9/22/2018,17:00 (18:00),Lille,0.8,2–1,1.8,Nantes,"27,353",Stade Pierre-Mauroy,Benoît Bastien,Match Report,
Regular season,6,Sat,9/22/2018,20:00 (21:00),Angers,0.9,0–0,0.4,Toulouse,"10,021",Stade Raymond Kopa,Florent Batta,Match Report,
Regular season,6,Sat,9/22/2018,20:00 (21:00),Saint-Étienne,3.5,2–1,0.6,Caen,"23,895",Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
Regular season,6,Sat,9/22/2018,20:00 (21:00),Reims,0.9,0–0,0.2,Dijon,"11,523",Stade Auguste-Delaune II,Jérôme Brisard,Match Report,
Regular season,6,Sat,9/22/2018,20:00 (21:00),Strasbourg,1.3,3–1,0.7,Amiens,"24,683",Stade de la Meinau,Jeremy Stinat,Match Report,
Regular season,6,Sat,9/22/2018,20:00 (21:00),Montpellier,1.8,1–0,0.4,Nice,"11,015",Stade de la Mosson,Thomas Léonard,Match Report,
Regular season,6,Sun,9/23/2018,15:00 (16:00),Rennes,1.3,1–3,1.6,Paris S-G,"29,205",Roazhon Park,Hakim Ben El Hadj Salem,Match Report,
Regular season,6,Sun,9/23/2018,17:00 (18:00),Guingamp,1.9,1–3,1.1,Bordeaux,"14,772",Stade du Roudourou,Franck Schneider,Match Report,
Regular season,6,Sun,9/23/2018,21:00 (22:00),Lyon,1.9,4–2,0.6,Marseille,"57,287",Groupama Stadium,Clément Turpin,Match Report,
,,,,,,,,,,,,,,
Regular season,7,Tue,9/25/2018,19:00 (20:00),Monaco,0.6,0–1,0.5,Angers,"5,502",Stade Louis II.,Willy Delajod,Match Report,
Regular season,7,Tue,9/25/2018,19:00 (20:00),Nantes,1,1–2,1.1,Nice,"16,604",Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,Match Report,
Regular season,7,Tue,9/25/2018,21:00 (22:00),Toulouse,1.5,2–3,2.3,Saint-Étienne,"14,008",Stadium Municipal,Amaury Delerue,Match Report,
Regular season,7,Wed,9/26/2018,19:00 (20:00),Amiens,0.7,2–1,2,Rennes,"10,398",Stade de la Licorne,Johan Hamel,Match Report,
Regular season,7,Wed,9/26/2018,19:00 (20:00),Bordeaux,1,1–0,1.9,Lille,"17,395",Stade Matmut-Atlantique,Karim Abed,Match Report,
Regular season,7,Wed,9/26/2018,19:00 (20:00),Nîmes,1,0–0,0.4,Guingamp,"13,415",Stade des Costières,Benoît Millot,Match Report,
Regular season,7,Wed,9/26/2018,19:00 (20:00),Caen,0.8,2–2,2.3,Montpellier,"14,402",Stade Michel d'Ornano,Antony Gautier,Match Report,
Regular season,7,Wed,9/26/2018,19:00 (20:00),Marseille,1.4,3–2,0.8,Strasbourg,"47,099",Orange Vélodrome,François Letexier,Match Report,
Regular season,7,Wed,9/26/2018,19:00 (20:00),Dijon,1.6,0–3,2.5,Lyon,"14,651",Stade Gaston Gérard,Jérôme Miguelgorry,Match Report,
Regular season,7,Wed,9/26/2018,21:00 (22:00),Paris S-G,3.5,4–1,0.4,Reims,"47,237",Parc des Princes,Olivier Thual,Match Report,
,,,,,,,,,,,,,,
Regular season,8,Fri,9/28/2018,20:45 (21:45),Saint-Étienne,1.6,2–0,2.1,Monaco,"26,486",Stade Geoffroy-Guichard,Jérôme Brisard,Match Report,
Regular season,8,Sat,9/29/2018,17:15 (18:15),Nice,0.5,0–3,2.6,Paris S-G,"33,138",Stade de Nice,Clément Turpin,Match Report,
Regular season,8,Sat,9/29/2018,20:00 (21:00),Angers,0.5,0–1,1.5,Guingamp,"9,483",Stade Raymond Kopa,Nicolas Rainville,Match Report,
Regular season,8,Sat,9/29/2018,20:00 (21:00),Reims,0.9,0–0,0.3,Bordeaux,"13,406",Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
Regular season,8,Sat,9/29/2018,20:00 (21:00),Lyon,2.2,1–1,1.2,Nantes,"50,319",Groupama Stadium,Franck Schneider,Match Report,
Regular season,8,Sat,9/29/2018,20:00 (21:00),Caen,1.5,1–0,0.3,Amiens,"15,007",Stade Michel d'Ornano,Benoît Bastien,Match Report,
Regular season,8,Sat,9/29/2018,20:00 (21:00),Strasbourg,1,3–0,1.1,Dijon,"25,060",Stade de la Meinau,Eric Wattellier,Match Report,
Regular season,8,Sun,9/30/2018,15:00 (16:00),Rennes,2.7,1–1,0.3,Toulouse,"21,173",Roazhon Park,Thomas Léonard,Match Report,
Regular season,8,Sun,9/30/2018,17:00 (18:00),Montpellier,2.5,3–0,1,Nîmes,"20,054",Stade de la Mosson,Ruddy Buquet,Match Report,
Regular season,8,Sun,9/30/2018,21:00 (22:00),Lille,2.8,3–0,0.5,Marseille,"41,623",Stade Pierre-Mauroy,Mikael Lesage,Match Report,
,,,,,,,,,,,,,,
Regular season,9,Fri,10/5/2018,20:45 (21:45),Toulouse,1,1–1,1,Nice,"14,162",Stadium Municipal,Willy Delajod,Match Report,
Regular season,9,Sat,10/6/2018,17:00 (18:00),Lille,0.8,3–1,1.3,Saint-Étienne,"31,263",Stade Pierre-Mauroy,Jérôme Miguelgorry,Match Report,
Regular season,9,Sat,10/6/2018,20:00 (21:00),Amiens,0.3,1–0,0.5,Dijon,"10,194",Stade de la Licorne,Florent Batta,Match Report,
Regular season,9,Sat,10/6/2018,20:00 (21:00),Nîmes,0.9,0–0,1.2,Reims,"12,958",Stade des Costières,Karim Abed,Match Report,
Regular season,9,Sat,10/6/2018,20:00 (21:00),Guingamp,0.8,1–1,1.2,Montpellier,"13,643",Stade du Roudourou,Jeremy Stinat,Match Report,
Regular season,9,Sat,10/6/2018,20:00 (21:00),Angers,2.5,2–2,1.3,Strasbourg,"8,930",Stade Raymond Kopa,Johan Hamel,Match Report,
Regular season,9,Sun,10/7/2018,15:00 (16:00),Bordeaux,1.7,3–0,0.6,Nantes,"18,307",Stade Matmut-Atlantique,François Letexier,Match Report,
Regular season,9,Sun,10/7/2018,17:00 (18:00),Marseille,1.6,2–0,0.7,Caen,"55,935",Orange Vélodrome,Benoît Millot,Match Report,
Regular season,9,Sun,10/7/2018,17:00 (18:00),Monaco,0.4,1–2,1.1,Rennes,"6,268",Stade Louis II.,Olivier Thual,Match Report,
Regular season,9,Sun,10/7/2018,21:00 (22:00),Paris S-G,3.6,5–0,1.5,Lyon,"47,443",Parc des Princes,Antony Gautier,Match Report,
,,,,,,,,,,,,,,
Regular season,10,Fri,10/19/2018,20:45 (21:45),Lyon,1.9,2–0,1.4,Nîmes,"42,896",Groupama Stadium,Olivier Thual,Match Report,
Regular season,10,Sat,10/20/2018,17:00 (18:00),Paris S-G,2.4,5–0,0.7,Amiens,"47,497",Parc des Princes,Mikael Lesage,Match Report,
Regular season,10,Sat,10/20/2018,20:00 (21:00),Reims,1.1,1–1,1.7,Angers,"10,954",Stade Auguste-Delaune II,Eric Wattellier,Match Report,
Regular season,10,Sat,10/20/2018,20:00 (21:00),Nantes,2.5,4–0,0.5,Toulouse,"22,613",Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
Regular season,10,Sat,10/20/2018,20:00 (21:00),Caen,0.4,0–0,0.4,Guingamp,"16,009",Stade Michel d'Ornano,Hakim Ben El Hadj Salem,Match Report,
Regular season,10,Sat,10/20/2018,20:00 (21:00),Dijon,1.6,1–2,2,Lille,"13,004",Stade Gaston Gérard,Thomas Léonard,Match Report,
Regular season,10,Sat,10/20/2018,20:00 (21:00),Strasbourg,0.9,2–1,1.5,Monaco,"25,358",Stade de la Meinau,Nicolas Rainville,Match Report,
Regular season,10,Sun,10/21/2018,15:00 (16:00),Montpellier,1.9,2–0,1,Bordeaux,"12,491",Stade de la Mosson,Franck Schneider,Match Report,
Regular season,10,Sun,10/21/2018,17:00 (18:00),Saint-Étienne,1.8,1–1,1.9,Rennes,"29,557",Stade Geoffroy-Guichard,Clément Turpin,Match Report,
Regular season,10,Sun,10/21/2018,21:00 (22:00),Nice,0.7,0–1,0.5,Marseille,"30,754",Stade de Nice,Amaury Delerue,Match Report,
,,,,,,,,,,,,,,
Regular season,11,Fri,10/26/2018,20:45 (21:45),Nîmes,1.3,1–1,0.8,Saint-Étienne,"15,412",Stade des Costières,François Letexier,Match Report,
