Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,8/16/2019,21:00 (22:00),Athletic Club,0.5,1–0,0.9,Barcelona,"47,693",San Mamés,Carlos del Cerro,Match Report,
1,Sat,8/17/2019,17:00 (18:00),Celta Vigo,1.6,1–3,2.1,Real Madrid,"23,566",Estadio de Balaídos,Javier Estrada,Match Report,
1,Sat,8/17/2019,19:00 (20:00),Valencia,2.3,1–1,1.8,Real Sociedad,"41,846",Estadio de Mestalla,Jesús Gil,Match Report,
1,Sat,8/17/2019,20:00 (21:00),Mallorca,1.6,2–1,0.7,Eibar,"15,127",Iberostar Estadi,Mario Melero,Match Report,
1,Sat,8/17/2019,21:00 (22:00),Leganés,1.4,0–1,0.2,Osasuna,"10,020",Estadio Municipal de Butarque,Alberola Rojas,Match Report,
1,Sat,8/17/2019,21:00 (22:00),Villarreal,1.9,4–4,1.9,Granada,"14,753",Estadio de la Cerámica,Adrián Cordero,Match Report,
1,Sun,8/18/2019,17:00 (18:00),Alavés,0.5,1–0,1.1,Levante,"12,029",Estadio de Mendizorroza,César Soto,Match Report,
1,Sun,8/18/2019,19:00 (20:00),Espanyol,0.2,0–2,1.6,Sevilla,"19,832",RCDE Stadium,Juan Martínez,Match Report,
1,Sun,8/18/2019,21:00 (22:00),Betis,1.5,1–2,0.7,Valladolid,"51,497",Estadio Benito Villamarín,Santiago Jaime,Match Report,
1,Sun,8/18/2019,22:00 (23:00),Atlético Madrid,2.2,1–0,0.3,Getafe,"55,099",Estadio Wanda Metropolitano,Guillermo Cuadra,Match Report,
,,,,,,,,,,,,,
2,Fri,8/23/2019,20:00 (21:00),Granada,0.5,0–1,1.1,Sevilla,"15,849",Estadio Nuevo Los Cármenes,José Sánchez,Match Report,
2,Fri,8/23/2019,22:00 (23:00),Levante,2.1,2–1,3,Villarreal,"20,240",Estadio Ciudad de Valencia,José Luis Munuera,Match Report,
2,Sat,8/24/2019,17:00 (18:00),Osasuna,0.5,0–0,0.8,Eibar,"13,978",Estadio El Sadar,David Medié,Match Report,
2,Sat,8/24/2019,19:00 (20:00),Real Madrid,1.7,1–1,1.2,Valladolid,"63,037",Estadio Santiago Bernabéu,Pablo González,Match Report,
2,Sat,8/24/2019,21:00 (22:00),Getafe,0.3,1–1,0.5,Athletic Club,"10,103",Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
2,Sat,8/24/2019,21:00 (22:00),Celta Vigo,1.9,1–0,1,Valencia,"20,034",Estadio de Balaídos,Alejandro Hernández,Match Report,
2,Sun,8/25/2019,17:00 (18:00),Alavés,0.8,0–0,0.2,Espanyol,"14,567",Estadio de Mendizorroza,Eduardo Prieto,Match Report,
2,Sun,8/25/2019,17:00 (18:00),Mallorca,1,0–1,1.6,Real Sociedad,"18,028",Iberostar Estadi,Valentín Pizarro,Match Report,
2,Sun,8/25/2019,19:00 (20:00),Leganés,0.4,0–1,1.8,Atlético Madrid,"11,742",Estadio Municipal de Butarque,Ricardo de Burgos,Match Report,
2,Sun,8/25/2019,21:00 (22:00),Barcelona,2.6,5–2,0.2,Betis,"79,159",Camp Nou,José González,Match Report,
,,,,,,,,,,,,,
3,Fri,8/30/2019,20:00 (21:00),Sevilla,1.5,1–1,0.4,Celta Vigo,"37,787",Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
3,Fri,8/30/2019,22:00 (23:00),Athletic Club,1,2–0,0.2,Real Sociedad,"46,697",San Mamés,Javier Estrada,Match Report,
3,Sat,8/31/2019,17:00 (18:00),Osasuna,1.8,2–2,0.4,Barcelona,"16,742",Estadio El Sadar,Juan Martínez,Match Report,
3,Sat,8/31/2019,19:00 (20:00),Levante,2.7,2–0,1.1,Valladolid,"19,347",Estadio Ciudad de Valencia,Adrián Cordero,Match Report,
3,Sat,8/31/2019,19:00 (20:00),Getafe,1,1–1,1,Alavés,"10,806",Coliseum Alfonso Pérez,Mario Melero,Match Report,
3,Sat,8/31/2019,21:00 (22:00),Betis,2.1,2–1,1.4,Leganés,"47,819",Estadio Benito Villamarín,Guillermo Cuadra,Match Report,
3,Sun,9/1/2019,17:00 (18:00),Valencia,2.3,2–0,1.2,Mallorca,"40,441",Estadio de Mestalla,Alberola Rojas,Match Report,
3,Sun,9/1/2019,19:00 (20:00),Atlético Madrid,1.5,3–2,0.9,Eibar,"56,664",Estadio Wanda Metropolitano,Santiago Jaime,Match Report,
3,Sun,9/1/2019,19:00 (20:00),Espanyol,1.4,0–3,1.4,Granada,"20,870",RCDE Stadium,César Soto,Match Report,
3,Sun,9/1/2019,21:00 (22:00),Villarreal,1.4,2–2,1.9,Real Madrid,"20,128",Estadio de la Cerámica,Jesús Gil,Match Report,
,,,,,,,,,,,,,
4,Fri,9/13/2019,21:00 (22:00),Mallorca,1.8,0–0,1.5,Athletic Club,"16,390",Iberostar Estadi,Pablo González,Match Report,
4,Sat,9/14/2019,13:00 (14:00),Real Madrid,2.9,3–2,1.2,Levante,"60,401",Estadio Santiago Bernabéu,Ricardo de Burgos,Match Report,
4,Sat,9/14/2019,16:00 (17:00),Leganés,0.4,0–3,1.6,Villarreal,"7,670",Estadio Municipal de Butarque,David Medié,Match Report,
4,Sat,9/14/2019,18:30 (19:30),Real Sociedad,2.1,2–0,1.2,Atlético Madrid,"34,719",Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
4,Sat,9/14/2019,21:00 (22:00),Barcelona,2.4,5–2,1.5,Valencia,"81,617",Camp Nou,José Sánchez,Match Report,
4,Sun,9/15/2019,12:00 (13:00),Eibar,0.7,1–2,1.8,Espanyol,"5,410",Estadio Municipal de Ipurúa,Valentín Pizarro,Match Report,
4,Sun,9/15/2019,14:00 (15:00),Alavés,0.8,0–1,1.1,Sevilla,"16,309",Estadio de Mendizorroza,Alejandro Hernández,Match Report,
4,Sun,9/15/2019,16:00 (17:00),Celta Vigo,0.3,0–2,1.2,Granada,"18,259",Estadio de Balaídos,Eduardo Prieto,Match Report,
4,Sun,9/15/2019,18:30 (19:30),Valladolid,0.7,1–1,2.5,Osasuna,"20,670",Estadio Municipal José Zorrilla,José Luis Munuera,Match Report,
4,Sun,9/15/2019,21:00 (22:00),Betis,1.1,1–1,1.5,Getafe,"47,884",Estadio Benito Villamarín,José González,Match Report,
,,,,,,,,,,,,,
5,Fri,9/20/2019,21:00 (22:00),Osasuna,2.1,0–0,0.4,Betis,"15,569",Estadio El Sadar,Carlos del Cerro,Match Report,
5,Sat,9/21/2019,13:00 (14:00),Villarreal,2.1,2–0,0.4,Valladolid,"16,195",Estadio de la Cerámica,César Soto,Match Report,
5,Sat,9/21/2019,16:00 (17:00),Levante,1.5,0–0,1.4,Eibar,"18,904",Estadio Ciudad de Valencia,Alberola Rojas,Match Report,
5,Sat,9/21/2019,18:30 (19:30),Atlético Madrid,1.7,0–0,0.6,Celta Vigo,"57,701",Estadio Wanda Metropolitano,Mario Melero,Match Report,
5,Sat,9/21/2019,21:00 (22:00),Granada,1.9,2–0,0.5,Barcelona,"18,880",Estadio Nuevo Los Cármenes,Guillermo Cuadra,Match Report,
5,Sun,9/22/2019,12:00 (13:00),Getafe,2.1,4–2,0.8,Mallorca,"11,338",Coliseum Alfonso Pérez,Santiago Jaime,Match Report,
5,Sun,9/22/2019,14:00 (15:00),Espanyol,0.9,1–3,1.3,Real Sociedad,"19,173",RCDE Stadium,Adrián Cordero,Match Report,
5,Sun,9/22/2019,16:00 (17:00),Valencia,1.5,1–1,1.2,Leganés,"39,014",Estadio de Mestalla,Javier Estrada,Match Report,
5,Sun,9/22/2019,18:30 (19:30),Athletic Club,2.4,2–0,0.2,Alavés,"45,143",San Mamés,Jesús Gil,Match Report,
5,Sun,9/22/2019,21:00 (22:00),Sevilla,0.5,0–1,1.2,Real Madrid,"42,354",Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
,,,,,,,,,,,,,
6,Tue,9/24/2019,19:00 (20:00),Valladolid,1.4,1–1,0.6,Granada,"18,410",Estadio Municipal José Zorrilla,Valentín Pizarro,Match Report,
6,Tue,9/24/2019,20:00 (21:00),Betis,2.9,3–1,1.5,Levante,"44,560",Estadio Benito Villamarín,Eduardo Prieto,Match Report,
6,Tue,9/24/2019,21:00 (22:00),Barcelona,0.5,2–1,0.6,Villarreal,"70,316",Camp Nou,Ricardo de Burgos,Match Report,
6,Wed,9/25/2019,19:00 (20:00),Mallorca,0.5,0–2,1,Atlético Madrid,"19,348",Iberostar Estadi,Alejandro Hernández,Match Report,
