Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sun,9/18/2022,16:15 (17:15),Villarreal,1.5,1–1,0.6,Sevilla,"18,292",Estadio Ciudad de Valencia,Alejandro Hernández,Match Report,
6,Sun,9/18/2022,18:30 (19:30),Betis,1.6,2–1,1.3,Girona,"52,229",Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,Match Report,
6,Sun,9/18/2022,18:30 (19:30),Real Sociedad,1.9,2–1,0.8,Espanyol,"31,511",Reale Arena,Carlos del Cerro,Match Report,
6,Sun,9/18/2022,21:00 (22:00),Atlético Madrid,1,1–2,0.9,Real Madrid,"66,881",Estadio Cívitas Metropolitano,José Luis Munuera,Match Report,
,,,,,,,,,,,,,
7,Fri,9/30/2022,21:00 (22:00),Athletic Club,2.1,4–0,0.7,Almería,"42,110",San Mamés,Juan Pulido,Match Report,
7,Sat,10/1/2022,14:00 (15:00),Cádiz,0.7,0–0,1.6,Villarreal,"15,516",Estadio Nuevo Mirandilla,Javier Villanueva,Match Report,
7,Sat,10/1/2022,16:15 (17:15),Getafe,2.8,2–3,1.6,Valladolid,"10,958",Coliseum Alfonso Pérez,Alejandro Muñíz,Match Report,
7,Sat,10/1/2022,18:30 (19:30),Sevilla,0.5,0–2,2.2,Atlético Madrid,"37,754",Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,
7,Sat,10/1/2022,21:00 (22:00),Mallorca,1.2,0–1,0.7,Barcelona,"18,103",Iberostar Estadi,Jesús Gil,Match Report,
7,Sun,10/2/2022,14:00 (15:00),Espanyol,0.8,2–2,1.1,Valencia,"19,766",RCDE Stadium,Valentín Pizarro,Match Report,
7,Sun,10/2/2022,16:15 (17:15),Celta Vigo,0.9,1–0,0.9,Betis,"14,344",Estadio de Balaídos,César Soto,Match Report,
7,Sun,10/2/2022,18:30 (19:30),Girona,1,3–5,2.1,Real Sociedad,"12,217",Estadi Municipal de Montilivi,Mario Melero,Match Report,
7,Sun,10/2/2022,21:00 (22:00),Real Madrid,2.5,1–1,0.5,Osasuna,"55,410",Estadio Santiago Bernabéu,Guillermo Cuadra,Match Report,
7,Mon,10/3/2022,21:00 (22:00),Rayo Vallecano,0.9,2–1,1.1,Elche,"11,662",Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,
,,,,,,,,,,,,,
8,Fri,10/7/2022,21:00 (22:00),Osasuna,1.6,1–2,2.1,Valencia,"20,260",Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
8,Sat,10/8/2022,14:00 (15:00),Almería,1.2,3–1,0.8,Rayo Vallecano,"10,783",Power Horse Stadium,Pablo González,Match Report,
8,Sat,10/8/2022,16:15 (17:15),Atlético Madrid,1.9,2–1,0.8,Girona,"54,069",Estadio Cívitas Metropolitano,Juan Martínez,Match Report,
8,Sat,10/8/2022,18:30 (19:30),Sevilla,1,1–1,1.7,Athletic Club,"36,502",Estadio Ramón Sánchez Pizjuán,Jesús Gil,Match Report,
8,Sat,10/8/2022,21:00 (22:00),Getafe,0.3,0–1,1.4,Real Madrid,"14,502",Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
8,Sun,10/9/2022,14:00 (15:00),Valladolid,0.6,0–0,0.5,Betis,"22,561",Estadio Municipal José Zorrilla,Carlos del Cerro,Match Report,
8,Sun,10/9/2022,16:15 (17:15),Cádiz,1.3,2–2,1.3,Espanyol,"16,572",Estadio Nuevo Mirandilla,Alejandro Hernández,Match Report,
