Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Fri,9/17/2021,21:00 (22:00),Celta Vigo,1.2,1–2,1.1,Cádiz,"6,754",Estadio de Balaídos,Isidro Díaz de Mera,Match Report,
5,Sat,9/18/2021,14:00 (15:00),Rayo Vallecano,2.3,3–0,1.2,Getafe,"3,280",Estadio del Rayo Vallecano,Adrián Cordero,Match Report,
5,Sat,9/18/2021,16:15 (17:15),Atlético Madrid,1.2,0–0,1.1,Athletic Club,"38,798",Estadio Wanda Metropolitano,Jesús Gil,Match Report,
5,Sat,9/18/2021,18:30 (19:30),Elche,0.6,1–1,1.7,Levante,"11,507",Estadio Manuel Martínez Valero,Miguel Ángel Ortiz Arias,Match Report,
5,Sat,9/18/2021,21:00 (22:00),Alavés,0.6,0–2,1.6,Osasuna,"8,176",Estadio de Mendizorroza,Alejandro Hernández,Match Report,
5,Sun,9/19/2021,14:00 (15:00),Mallorca,0.7,0–0,1.5,Villarreal,"9,168",Iberostar Estadi,Carlos del Cerro,Match Report,
5,Sun,9/19/2021,16:15 (17:15),Real Sociedad,1.4,0–0,0.9,Sevilla,"23,757",Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
5,Sun,9/19/2021,18:30 (19:30),Betis,1.9,2–2,1.8,Espanyol,"30,189",Estadio Benito Villamarín,César Soto,Match Report,
5,Sun,9/19/2021,21:00 (22:00),Valencia,1.4,1–2,1.4,Real Madrid,"26,689",Estadio de Mestalla,Pablo González,Match Report,
5,Mon,9/20/2021,21:00 (22:00),Barcelona,1.8,1–1,0.7,Granada,"27,097",Camp Nou,Santiago Jaime,Match Report,
,,,,,,,,,,,,,
6,Tue,9/21/2021,19:30 (20:30),Getafe,0.4,1–2,1,Atlético Madrid,"8,950",Coliseum Alfonso Pérez,Guillermo Cuadra,Match Report,
6,Tue,9/21/2021,22:00 (23:00),Levante,1.5,0–2,0.9,Celta Vigo,"11,989",Estadio Ciudad de Valencia,Jorge Figueroa,Match Report,
6,Tue,9/21/2021,22:00 (23:00),Athletic Club,0.8,1–2,0.8,Rayo Vallecano,"16,236",San Mamés,José Luis Munuera,Match Report,
6,Wed,9/22/2021,19:30 (20:30),Sevilla,1.1,3–1,0.4,Valencia,"23,654",Estadio Ramón Sánchez Pizjuán,José Sánchez,Match Report,
6,Wed,9/22/2021,19:30 (20:30),Espanyol,1.6,1–0,0.5,Alavés,"14,254",RCDE Stadium,Mario Melero,Match Report,
6,Wed,9/22/2021,22:00 (23:00),Real Madrid,3.2,6–1,1.6,Mallorca,"20,113",Estadio Santiago Bernabéu,Alberola Rojas,Match Report,
6,Wed,9/22/2021,22:00 (23:00),Villarreal,3,4–1,1.2,Elche,"8,234",Estadio de la Cerámica,Alejandro Muñíz,Match Report,
6,Thu,9/23/2021,19:30 (20:30),Osasuna,0.9,1–3,2.8,Betis,"13,758",Estadio El Sadar,Juan Martínez,Match Report,
6,Thu,9/23/2021,19:30 (20:30),Granada,1.4,2–3,1.9,Real Sociedad,"9,552",Estadio Nuevo Los Cármenes,Valentín Pizarro,Match Report,
6,Thu,9/23/2021,22:00 (23:00),Cádiz,1.4,0–0,0.6,Barcelona,"12,180",Estadio Nuevo Mirandilla,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,
7,Sat,9/25/2021,14:00 (15:00),Alavés,0.6,1–0,1.1,Atlético Madrid,"9,836",Estadio de Mendizorroza,Antonio Matéu Lahoz,Match Report,
7,Sat,9/25/2021,16:15 (17:15),Valencia,1,1–1,1,Athletic Club,"13,680",Estadio de Mestalla,Alejandro Hernández,Match Report,
7,Sat,9/25/2021,18:30 (19:30),Sevilla,1.7,2–0,0.9,Espanyol,"23,956",Estadio Ramón Sánchez Pizjuán,Pablo González,Match Report,
7,Sat,9/25/2021,21:00 (22:00),Real Madrid,1.4,0–0,0.7,Villarreal,"23,985",Estadio Santiago Bernabéu,Jesús Gil,Match Report,
7,Sun,9/26/2021,14:00 (15:00),Mallorca,2.2,2–3,0.9,Osasuna,"9,359",Iberostar Estadi,Miguel Ángel Ortiz Arias,Match Report,
7,Sun,9/26/2021,16:15 (17:15),Barcelona,3.1,3–0,0.7,Levante,"35,334",Camp Nou,Isidro Díaz de Mera,Match Report,
7,Sun,9/26/2021,18:30 (19:30),Rayo Vallecano,1.2,3–1,1,Cádiz,"5,903",Estadio del Rayo Vallecano,Ricardo de Burgos,Match Report,
7,Sun,9/26/2021,18:30 (19:30),Real Sociedad,2.4,1–0,0.6,Elche,"23,941",Estadio Municipal de Anoeta,Adrián Cordero,Match Report,
7,Sun,9/26/2021,21:00 (22:00),Betis,2.3,2–0,0.9,Getafe,"29,825",Estadio Benito Villamarín,Santiago Jaime,Match Report,
7,Mon,9/27/2021,21:00 (22:00),Celta Vigo,1.4,1–0,0.9,Granada,"6,375",Estadio de Balaídos,César Soto,Match Report,
,,,,,,,,,,,,,
8,Fri,10/1/2021,21:00 (22:00),Athletic Club,2.2,1–0,1.1,Alavés,"28,665",San Mamés,Carlos del Cerro,Match Report,
8,Sat,10/2/2021,14:00 (15:00),Osasuna,0.6,1–0,0.3,Rayo Vallecano,"19,238",Estadio El Sadar,Mario Melero,Match Report,
8,Sat,10/2/2021,16:15 (17:15),Mallorca,0.8,1–0,1.2,Levante,"11,803",Iberostar Estadi,Alejandro Muñíz,Match Report,
8,Sat,10/2/2021,18:30 (19:30),Cádiz,0.2,0–0,1.4,Valencia,"14,794",Estadio Nuevo Mirandilla,Valentín Pizarro,Match Report,
8,Sat,10/2/2021,21:00 (22:00),Atlético Madrid,1.3,2–0,0.9,Barcelona,"60,594",Estadio Wanda Metropolitano,César Soto,Match Report,
8,Sun,10/3/2021,14:00 (15:00),Elche,1.5,1–0,0.9,Celta Vigo,"11,299",Estadio Manuel Martínez Valero,José Luis Munuera,Match Report,
8,Sun,10/3/2021,16:15 (17:15),Espanyol,1.5,2–1,2,Real Madrid,"23,377",RCDE Stadium,Guillermo Cuadra,Match Report,
8,Sun,10/3/2021,18:30 (19:30),Getafe,0.7,1–1,0.9,Real Sociedad,"8,463",Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
8,Sun,10/3/2021,18:30 (19:30),Villarreal,2.8,2–0,0.7,Betis,"16,719",Estadio de la Cerámica,José Sánchez,Match Report,
8,Sun,10/3/2021,21:00 (22:00),Granada,0.1,1–0,1.4,Sevilla,"12,334",Estadio Nuevo Los Cármenes,Alberola Rojas,Match Report,
,,,,,,,,,,,,,
9,Sat,10/16/2021,18:30 (19:30),Levante,1,0–0,0.7,Getafe,"14,551",Estadio Ciudad de Valencia,Mario Melero,Match Report,
9,Sat,10/16/2021,21:00 (22:00),Real Sociedad,0.6,1–0,0.3,Mallorca,"30,831",Estadio Municipal de Anoeta,Pablo González,Match Report,
9,Sun,10/17/2021,14:00 (15:00),Rayo Vallecano,1.7,2–1,0.5,Elche,"6,989",Estadio del Rayo Vallecano,Santiago Jaime,Match Report,
9,Sun,10/17/2021,16:15 (17:15),Celta Vigo,1.4,0–1,1.1,Sevilla,"10,774",Estadio de Balaídos,Ricardo de Burgos,Match Report,
9,Sun,10/17/2021,18:30 (19:30),Villarreal,0.7,1–2,0.8,Osasuna,"14,831",Estadio de la Cerámica,Adrián Cordero,Match Report,
9,Sun,10/17/2021,21:00 (22:00),Barcelona,2.1,3–1,0.5,Valencia,"47,317",Camp Nou,Jesús Gil,Match Report,
9,Mon,10/18/2021,19:00 (20:00),Alavés,1.4,0–1,1.5,Betis,"10,227",Estadio de Mendizorroza,Miguel Ángel Ortiz Arias,Match Report,
9,Mon,10/18/2021,21:00 (22:00),Espanyol,1.5,2–0,0.6,Cádiz,"15,678",RCDE Stadium,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,
10,Fri,10/22/2021,21:00 (22:00),Osasuna,1.1,1–1,0.7,Granada,"21,128",Estadio El Sadar,Alejandro Muñíz,Match Report,
10,Sat,10/23/2021,14:00 (15:00),Valencia,2.2,2–2,0.7,Mallorca,"29,139",Estadio de Mestalla,Carlos del Cerro,Match Report,
10,Sat,10/23/2021,16:15 (17:15),Cádiz,2.4,0–2,1.5,Alavés,"13,790",Estadio Nuevo Mirandilla,Alberola Rojas,Match Report,
10,Sat,10/23/2021,18:30 (19:30),Elche,1.2,2–2,1.1,Espanyol,"13,449",Estadio Manuel Martínez Valero,Jorge Figueroa,Match Report,
10,Sat,10/23/2021,21:00 (22:00),Athletic Club,2.6,2–1,0.7,Villarreal,"38,698",San Mamés,Guillermo Cuadra,Match Report,
10,Sun,10/24/2021,14:00 (15:00),Sevilla,1.6,5–3,2.1,Levante,"30,601",Estadio Ramón Sánchez Pizjuán,Valentín Pizarro,Match Report,
10,Sun,10/24/2021,16:15 (17:15),Barcelona,1.8,1–2,1.7,Real Madrid,"86,422",Camp Nou,José Sánchez,Match Report,
10,Sun,10/24/2021,18:30 (19:30),Betis,1.6,3–2,1.2,Rayo Vallecano,"45,362",Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
10,Sun,10/24/2021,21:00 (22:00),Atlético Madrid,1.9,2–2,0.8,Real Sociedad,"50,032",Estadio Wanda Metropolitano,José Luis Munuera,Match Report,
10,Mon,10/25/2021,21:00 (22:00),Getafe,0.5,0–3,1.9,Celta Vigo,"7,630",Coliseum Alfonso Pérez,Juan Martínez,Match Report,
,,,,,,,,,,,,,
11,Tue,10/26/2021,19:00 (20:00),Alavés,2,1–0,0.4,Elche,"10,206",Estadio de Mendizorroza,Jesús Gil,Match Report,
11,Tue,10/26/2021,21:00 (22:00),Espanyol,1.3,1–1,3.6,Athletic Club,"16,196",RCDE Stadium,Miguel Ángel Ortiz Arias,Match Report,
11,Tue,10/26/2021,21:30 (22:30),Villarreal,1.6,3–3,1.1,Cádiz,"12,190",Estadio de la Cerámica,Alejandro Hernández,Match Report,
11,Wed,10/27/2021,19:00 (20:00),Rayo Vallecano,1.4,1–0,2.8,Barcelona,"9,340",Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Match Report,
11,Wed,10/27/2021,19:00 (20:00),Mallorca,1.9,1–1,1.4,Sevilla,"15,125",Iberostar Estadi,Santiago Jaime,Match Report,
11,Wed,10/27/2021,20:00 (21:00),Betis,1.9,4–1,2,Valencia,"43,123",Estadio Benito Villamarín,Isidro Díaz de Mera,Match Report,
11,Wed,10/27/2021,21:30 (22:30),Real Madrid,0.9,0–0,0.6,Osasuna,"35,691",Estadio Santiago Bernabéu,César Soto,Match Report,
11,Thu,10/28/2021,19:00 (20:00),Celta Vigo,1.7,0–2,1.9,Real Sociedad,"8,726",Estadio de Balaídos,Mario Melero,Match Report,
11,Thu,10/28/2021,20:00 (21:00),Granada,2.1,1–1,0.3,Getafe,"13,651",Estadio Nuevo Los Cármenes,Adrián Cordero,Match Report,
