,Unnamed: 0,Team Av Shots Diff,Team Av Shots Inside Box Diff,Team Av Fouls Diff,Team Av Corners Diff,Team Av Possession Diff,Team Av Pass Accuracy Diff,Team Av Goal Diff,Opponent Av Shots Diff,Opponent Av Shots Inside Box Diff,Opponent Av Fouls Diff,Opponent Av Corners Diff,Opponent Av Possession Diff,Opponent Av Pass Accuracy Diff,Opponent Av Goal Diff
985,985,-1.4000000000000004,-1.1999999999999993,1.5,-1.1000000000000003,3.799999999999997,2.0999999999999943,-0.9000000000000001,9.9,6.1,1.5,3.5,38.8,16.400000000000006,1.3000000000000005
986,986,7.299999999999999,4.499999999999999,-0.200000000000001,1.1,15.0,7.300000000000011,0.0999999999999998,-0.5,-0.6999999999999993,-1.0,-2.4,-22.599999999999994,-9.0,-0.1999999999999999
987,987,-1.1999999999999993,-1.3999999999999986,-1.5,2.0,-2.799999999999997,-0.7000000000000028,-1.4,9.2,6.300000000000001,0.8999999999999986,3.6,26.599999999999994,12.299999999999995,1.5
988,988,-0.3000000000000007,1.200000000000001,0.7999999999999989,-0.5,0.4000000000000057,0.7000000000000028,1.9,-2.799999999999999,-1.7999999999999998,2.299999999999999,-0.9000000000000004,-17.799999999999997,-8.600000000000009,-0.8
989,989,-6.1,-6.300000000000001,-1.5,-0.7000000000000002,9.400000000000006,4.599999999999994,-0.3,-7.400000000000002,-5.9,0.200000000000001,-4.5,-21.599999999999994,-8.399999999999991,-1.2
990,990,12.2,8.3,0.1999999999999993,3.6,35.400000000000006,13.299999999999995,2.6,-4.300000000000001,-1.2000000000000002,0.9000000000000004,-0.5,-2.5999999999999943,-1.4000000000000057,0.0
991,991,-7.800000000000001,-7.1000000000000005,-3.299999999999999,-2.1,-11.799999999999995,-4.699999999999989,-1.5000000000000002,-2.700000000000001,-2.9000000000000004,0.6000000000000014,-0.2999999999999998,6.0,1.0999999999999943,-1.1
992,992,6.800000000000001,4.4,-0.5,1.2000000000000002,15.200000000000005,7.199999999999989,0.0999999999999998,-3.3000000000000007,-2.2,-1.0999999999999996,-0.7999999999999998,-28.599999999999994,-13.400000000000006,-0.6000000000000001
993,993,2.5,2.6000000000000005,-0.3000000000000007,-0.8999999999999995,-8.200000000000003,-3.799999999999997,1.0,-3.0,-1.5,4.199999999999999,0.5,-6.200000000000003,-3.899999999999992,-0.3999999999999999
994,994,-6.699999999999999,-2.5,0.7000000000000002,-0.7999999999999998,-6.0,-3.4000000000000057,-0.0999999999999998,-0.5999999999999996,-0.6999999999999993,-0.3000000000000007,-0.7999999999999998,-0.7999999999999972,0.5,0.2999999999999998
995,995,-2.0,-1.5,-0.5,-2.0,-25.0,-10.5,-0.1999999999999999,-3.5,-1.8999999999999997,0.8000000000000007,-1.4000000000000004,-19.599999999999994,-9.0,-0.9000000000000001
996,996,-6.199999999999999,-4.8,-0.5,-4.0,-20.0,-7.599999999999994,-1.6,9.7,6.299999999999999,1.299999999999999,3.6,38.2,16.0,1.3000000000000005
997,997,0.0,2.6000000000000005,-1.5,1.0000000000000004,-0.4000000000000057,0.7000000000000028,0.3999999999999999,-4.1,-3.299999999999999,1.700000000000001,-1.9000000000000004,-2.5999999999999943,-0.4000000000000057,-0.9000000000000001
998,998,-5.1,-4.0,-1.8000000000000007,0.5,-8.599999999999994,-2.5999999999999943,-1.7,-4.4,-5.5,-0.8000000000000007,-0.5,14.799999999999995,6.700000000000003,0.0999999999999998
999,999,-2.1999999999999997,-3.0,0.6999999999999993,-0.2999999999999998,6.599999999999994,1.6999999999999886,-1.0,11.2,7.0,0.9000000000000004,3.9,30.40000000000001,13.599999999999994,1.4
1000,1000,2.0,2.700000000000001,-1.3000000000000007,0.5,-7.799999999999997,-3.0,0.0,14.0,9.2,-0.9000000000000004,4.0,37.6,14.700000000000005,2.5
1001,1001,-6.500000000000002,-5.499999999999999,-2.5,-1.5999999999999996,-13.0,-5.400000000000006,-1.3,1.3999999999999986,1.5999999999999996,1.6999999999999993,-0.2000000000000001,4.0,1.8999999999999917,1.6
1002,1002,-0.4000000000000003,1.9999999999999991,-2.0,0.7000000000000002,0.0,0.4000000000000057,0.3,8.499999999999998,5.4,-1.200000000000001,1.8000000000000007,18.599999999999994,8.799999999999997,0.4000000000000001
1003,1003,0.4000000000000003,0.5,2.8000000000000007,0.4000000000000003,3.799999999999997,2.700000000000003,-1.3,12.5,8.5,1.200000000000001,4.3,29.2,13.0,1.5
1004,1004,-0.3000000000000007,0.5999999999999996,-0.9000000000000004,-0.4000000000000003,-9.799999999999995,-4.099999999999994,-0.5,-2.6,-1.2000000000000002,0.5,-0.2000000000000001,-21.599999999999994,-10.900000000000006,-0.8
1005,1005,-4.4,-4.1,-0.0999999999999996,-0.5,1.2000000000000028,0.1999999999999886,-1.0,-4.200000000000001,-3.5,4.100000000000001,-0.1000000000000005,-5.799999999999997,-4.299999999999997,-0.1999999999999999
1006,1006,-2.700000000000001,-3.7,0.0,0.0,14.799999999999995,7.0,0.3,3.0,3.6000000000000005,-1.0,-0.7999999999999998,-6.400000000000006,-2.799999999999997,0.7
1007,1007,-5.300000000000001,-3.9,-2.1,0.2000000000000001,-11.200000000000005,-3.799999999999997,-1.6,1.6999999999999993,1.5,0.5999999999999996,-0.6000000000000005,5.0,2.5,1.6
1008,1008,-4.6,-2.7,-0.5,-1.5,-32.400000000000006,-15.5,-0.5,10.3,7.1000000000000005,1.8000000000000007,3.9,38.0,15.5,1.0
1009,1009,-1.799999999999999,-1.5999999999999996,2.3,-1.0,3.5999999999999943,1.5999999999999943,-0.7,0.0,0.0999999999999996,-0.5,-1.2000000000000002,-4.400000000000006,-1.4000000000000057,0.6000000000000001
1010,1010,-6.9,-3.3000000000000007,0.6999999999999993,-0.9000000000000004,-2.200000000000003,-2.1000000000000085,-0.2000000000000001,14.1,9.1,-1.1000000000000003,4.6000000000000005,38.2,15.800000000000011,2.3
1011,1011,7.0,4.1,-1.5,2.4000000000000004,18.200000000000003,8.600000000000009,0.4000000000000001,-0.5999999999999996,-2.500000000000001,-0.0999999999999996,-0.5,15.0,7.200000000000003,0.5
1012,1012,-4.6,-2.9000000000000004,-0.4000000000000003,-3.0,-32.599999999999994,-16.0,-0.5,0.2999999999999989,0.2000000000000001,-0.5,-0.6000000000000005,-7.200000000000003,-2.9000000000000057,-0.6000000000000001
1013,1013,1.8000000000000007,3.1999999999999997,-0.7000000000000002,0.0,-8.400000000000006,-3.6000000000000085,0.5,-1.5999999999999996,-1.4000000000000004,1.6999999999999993,-0.5,7.400000000000006,3.200000000000003,-0.8999999999999999
1014,1014,0.0,-0.6000000000000005,-0.7000000000000011,-0.8000000000000003,-14.799999999999995,-4.800000000000011,0.0999999999999998,0.8000000000000007,0.8999999999999986,0.2999999999999989,-1.7999999999999998,-7.400000000000006,-2.6000000000000085,0.9
1015,1015,10.9,7.5,1.5,4.6,36.0,14.5,1.0,2.5,2.3999999999999995,1.200000000000001,0.0999999999999996,5.400000000000006,2.4000000000000057,2.0
1016,1016,0.6999999999999993,2.7,-1.0,0.8999999999999995,6.0,3.0,0.1,11.7,7.6,1.0999999999999996,4.5,33.0,14.5,1.3
1017,1017,-2.6,-0.7000000000000002,0.5,0.2999999999999998,-20.0,-9.800000000000011,-0.5,13.8,8.899999999999999,-2.0,4.5,38.400000000000006,15.099999999999994,2.5
1018,1018,-4.6,-4.1,3.5,-0.3000000000000007,-8.400000000000006,-5.399999999999992,-0.1999999999999999,-6.499999999999998,-5.1,-2.2,-1.4000000000000004,-15.400000000000006,-5.299999999999997,-1.8
1019,1019,0.3000000000000007,0.0999999999999996,2.5,-0.2000000000000001,0.2000000000000028,0.7999999999999972,-1.2000000000000002,-4.800000000000001,-4.2,-0.2999999999999989,-0.3999999999999994,0.7999999999999972,0.2000000000000028,-1.2000000000000002
1020,1020,-4.700000000000001,-1.9000000000000004,0.6999999999999993,-1.3999999999999997,-25.0,-11.5,-0.7,8.1,5.200000000000001,-1.0,2.9,17.599999999999994,8.799999999999997,0.5
1021,1021,0.1999999999999993,0.0,-0.1999999999999993,-1.0,-5.0,-2.0999999999999943,-0.4000000000000001,-0.6999999999999993,1.5999999999999996,-0.9000000000000004,0.3999999999999999,-1.4000000000000057,0.3999999999999915,0.1999999999999999
1022,1022,1.299999999999999,2.700000000000001,-1.5999999999999996,0.3000000000000007,-11.200000000000005,-5.199999999999989,1.0,0.4000000000000003,0.4000000000000003,2.6,-0.3999999999999994,-1.4000000000000057,0.5999999999999943,-1.0
1023,1023,-4.799999999999999,-4.200000000000001,3.6,-0.3000000000000007,-7.400000000000006,-5.0,-0.3,10.8,6.800000000000001,0.7999999999999989,4.4,35.599999999999994,14.299999999999995,0.7999999999999998
1024,1024,-1.5999999999999996,-2.999999999999999,-0.7000000000000011,-0.5999999999999996,14.400000000000006,6.5,0.1999999999999999,-5.900000000000002,-5.199999999999999,-2.4000000000000004,-1.7000000000000002,-18.200000000000003,-7.099999999999994,-1.6
1025,1025,-0.1999999999999993,-0.4000000000000003,2.3000000000000007,-0.4000000000000003,15.200000000000005,7.0,-0.8999999999999999,12.2,7.7,1.2999999999999998,4.0,33.2,14.5,0.9
1026,1026,13.9,9.2,-2.499999999999999,5.199999999999999,38.8,14.799999999999995,2.6,-1.200000000000001,-1.0999999999999996,-0.9000000000000004,-0.9000000000000004,-13.0,-4.299999999999997,0.0
1027,1027,0.8000000000000007,1.6000000000000003,1.1999999999999993,-0.4000000000000003,2.0,1.5999999999999943,1.8,-4.9,-4.299999999999999,-0.8999999999999995,0.0999999999999996,3.200000000000003,0.8999999999999915,-1.1
