Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Thu,9/14/2017,19:00 (20:00),Austria Wien at,0.5,1–5,1.6,it Milan,"31,409",Ernst-Happel-Stadion,Serdar Gözübüyük,Match Report,
Group stage,1,Thu,9/14/2017,19:00 (20:00),Young Boys ch,2.2,1–1,0.6,rs Partizan,"13,004",Stade de Suisse Wankdorf Bern,István Kovács,Match Report,
Group stage,1,Thu,9/14/2017,19:00 (20:00),Villarreal es,1.5,3–1,1,kz FC Astana,"18,144",Estadio de la Cerámica,Srđan Jovanović,Match Report,
Group stage,1,Thu,9/14/2017,19:00 (20:00),Fastav Zlín cz,0.6,0–0,0.9,md Sheriff Tiraspol,"4,499",Andrův stadion,Andrew Dallas,Match Report,
Group stage,1,Thu,9/14/2017,19:00 (20:00),Hoffenheim de,2,1–2,1.3,pt Braga,"15,714",Wirsol Rhein-Neckar-Arena,Bobby Madden,Match Report,
Group stage,1,Thu,9/14/2017,19:00 (20:00),Atalanta it,2.4,3–0,1.1,eng Everton,"14,890",Stadio Città del Tricolore,Vladislav Bezborodov,Match Report,
Group stage,1,Thu,9/14/2017,19:00 (20:00),Slavia Prague cz,1.4,1–0,0.5,il Maccabi Tel Aviv,"13,035",Eden Aréna,Robert Schörgenhofer,Match Report,
Group stage,1,Thu,9/14/2017,19:00 (20:00),Rijeka hr,0.8,1–2,0.8,gr AEK Athens,"5,932",Nogometno igralište Rujevica,John Beaton,Match Report,
Group stage,1,Thu,9/14/2017,19:00 (20:00),FC Copenhagen dk,0.6,0–0,0.7,ru Loko Moscow,"17,285",Telia Parken,Hüseyin Göçek,Match Report,
Group stage,1,Thu,9/14/2017,20:00,Apollon Limassol cy,0.8,1–1,2,fr Lyon,"5,134",Neo GSP,Miroslav Zelinka,Match Report,
