Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Thu,9/20/2018,18:55 (19:55),Rapid Wien at,0.9,2–0,0.8,ru Spartak Moscow,"21,400",Allianz Stadion,Alain Bieri,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (19:55),Vidi hu,0.5,0–2,1.4,by BATE Borisov,"14,726",Groupama Arena,Morten Krogh,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (19:55),Marseille fr,2.5,1–2,0.6,de Eint Frankfurt,,Orange Vélodrome,Matej Jug,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (19:55),Lazio it,3.2,2–1,0.8,cy Apollon,"11,898",Stadio Olimpico,Aghayev Aliyev,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (19:55),Villarreal es,0.9,2–2,1.5,sct Rangers,"15,982",Estadio de la Cerámica,István Kovács,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (19:55),Sevilla es,3.4,5–1,0.7,be Standard Liège,"30,003",Estadio Ramón Sánchez Pizjuán,Gediminas Mažeika,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (19:55),Genk be,1.8,2–0,0.1,se Malmö,"11,590",Luminus Arena,Mikhail Vilkov,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (19:55),Rennes fr,1.5,2–1,0.4,cz Jablonec,"20,628",Roazhon Park,Ola Nilsen,Match Report,
Group stage,1,Thu,9/20/2018,19:55,Dynamo Kyiv ua,1.5,2–2,1.3,kz Astana FK,"21,783",NSK Olimpijs'kyj,Ali Palabıyık,Match Report,
Group stage,1,Thu,9/20/2018,19:55,Beşiktaş tr,1.6,3–1,2,no Sarpsborg 08,"24,955",Vodafone Arena,Ádám Farkas,Match Report,
Group stage,1,Thu,9/20/2018,19:55,PAOK gr,0.1,0–1,2.6,eng Chelsea,"24,310",Stadio Toumbas,Alberto Undiano,Match Report,
Group stage,1,Thu,9/20/2018,19:55,Akhisarspor tr,1,0–1,0.9,ru Krasnodar,"6,555",Spor Toto Akhisar Stadyumu,Ville Nevalainen,Match Report,
Group stage,1,Thu,9/20/2018,20:00 (22:00),Arsenal eng,2.7,4–2,0.5,ua Vorskla Poltava,"59,039",Emirates Stadium,Lawrence Visser,Match Report,
Group stage,1,Thu,9/20/2018,20:00 (22:00),Celtic sct,1.1,1–0,0.1,no Rosenborg,"27,287",Celtic Park,Paweł Gil,Match Report,
Group stage,1,Thu,9/20/2018,20:00 (22:00),Sporting CP pt,1.6,2–0,0.4,az Qarabağ Ağdam,"30,098",Estádio José Alvalade,Karim Abed,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (22:00),FC Copenhagen dk,1.5,1–1,0.9,ru Zenit,"19,005",Telia Parken,Georgi Kabakov,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (22:00),F91 Dudelange lu,0.2,0–1,2.5,it Milan,"7,983",Stade Josy Barthel,Srđan Jovanović,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (22:00),Dinamo Zagreb hr,2.3,4–1,1.2,tr Fenerbahçe,"17,303",Stadion Maksimir,Chris Kavanagh,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (22:00),Slavia Prague cz,1.4,1–0,0.3,fr Bordeaux,"16,548",Sinobo Stadium,Scott Parker,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (22:00),RB Leipzig de,1.1,2–3,1.5,at RB Salzburg,"24,057",Red Bull Arena,Andreas Ekberg,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (22:00),Spartak Trnava sk,1.2,1–0,1,be Anderlecht,"17,114",City Arena Trnava,Kevin Clancy,Match Report,
Group stage,1,Thu,9/20/2018,22:00,AÉK Lárnaka cy,0.5,0–1,1.6,ch Zürich,"3,173",Neo GSP,Alexandre Boucaut,Match Report,
Group stage,1,Thu,9/20/2018,22:00,Olympiacos gr,1,0–0,1,es Betis,"28,650",Stadio Georgios Karaiskáki,Daniel Stefański,Match Report,
Group stage,1,Thu,9/20/2018,22:00,Ludogorets bg,0.8,2–3,1.3,de Leverkusen,"8,240",Ludogorets Arena,Paolo Mazzoleni,Match Report,
,,,,,,,,,,,,,,
Group stage,2,Thu,10/4/2018,18:55 (19:55),Rosenborg no,0.7,1–3,2.1,de RB Leipzig,"14,000",Lerkendal Stadion,Marco Guida,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (19:55),Leverkusen de,3,4–2,1.2,cy AÉK Lárnaka,"23,354",BayArena,Yevhen Aranovskyi,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (19:55),Bordeaux fr,2.1,1–2,0.7,dk FC Copenhagen,"11,860",Stade Matmut-Atlantique,Roi Reinshreiber,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (19:55),RB Salzburg at,4.1,3–1,0.2,sct Celtic,"24,500",Red Bull Arena,Serhiy Boiko,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (19:55),Betis es,2.9,3–0,0.5,lu F91 Dudelange,"40,133",Estadio Benito Villamarín,Andrew Dallas,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (19:55),Zürich ch,0.5,1–0,0.9,bg Ludogorets,"7,092",Stadion Letzigrund,José Sánchez,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (19:55),Milan it,2.1,3–1,0.5,gr Olympiacos,"22,294",Stadio Giuseppe Meazza,Bobby Madden,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (19:55),Anderlecht be,0.5,0–2,1.8,hr Dinamo Zagreb,"12,137",Stade Constant Vanden Stock,Vladislav Bezborodov,Match Report,
Group stage,2,Thu,10/4/2018,19:55,Fenerbahçe tr,2.2,2–0,0.4,sk Spartak Trnava,"29,622",Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Tobias Welz,Match Report,
Group stage,2,Thu,10/4/2018,19:55,Zenit ru,0.9,1–0,1.5,cz Slavia Prague,"45,408",Gazprom Arena,Hüseyin Göçek,Match Report,
Group stage,2,Thu,10/4/2018,19:55,Vorskla Poltava ua,0.2,1–2,2.2,pt Sporting CP,"10,082",Stadion Vorskla im. Oleksiya Butov'skogo,Nikola Dabanović,Match Report,
Group stage,2,Thu,10/4/2018,20:00 (22:00),Rangers sct,2.2,3–1,0.5,at Rapid Wien,"47,534",Ibrox Stadium,Ruddy Buquet,Match Report,
Group stage,2,Thu,10/4/2018,20:00 (22:00),Chelsea eng,3.5,1–0,0.5,hu Vidi,"39,925",Stamford Bridge,Miroslav Zelinka,Match Report,
Group stage,2,Thu,10/4/2018,20:50 (17:50),Astana FK kz,0.6,2–0,0.9,fr Rennes,"25,302",Astana Arena,Mattias Gestranius,Match Report,
Group stage,2,Thu,10/4/2018,20:55 (19:55),Qarabağ Ağdam az,1,0–3,2.5,eng Arsenal,"63,412",Bakı Olimpiya Stadionu,Davide Massa,Match Report,
Group stage,2,Thu,10/4/2018,21:00 (22:00),Sarpsborg 08 no,2,3–1,0.5,be Genk,"7,885",Sarpsborg Stadion,Ivan Bebek,Match Report,
Group stage,2,Thu,10/4/2018,21:00 (22:00),Standard Liège be,1,2–1,1.5,tr Akhisarspor,"8,233",Stade Maurice Dufrasne,Manuel Schüttengruber,Match Report,
Group stage,2,Thu,10/4/2018,21:00 (22:00),Eint Frankfurt de,3.2,4–1,0.7,it Lazio,"47,000",Commerzbank-Arena,Serdar Gözübüyük,Match Report,
Group stage,2,Thu,10/4/2018,21:00 (22:00),Malmö se,1.1,2–0,1.3,tr Beşiktaş,"17,174",Swedbank Stadion,Aleksandar Stavrev,Match Report,
Group stage,2,Thu,10/4/2018,21:00 (22:00),Jablonec cz,1,2–2,0.7,ua Dynamo Kyiv,"5,077",Stadion Střelnice,Alexandre Boucaut,Match Report,
Group stage,2,Thu,10/4/2018,22:00,Apollon cy,1.2,2–2,0.8,fr Marseille,"3,031",Neo GSP,Julian Weinberger,Match Report,
Group stage,2,Thu,10/4/2018,22:00,Krasnodar ru,1.5,2–1,1.4,es Sevilla,"31,346",Krasnodar Stadium,Martin Strömbergsson,Match Report,
Group stage,2,Thu,10/4/2018,22:00,BATE Borisov by,0.5,1–4,1.6,gr PAOK,"10,527",Borisov Arena,Markus Hameter,Match Report,
Group stage,2,Thu,10/4/2018,22:00,Spartak Moscow ru,3.2,3–3,1.9,es Villarreal,"21,264",Otkrytie Arena,Daniel Siebert,Match Report,
,,,,,,,,,,,,,,
Group stage,3,Thu,10/25/2018,17:55 (19:55),Sporting CP pt,0.5,0–1,1.6,eng Arsenal,"40,784",Estádio José Alvalade,Matej Jug,Match Report,
Group stage,3,Thu,10/25/2018,18:55 (19:55),RB Leipzig de,1.3,2–0,0.3,sct Celtic,"38,126",Red Bull Arena,Petr Ardeleánu,Match Report,
Group stage,3,Thu,10/25/2018,18:55 (19:55),Spartak Trnava sk,1.1,1–2,2.4,hr Dinamo Zagreb,,City Arena Trnava,Jakob Kehlet,Match Report,
Group stage,3,Thu,10/25/2018,18:55 (19:55),RB Salzburg at,2.8,3–0,0.3,no Rosenborg,"20,639",Red Bull Arena,Irfan Peljto,Match Report,
