Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Thu,10/22/2020,17:55 (19:55),Dundalk ie,0.4,1–2,1.3,no Molde,,Tallaght Stadium,Petri Viljanen,Match Report,
Group stage,1,Thu,10/22/2020,18:55 (19:55),Leverkusen de,1.7,6–2,0.7,fr Nice,,BayArena,Fran Jović,Match Report,
Group stage,1,Thu,10/22/2020,18:55 (19:55),Napoli it,1.2,0–1,0.7,nl AZ Alkmaar,494,Stadio Diego Armando Maradona,Daniel Stefański,Match Report,
Group stage,1,Thu,10/22/2020,18:55 (19:55),PSV Eindhoven nl,0.5,1–2,2,es Granada,,Philips Stadion,Felix Zwayer,Match Report,
Group stage,1,Thu,10/22/2020,18:55 (19:55),Young Boys ch,1.3,1–2,1.3,it Roma,600,Wankdorfstadion,Carlos del Cerro,Match Report,
Group stage,1,Thu,10/22/2020,18:55 (19:55),Rijeka hr,0.7,0–1,2.1,es Real Sociedad,"2,089",Stadion HNK Rijeka,Bartosz Frankowski,Match Report,
Group stage,1,Thu,10/22/2020,18:55 (19:55),Standard Liège be,0.5,0–2,1.5,sct Rangers,"3,139",Stade Maurice Dufrasne,Jakob Kehlet,Match Report,
Group stage,1,Thu,10/22/2020,18:55 (19:55),Lech Poznań pl,2.2,2–4,3.4,pt Benfica,,Stadion Miejski,Nikola Dabanović,Match Report,
Group stage,1,Thu,10/22/2020,18:55 (19:55),Rapid Wien at,1.5,1–2,1.5,eng Arsenal,"3,000",Allianz Stadion,Pavel Královec,Match Report,
Group stage,1,Thu,10/22/2020,19:55,CSKA Sofia bg,0.5,0–2,1.4,ro CFR Cluj,"11,958",Stadion Bâlgarska Armija,Halil Umut Meler,Match Report,
Group stage,1,Thu,10/22/2020,19:55,Be'er Sheva il,1.4,3–1,1.7,cz Slavia Prague,40,Turner Stadium,Lawrence Visser,Match Report,
Group stage,1,Thu,10/22/2020,19:55,PAOK gr,0.9,1–1,1.2,cy AC Omonia,,Stadio Toumbas,Bobby Madden,Match Report,
Group stage,1,Thu,10/22/2020,20:00 (22:00),Celtic sct,0.9,1–3,0.7,it Milan,316,Celtic Park,Matej Jug,Match Report,
