Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,3,Thu,10/21/2021,18:45 (19:45),Midtjylland dk,1.3,1–1,0.5,rs Red Star,"8,438",MCH Arena,Roi Reinshreiber,Match Report,
Group stage,3,Thu,10/21/2021,18:45 (19:45),Lazio it,1.4,0–0,1.1,fr Marseille,"8,329",Stadio Olimpico,Deniz Aytekin,Match Report,
Group stage,3,Thu,10/21/2021,18:45 (19:45),Rapid Wien at,1.4,2–1,0.5,hr Dinamo Zagreb,"22,300",Allianz Stadion,Kateryna Monzul,Match Report,
Group stage,3,Thu,10/21/2021,19:45,Fenerbahçe tr,3.4,2–2,1.3,be Antwerp,"16,629",Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Sergey Ivanov,Match Report,
Group stage,3,Thu,10/21/2021,19:45,Ludogorets bg,0.2,0–1,1.4,pt Braga,"2,280",Huvepharma Arena,Kristo Tohver,Match Report,
Group stage,3,Thu,10/21/2021,20:00 (22:00),West Ham eng,1.4,3–0,1.4,be Genk,"45,980",London Stadium,Donatas Rumšas,Match Report,
Group stage,3,Thu,10/21/2021,20:00 (22:00),Rangers sct,2.3,2–0,0.8,dk Brøndby,"46,842",Ibrox Stadium,Fran Jović,Match Report,
Group stage,3,Thu,10/21/2021,21:00 (22:00),Eint Frankfurt de,3.1,3–1,1.3,gr Olympiacos,"35,000",Deutsche Bank Park,Tiago Martins,Match Report,
Group stage,3,Thu,10/21/2021,21:00 (22:00),Sparta Prague cz,0.6,3–4,2.2,fr Lyon,"12,427",Generali Česká Pojišťovna Arena,Matej Jug,Match Report,
Group stage,3,Thu,10/21/2021,21:00 (22:00),Sturm Graz at,0.2,0–1,1.5,es Real Sociedad,"14,809",Merkur Arena,Tobias Stieler,Match Report,
Group stage,3,Thu,10/21/2021,21:00 (22:00),PSV Eindhoven nl,1.3,1–2,1.2,fr Monaco,"33,000",Philips Stadion,Davide Massa,Match Report,
Group stage,3,Thu,10/21/2021,21:00 (22:00),Napoli it,2.3,3–0,0.4,pl Legia Warsaw,"10,346",Stadio Diego Armando Maradona,Carlos Grande Rabadán,Match Report,
Group stage,3,Thu,10/21/2021,22:00,Loko Moscow ru,1,0–1,2,tr Galatasaray,"8,100",RZD Arena,Harald Lechner,Match Report,
,,,,,,,,,,,,,,
Group stage,4,Thu,11/4/2021,18:45 (20:45),Real Sociedad es,3.7,1–1,1,at Sturm Graz,"25,010",Estadio Municipal de Anoeta,Andris Treimanis,Match Report,
Group stage,4,Thu,11/4/2021,18:45 (20:45),Brøndby dk,0.2,1–1,1.6,sct Rangers,"20,462",Brøndby Stadion,Nikola Dabanović,Match Report,
Group stage,4,Thu,11/4/2021,18:45 (20:45),Monaco fr,0.5,0–0,0.6,nl PSV Eindhoven,"5,840",Stade Louis II.,Cüneyt Çakιr,Match Report,
