,Team Av Shots Diff,Team Av Shots Inside Box Diff,Team Av Fouls Diff,Team Av Corners Diff,Team Av Possession Diff,Team Av Pass Accuracy Diff,Team Av Goal Diff,Opponent Av Shots Diff,Opponent Av Shots Inside Box Diff,Opponent Av Fouls Diff,Opponent Av Corners Diff,Opponent Av Possession Diff,Opponent Av Pass Accuracy Diff,Opponent Av Goal Diff,Fixture ID,Team Result Indicator,Opponent Result Indicator
0,-1.0,3.0,-6.0,-5.0,-8.0,-8.0,3.0,-1.0,3.0,-5.0,-2.0,24.0,9.0,1.0,157025,0,2
1,5.0,4.0,-9.0,-1.0,6.0,2.0,0.0,-24.0,-13.0,-4.0,-14.0,-38.0,-13.0,-2.0,157026,2,0
2,-6.0,-1.0,-4.0,-3.0,4.0,1.0,3.0,-9.0,-6.0,-7.0,0.0,-16.0,-6.0,-5.0,157027,1,1
3,7.0,2.0,-2.0,2.0,8.0,4.0,-4.0,7.0,-2.0,-10.0,9.0,40.0,15.0,0.0,157028,1,1
4,4.0,1.0,-2.0,-4.0,30.0,20.0,0.0,6.0,1.0,4.0,3.0,-4.0,-1.0,-3.0,157029,2,0
5,9.0,6.0,7.0,0.0,16.0,6.0,5.0,24.0,13.0,4.0,14.0,38.0,13.0,2.0,157030,1,1
6,1.0,-3.0,5.0,2.0,-24.0,-9.0,-1.0,-3.0,-3.0,0.0,-9.0,-16.0,-4.0,-3.0,157031,0,2
7,-4.0,-1.0,2.0,4.0,-30.0,-20.0,0.0,-5.0,-4.0,9.0,1.0,-6.0,-2.0,0.0,157032,0,2
8,1.0,-3.0,6.0,5.0,8.0,8.0,-3.0,3.0,3.0,0.0,9.0,16.0,4.0,3.0,157033,0,2
9,-7.0,2.0,10.0,-9.0,-40.0,-15.0,0.0,-7.0,-2.0,2.0,-2.0,-8.0,-4.0,4.0,157034,1,1
10,-10.0,-5.0,3.0,-5.0,-26.0,-11.0,1.0,27.0,21.0,10.0,11.0,10.0,7.0,0.0,157035,0,2
11,10.0,5.0,-3.0,5.0,26.0,11.0,-1.0,4.0,2.0,0.0,-3.0,-12.0,-5.0,1.0,157036,2,0
12,-1.0,1.0,4.0,-4.0,-28.0,-13.0,-1.0,8.0,7.0,1.0,2.0,12.0,6.0,0.0,157037,2,0
13,1.0,-1.0,-4.0,4.0,28.0,13.0,1.0,-2.0,-4.0,2.0,3.0,34.0,18.0,1.0,157038,2,0
14,3.0,0.0,-9.0,2.0,30.0,12.0,0.0,-9.0,-8.0,-5.0,-4.0,16.0,1.0,-1.0,157039,0,2
15,5.0,4.0,-2.0,2.0,26.0,8.0,2.0,2.0,3.0,-5.0,-1.0,0.0,2.0,0.0,157040,0,2
16,9.0,8.0,5.0,4.0,-16.0,-1.0,1.0,-2.0,-3.0,5.0,1.0,0.0,-2.0,0.0,157041,0,2
17,-27.0,-21.0,-10.0,-11.0,-10.0,-7.0,0.0,-5.0,-4.0,2.0,-2.0,-26.0,-8.0,-2.0,157042,0,2
18,-4.0,-2.0,0.0,3.0,12.0,5.0,-1.0,-8.0,-7.0,-1.0,-2.0,-12.0,-6.0,0.0,157043,0,2
19,2.0,4.0,-2.0,-3.0,-34.0,-18.0,-1.0,-3.0,0.0,9.0,-2.0,-30.0,-12.0,0.0,157044,1,1
20,-16.0,-13.0,-3.0,-2.0,-4.0,0.0,-2.0,9.0,1.0,5.0,0.0,58.0,19.0,-1.0,157045,1,1
21,-4.0,-1.0,2.0,-1.0,-28.0,-13.0,0.0,16.0,13.0,3.0,2.0,4.0,0.0,2.0,157046,0,2
