,Team Av Shots Diff,Team Av Shots Inside Box Diff,Team Av Fouls Diff,Team Av Corners Diff,Team Av Possession Diff,Team Av Pass Accuracy Diff,Team Av Goal Diff,Opponent Av Shots Diff,Opponent Av Shots Inside Box Diff,Opponent Av Fouls Diff,Opponent Av Corners Diff,Opponent Av Possession Diff,Opponent Av Pass Accuracy Diff,Opponent Av Goal Diff,Fixture ID,Team Result Indicator,Opponent Result Indicator
0,-2.5,-0.5,-3.0,-3.0,-10.0,-4.5,0.5,18.0,13.5,8.5,5.5,13.0,6.5,2.5,157035,0,2
1,-7.0,-4.0,-3.5,-4.5,-6.0,-1.0,-1.5,4.0,1.5,-1.0,-3.5,9.0,7.5,0.5,157036,2,0
2,0.0,-1.0,5.0,0.5,-10.0,-2.5,-2.0,1.0,3.0,-1.5,-0.5,8.0,3.5,1.5,157037,2,0
3,2.0,1.0,-2.0,6.5,22.0,8.5,2.0,-1.5,-0.5,-1.5,0.5,29.0,13.5,1.0,157038,2,0
4,-6.5,-4.5,-1.5,0.0,-7.0,-9.5,-0.5,-2.0,-1.0,-3.5,0.0,11.0,4.0,2.0,157039,2,0
5,4.5,2.5,-3.5,0.5,4.0,3.0,-2.0,1.0,0.5,-1.0,-3.5,5.0,2.0,-0.5,157040,2,0
6,2.5,-2.5,-2.5,5.0,20.0,6.5,0.0,2.0,2.0,7.0,2.5,-11.0,-1.5,0.5,157041,2,0
7,-2.0,-3.5,3.5,0.0,-25.0,-8.5,-1.5,-1.5,-4.0,-3.0,1.5,14.0,3.0,1.0,157042,2,0
8,1.0,-0.5,2.0,3.0,4.0,2.0,-2.0,-8.5,-6.5,-4.0,-1.0,-14.0,-6.0,-2.5,157043,0,2
9,-5.0,1.0,9.5,-5.5,-35.0,-13.5,0.0,0.5,3.5,-4.0,-4.0,-21.0,-13.0,1.0,157044,1,1
10,-9.0,-10.0,-2.5,-5.5,24.0,6.0,-0.5,-9.0,-8.5,-0.5,0.5,15.0,9.0,-0.5,157045,1,1
11,8.5,6.0,-0.5,3.0,16.0,6.5,1.5,-1.0,1.5,0.0,-2.0,-31.0,-15.5,-0.5,157046,2,0
12,9.5,5.0,-2.5,3.0,4.0,2.5,0.5,3.5,4.0,5.0,3.5,-9.0,-2.5,0.0,157047,1,1
13,-13.0,-8.5,2.5,-5.5,-13.0,-11.5,0.0,2.5,0.5,-5.5,-0.5,-2.0,1.5,0.5,157048,2,0
14,4.5,3.0,4.0,1.5,9.0,1.5,-0.5,0.5,0.5,3.5,-0.5,-1.0,0.5,0.0,157049,2,0
15,0.0,-1.5,0.0,-1.0,1.0,1.0,0.5,-9.5,-6.0,-1.5,-3.0,-37.0,-14.0,-0.5,157050,2,0
16,4.0,5.0,0.0,2.5,6.0,3.0,-1.0,18.0,14.0,8.0,6.0,29.0,12.0,1.0,157051,0,2
17,1.5,2.0,0.5,2.0,11.0,5.0,-1.5,-7.0,-2.5,-1.5,-1.0,-42.0,-13.5,-0.5,157052,1,1
18,-0.5,-1.0,2.5,-3.5,-14.0,-6.5,0.5,10.0,4.5,-9.5,4.5,36.0,18.0,-0.5,157053,1,1
19,-7.5,-6.5,-1.0,-1.5,-11.0,-5.5,1.0,-6.0,-1.5,-1.0,-2.5,9.0,2.5,0.5,157054,2,0
20,6.0,4.5,4.0,3.0,23.0,11.0,-0.5,-8.0,-5.5,-2.0,0.0,-29.0,-10.0,-2.0,157055,0,2
21,-8.5,-7.5,-3.5,-8.5,-17.0,-4.5,0.5,1.5,1.5,2.5,2.5,-7.0,-4.5,2.0,157056,1,1
22,-4.5,-1.0,-2.5,-2.0,-3.0,-1.0,-3.0,-6.0,-2.0,-2.0,0.5,-28.0,-15.0,-1.5,157057,1,1
23,12.0,8.0,4.5,0.0,16.0,8.5,2.5,-4.5,-0.5,-5.5,0.5,-31.0,-9.5,0.5,157058,2,0
24,14.0,8.5,-10.0,4.0,30.0,15.0,-0.5,4.5,2.0,-3.5,-2.0,6.0,3.5,1.5,157059,2,0
25,9.0,6.0,5.0,4.0,27.0,9.5,3.0,-13.5,-8.0,-3.0,-6.5,-2.0,0.5,-1.5,157060,0,2
26,-3.5,-2.5,5.0,2.0,-13.0,-6.0,-0.5,-5.5,-5.5,5.5,-2.0,-9.0,-3.0,1.0,157061,0,2
27,-2.0,-3.0,5.5,-2.5,24.0,6.5,-0.5,-2.5,1.0,4.5,2.0,-19.0,-11.5,1.0,157062,2,0
28,3.5,3.0,3.5,0.0,7.0,2.5,-1.0,-1.5,-3.0,-4.5,1.5,3.0,3.0,-1.0,157063,1,1
29,11.0,6.0,-2.5,3.0,16.0,5.5,0.5,-1.5,-2.0,-1.0,0.5,6.0,-0.5,-0.5,157064,2,0
30,-7.5,-6.0,1.0,-6.5,-6.0,-1.5,-0.5,-5.5,-2.5,-8.0,-0.5,3.0,0.5,0.0,157065,0,2
31,-7.5,-4.5,-6.0,2.5,-26.0,-14.5,-1.5,-14.0,-10.5,-2.5,-9.5,-17.0,-5.5,-0.5,157066,2,0
32,4.5,5.5,-1.0,-1.5,18.0,8.0,1.5,10.5,8.5,3.5,3.5,39.0,17.5,2.5,157067,0,2
33,-5.5,-5.5,-1.5,1.0,-14.0,-11.0,-2.0,5.0,6.5,-4.5,5.0,-12.0,-5.0,-1.5,157068,1,1
34,0.5,-0.5,4.0,3.5,-14.0,-5.0,-0.5,4.0,3.0,4.5,0.0,18.0,10.5,-0.5,157069,2,0
35,3.0,1.5,-1.0,2.5,13.0,3.5,0.5,-5.5,-4.5,7.0,-2.0,9.0,2.5,2.0,157070,2,0
36,12.0,6.0,8.0,2.5,4.0,2.5,0.0,13.5,8.5,1.5,10.0,22.0,8.5,1.5,157071,0,2
37,-1.0,0.5,1.0,-5.0,9.0,5.0,-2.0,-6.5,-7.0,-3.5,-4.0,-27.0,-9.0,-1.0,157072,1,1
38,-8.5,-6.0,3.5,-3.5,-7.0,-2.0,0.5,-4.0,-2.5,-3.5,0.5,-15.0,-5.0,0.0,157073,0,2
39,6.5,5.0,2.5,4.0,2.0,-1.0,1.0,6.0,4.5,-5.0,-2.5,1.0,1.0,0.5,157074,2,0
40,1.0,-0.5,-1.0,-1.0,0.0,-1.0,1.0,-10.0,-5.5,-4.0,0.5,-24.0,-12.0,2.0,157075,1,1
41,-2.5,-1.5,-2.5,3.5,-21.0,-9.0,1.0,-5.0,-3.5,1.5,-3.5,-12.0,-3.0,-0.5,157076,1,1
42,5.5,4.5,-1.0,0.0,10.0,7.5,1.0,6.0,4.0,1.0,-2.5,33.0,15.0,0.0,157077,2,0
43,-1.0,0.5,-5.5,-1.0,-14.0,-4.5,-2.0,-10.0,-7.5,0.0,-8.5,-10.0,-4.5,-0.5,157078,2,0
44,20.5,14.0,-2.5,7.0,37.0,13.5,3.5,7.5,4.0,4.5,4.5,29.0,13.0,-2.0,157079,2,0
45,2.0,0.0,1.5,6.0,2.0,-1.5,0.0,-9.0,-8.0,1.5,-3.5,-46.0,-18.0,-1.0,157080,2,0
46,-8.5,-3.0,-6.0,-0.5,6.0,-0.5,0.5,1.0,1.5,0.5,-1.0,-4.0,0.0,-0.5,157081,1,1
47,-4.0,-1.5,1.5,-1.5,-21.0,-10.5,0.5,3.0,5.5,3.0,3.5,21.0,5.5,1.5,157082,0,2
48,6.5,3.0,-2.0,-3.5,16.0,9.5,-0.5,-1.5,-1.5,2.5,-2.5,20.0,9.0,1.5,157083,0,2
49,-2.0,-2.5,0.0,1.5,-6.0,-5.0,-1.5,0.5,-2.0,7.0,2.5,-16.0,-3.5,-4.0,157084,2,0
50,0.5,5.0,-3.5,2.0,3.0,0.5,0.5,-11.5,-5.0,0.0,0.5,-16.0,-9.0,1.0,157085,2,0
51,-5.0,-1.5,-7.0,-3.0,-3.0,0.5,0.0,-5.5,-4.5,2.0,-2.5,19.0,7.0,-1.0,157086,0,2
52,-2.0,2.5,3.5,0.0,-19.0,-10.5,1.0,3.0,1.5,-2.0,6.0,6.0,5.0,-2.0,157087,2,0
53,7.5,4.5,3.0,7.5,13.0,2.5,3.0,-1.5,-3.0,0.5,-1.5,17.0,6.5,1.0,157088,0,2
54,15.5,10.0,0.0,-1.0,31.0,10.5,5.0,-4.0,-1.5,1.0,-2.0,-11.0,-4.5,1.0,157089,0,2
55,-7.5,-5.0,0.5,-3.5,-40.0,-15.0,-2.5,3.5,-1.0,3.0,2.5,9.0,3.5,-1.0,157090,2,0
56,-3.5,-4.0,-2.5,-2.0,15.0,4.5,-2.0,-0.5,-4.0,-2.0,-0.5,2.0,5.5,-0.5,157091,0,2
57,11.5,7.0,-6.5,2.5,6.0,5.5,0.5,12.0,6.0,5.0,-0.5,23.0,11.5,-1.5,157092,2,0
58,-9.0,-2.0,2.0,-4.0,-40.0,-19.5,0.5,-7.5,-6.0,2.5,2.0,-7.0,-2.5,-5.0,157093,1,1
59,1.5,-1.0,0.0,-2.0,-2.0,-1.5,1.0,2.5,2.0,0.5,-0.5,-6.0,-0.5,1.0,157094,0,2
60,-3.0,-1.0,-3.5,2.0,13.0,3.0,-3.0,-3.0,-2.0,-3.5,-4.5,-4.0,0.5,-0.5,157095,1,1
61,3.5,-2.5,-1.5,0.0,3.0,6.0,2.0,-3.5,-2.0,6.0,-1.5,-5.0,-2.5,0.5,157096,2,0
62,9.5,6.0,-0.5,2.0,9.0,5.0,2.5,-5.0,-5.5,-0.5,-5.5,-38.0,-12.5,-2.0,157097,2,0
63,9.5,4.5,0.5,2.5,39.0,16.5,0.0,1.5,1.0,0.0,0.0,-7.0,-2.0,1.5,157098,2,0
64,-3.0,-0.5,1.5,2.5,-3.0,0.5,-1.5,3.0,1.5,2.5,0.0,3.0,1.0,-0.5,157099,2,0
65,-3.0,-2.5,5.5,5.5,19.0,4.0,2.0,-4.0,-0.5,-0.5,-3.0,-20.0,-12.5,0.5,157100,2,0
66,10.0,5.0,-6.0,-1.5,21.0,12.0,1.0,3.0,-0.5,1.5,1.5,24.0,8.0,-0.5,157101,1,1
67,-2.0,4.0,0.5,4.0,-3.0,-2.5,0.5,-1.5,1.5,1.5,0.5,-10.0,-4.0,-0.5,157102,0,2
68,3.5,2.0,1.0,2.5,0.0,-2.5,-1.0,-7.0,-4.5,-7.5,0.0,-6.0,-2.5,-1.0,157103,1,1
