,Team Av Shots Diff,Team Av Shots Inside Box Diff,Team Av Fouls Diff,Team Av Corners Diff,Team Av Possession Diff,Team Av Pass Accuracy Diff,Team Av Goal Diff,Opponent Av Shots Diff,Opponent Av Shots Inside Box Diff,Opponent Av Fouls Diff,Opponent Av Corners Diff,Opponent Av Possession Diff,Opponent Av Pass Accuracy Diff,Opponent Av Goal Diff,Fixture ID,Team Result Indicator,Opponent Result Indicator
0,-0.25,-3.0,-3.5,-2.75,3.0,0.0,-0.5,-11.5,-7.25,0.75,-4.5,-30.0,-12.75,-3.5,867986,1,1
1,8.0,5.75,-1.75,3.5,12.0,8.25,2.0,0.75,-0.75,-0.5,-1.0,15.5,5.75,-1.0,867987,2,0
2,-1.5,-0.75,4.25,-1.5,-27.5,-13.0,0.0,2.0,1.75,0.0,0.25,-7.5,-3.5,1.0,867988,2,0
3,-1.25,-1.75,-0.5,-2.0,-15.5,-5.5,-0.5,-2.25,-0.75,2.75,0.25,-3.5,-2.75,0.75,867989,1,1
4,0.0,-1.5,-3.0,0.0,11.0,3.75,-1.0,-1.75,-2.25,4.5,-1.5,6.0,3.75,-0.75,867990,0,2
5,-0.5,-2.25,2.0,-0.5,-13.0,-2.75,-1.0,-1.5,2.5,2.25,0.5,-5.5,-1.25,1.5,867991,1,1
6,-7.25,-4.75,0.5,-1.75,-20.0,-7.0,-0.5,-1.75,1.0,-4.0,1.75,-4.0,-3.25,0.75,867992,1,1
7,1.25,0.25,-0.25,2.25,16.5,7.0,-0.25,0.5,-0.75,-3.25,-1.5,-14.5,-4.5,-0.75,867993,0,2
8,2.75,2.25,0.25,3.75,0.5,0.5,0.5,9.5,8.25,-0.5,2.75,39.5,16.75,2.0,867994,0,2
9,12.25,8.0,-1.25,4.5,42.5,15.5,2.0,-7.5,-4.0,1.25,-2.5,-5.5,-5.0,-0.75,867995,2,0
10,-5.75,-3.0,1.0,-2.75,3.0,0.25,-0.75,12.5,9.0,0.25,6.0,42.5,16.25,3.0,867996,1,1
11,-1.25,1.25,-4.5,2.0,-1.0,-2.5,0.75,0.25,1.25,2.0,1.75,11.0,2.75,0.5,867997,2,0
12,-1.25,-2.75,-5.25,-0.25,10.5,3.75,-1.25,1.75,2.25,-0.75,1.25,4.5,1.75,0.5,867998,0,2
13,-0.25,0.25,-0.75,-1.25,19.0,8.75,-0.75,2.0,-1.0,1.0,0.0,-6.5,-0.5,-0.5,867999,2,0
14,13.5,11.25,-1.25,6.0,42.0,18.0,2.25,-1.25,-2.5,-1.5,-1.0,-18.5,-5.25,-0.25,868000,1,1
15,12.5,8.75,-1.5,4.75,19.5,11.25,1.75,-2.5,-1.75,7.75,-2.0,-2.5,-0.25,-0.25,868001,0,2
16,-6.25,-4.25,1.75,-2.0,-16.0,-7.25,-0.25,-6.25,-5.25,0.0,-1.75,-23.5,-7.75,0.0,868002,1,1
17,-12.5,-9.5,0.25,-5.25,-30.0,-13.0,-4.0,-5.25,-3.0,-0.5,-2.25,-12.5,-6.75,-1.75,868003,2,0
18,-0.25,0.0,4.25,-1.5,-24.5,-11.5,0.25,-4.0,0.25,1.0,-1.25,-3.5,-0.5,0.75,868004,0,2
19,2.0,-1.5,-2.5,-1.5,6.0,1.5,-0.25,2.25,0.25,-0.75,1.0,-19.5,-9.0,0.25,868005,2,0
20,-3.0,-5.5,-2.0,-3.25,-13.0,-3.5,0.0,-4.5,-2.25,6.5,-1.25,-16.0,-6.5,1.25,868008,1,1
21,-1.25,0.0,-2.0,-0.25,21.0,10.0,-0.5,-4.25,-3.75,1.75,-2.75,-20.5,-10.25,0.0,868009,0,2
22,11.0,7.75,0.0,4.25,45.0,17.75,2.0,1.0,3.75,1.75,1.25,4.5,1.75,1.0,868013,2,0
23,-7.5,-4.25,0.75,-2.75,-12.0,-5.75,-1.0,3.25,1.0,0.75,2.0,-16.5,-8.75,0.0,868016,2,0
24,-1.5,1.5,-2.5,-0.5,-2.0,-1.75,0.5,10.75,6.75,-4.0,4.5,24.5,11.75,0.75,868017,0,2
25,0.0,-1.5,2.0,-2.0,-19.0,-5.75,-0.5,-4.25,-5.0,-2.0,-2.25,-20.0,-5.75,0.0,868020,0,2
26,-9.25,-7.25,-0.5,-2.25,-23.0,-10.75,-2.75,-3.0,0.0,4.0,1.0,-12.5,-6.25,-0.25,868022,1,1
27,-8.5,-6.25,-0.75,-4.0,-18.5,-8.75,0.0,-3.0,-2.5,0.5,-2.5,-7.5,-4.0,-2.25,868023,2,0
28,1.5,2.0,2.25,-0.5,0.5,-0.25,0.25,-2.25,-2.0,-3.25,-1.5,8.5,4.0,-1.5,868024,2,0
29,1.25,-0.75,-1.75,-2.25,1.5,0.5,0.0,10.5,7.75,0.75,5.5,39.5,14.25,2.5,868025,0,2
30,-2.25,1.0,-1.0,0.25,-12.0,-6.25,0.0,-9.75,-7.5,-0.75,-3.75,-30.0,-13.0,-2.0,868026,1,1
31,10.75,6.0,-3.5,4.25,27.5,12.25,0.75,0.5,2.0,1.75,2.0,0.0,0.0,0.75,868027,2,0
32,1.25,2.0,-0.75,-0.25,16.5,7.25,0.0,-5.25,-7.25,-2.75,-3.75,-19.0,-6.0,-0.5,868028,2,0
33,-4.75,-3.75,-2.5,-0.25,-3.0,-0.5,0.5,1.75,3.0,2.0,2.75,8.0,3.25,-0.25,868029,0,2
34,1.25,0.5,1.75,2.0,17.0,6.0,-0.25,-5.5,-2.5,1.25,-1.5,-10.0,-5.0,-0.25,868030,1,1
35,-0.75,-2.0,-2.25,-2.0,5.5,2.25,-2.25,-2.75,-2.75,0.0,-3.5,-13.0,-5.25,-2.5,868031,2,0
36,3.75,2.75,-1.75,2.5,4.0,1.5,1.25,11.5,10.75,0.0,6.0,36.0,15.75,2.25,868032,1,1
37,-2.0,0.25,5.75,-0.75,-0.5,-0.25,1.0,9.0,5.25,-0.25,4.75,32.0,11.75,2.75,868033,0,2
38,1.5,-0.25,-0.25,0.5,-12.0,-6.25,-0.5,-7.25,-7.75,-2.0,-5.5,-17.0,-6.0,0.25,868034,0,2
39,-3.5,-0.75,-1.75,-2.25,-3.0,-0.5,-0.5,1.25,1.0,2.0,0.0,-21.0,-6.5,-0.25,868035,0,2
40,-1.5,-3.0,-1.25,-4.0,4.0,3.0,-1.0,-7.75,-5.5,-0.25,-2.25,-24.5,-10.0,0.25,868036,0,2
